灵兽ID	名称	携带等级	初始AI类型	图标	元神珠ID	品质类型	是否变异	五行属性	摄像机位置参数	广角大小	模型旋转角度	放生奖励	勇敢性格权重	聪明性格权重	冷静性格权重	冲动性格权重	顺从性格权重	狂妄性格权重	成长率下限	成长率上限	力量资质下限	力量资质上限	智慧资质下限	智慧资质上限	根骨资质下限	根骨资质上限	体魄资质下限	体魄资质上限	敏捷资质下限	敏捷资质上限	身法资质下限	身法资质上限	初始力量	初始智慧	初始根骨	初始体魄	初始敏捷	初始身法	力量加点方案	智慧加点方案	根骨加点方案	体魄加点方案	敏捷加点方案	身法加点方案	洗炼材料ID	洗炼材料数量	变异几率	变异ID	基础转化值	绝技几率	绝技ID	天赋技能几率	天赋技能ID	必带普通技能	普通技能权重	普通技能ID	战斗状态对白	触发概率	触发间隔	非战斗状态对白	触发概率	触发间隔	进入关卡对白	触发概率	主人生命值过低对白	触发概率	主人升级对白	触发概率	图鉴描述
210	水符鬼	35	2	ui_pet_shuifu	1510	1	1	3	0;0.3;-2	30	30		20	20	20	20	20	20	0.8	1.6	600	863	640	920	600	863	800	1150	880	1265	880	1265	90	160	160	160	360	360		1			2	2	1402	1			1000								101|102|103|104|105|106|107|108|109|110	50	20	111|112|113|114|115|116|117|118|119|120	50	20	121|122|123	50	131|132|133|134	50	141|142|143|144	50	陈辅曾给徒儿陈靖仇一个“符鬼之符”，说以后若一个人有困难就把它打开。后陈靖仇为救师父下伏魔山时，打开了此符，里面的五行符鬼只能择一召唤。
211	火符鬼	45	2	ui_pet_huofu	1511	1		4	0;0.35;-2	30	30		20	20	20	20	20	20	0.8	1.3	600	750	1000	1250	640	800	720	900	720	900	720	900	90	450	90	285	285	90		3		1	1		1401	1	3	212	1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
212	火符鬼	45	2	ui_pet_huofu	1512	1	1	4	0;0.35;-2	30	30		20	20	20	20	20	20	0.8	1.6	600	863	1000	1438	640	920	720	1035	720	1035	720	1035	90	450	90	285	285	90		3		1	1		1402	1			1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
213	土符鬼	45	1	ui_pet_tuhu	1513	1		5	0;0.35;-2	30	30		20	20	20	20	20	20	0.8	1.3	760	950	600	750	880	1100	720	900	880	1100	560	700	160	90	360	160	360	160	1		2		2		1401	1	3	214	1000								301|302|303|304	50	20	311|312|313|314|315|316|317|318|319|320	50	20	321|322|323|324	50	331|332|333|334	50	341|342|343|344	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
214	土符鬼	45	1	ui_pet_tuhu	1514	1	1	5	0;0.35;-2	30	30		20	20	20	20	20	20	0.8	1.6	760	1093	600	863	880	1265	720	1035	880	1265	560	805	160	90	360	160	360	160	1		2		2		1402	1			1000								301|302|303|304	50	20	311|312|313|314|315|316|317|318|319|320	50	20	321|322|323|324	50	331|332|333|334	50	341|342|343|344	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
221	炸弹人	45	1	ui_pet_muhu	1521	2		4	0;0.4;-2	30	30		20	20	20	20	20	20	0.8	1.6	720	900	560	700	1120	1400	880	1100	600	750	920	1150	285	90	450	285	90	90	1		3	1			1401	1	2	222	1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
222	炸弹人	45	1	ui_pet_muhu	1522	2	1	4	0;0.4;-2	30	30		20	20	20	20	20	20	0.8	2	720	1035	560	805	1120	1610	880	1265	600	863	920	1323	285	90	450	285	90	90	1		3	1			1402	1			1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
223	血傀	45	1	ui_pet_shuifu	1523	2		1	0;0.5;-2.4	30	30		20	20	20	20	20	20	0.8	1.6	840	1050	560	700	800	1000	760	950	1120	1400	720	900	285	90	285	90	450	90	1		1		3		1401	1	2	224	1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	平时深居在森林中，是轩辕世界最常见的灵兽。能力较弱，是初级者最常用的灵兽
224	血傀	45	1	ui_pet_shuifu	1524	2	1	1	0;0.5;-2.4	30	30		20	20	20	20	20	20	0.8	2	840	1208	560	805	800	1150	760	1093	1120	1610	720	1035	285	90	285	90	450	90	1		1		3		1402	1			1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
225	蝶仙	55	2	ui_pet_huofu	1525	2		2	0;0.4;-2	30	30		20	20	20	20	20	20	0.8	1.6	560	700	840	1050	840	1050	1040	1300	720	900	800	1000	90	285	90	450	90	285		1		3		1	1401	1	2	226	1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
226	蝶仙	55	2	ui_pet_huofu	1526	2	1	2	0;0.4;-2	30	30		20	20	20	20	20	20	0.8	2	560	805	840	1208	840	1208	1040	1495	720	1035	800	1150	90	285	90	450	90	285		1		3		1	1402	1			1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
227	疾鹏	55	2	ui_pet_jipeng	1527	2		3	0;0.5;-2.4	30	30		20	20	20	20	20	20	0.8	1.6	560	700	960	1200	720	900	960	1200	960	1200	640	800	90	450	90	90	285	285		3			1	1	1401	1	2	228	1000								451|452|453|454	50	20	461|462|463|464|465|466|467|468|469|470	50	20	471|472|473|474	50	481|482|483|484	50	491|492|493|494	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
228	疾鹏	55	2	ui_pet_jipeng	1528	2	1	3	0;0.5;-2.4	30	30		20	20	20	20	20	20	0.8	2	560	805	960	1380	720	1035	960	1380	960	1380	640	920	90	450	90	90	285	285		3			1	1	1402	1			1000								451|452|453|454	50	20	461|462|463|464|465|466|467|468|469|470	50	20	471|472|473|474	50	481|482|483|484	50	491|492|493|494	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
229	阿奇	65	1	ui_pet_zhu	1529	2		5	0;0.25;-2	30	30		20	20	20	20	20	20	0.8	1.6	1080	1350	560	700	1080	1350	640	800	760	950	680	850	450	90	285	90	285	90	3		1		1		1401	1	2	230	1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
230	阿奇	65	1	ui_pet_zhu	1530	2	1	5	0;0.25;-2	30	30		20	20	20	20	20	20	0.8	2	1080	1553	560	805	1080	1553	640	920	760	1093	680	978	450	90	285	90	285	90	3		1		1		1402	1			1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
231	琥珀	65	2	ui_pet_hupo	1531	2		4	0;0.3;-1.3	30	30		20	20	20	20	20	20	0.8	1.6	600	750	1280	1600	720	900	880	1100	680	850	640	800	90	450	90	285	285	90		3		1	1		1401	1	2	232	1000								151|152|153|154|155|156|157|158|159|160	50	20	161|162|163|164|165|166|167|168|169|170	50	20	171|172|173|174	50	181|182|183|184	50	191|192|193|194|195	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
232	琥珀	65	2	ui_pet_hupo	1532	2	1	4	0;0.3;-1.3	30	30		20	20	20	20	20	20	0.8	2	600	863	1280	1840	720	1035	880	1265	680	978	640	920	90	450	90	285	285	90		3		1	1		1402	1			1000								151|152|153|154|155|156|157|158|159|160	50	20	161|162|163|164|165|166|167|168|169|170	50	20	171|172|173|174	50	181|182|183|184	50	191|192|193|194|195	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
241	木甲穷奇	1	1	ui_pet_muhu	1541	3		5	0;0.35;-2	30	30		20	20	20	20	20	20	1	2	800	1000	600	750	1440	1800	880	1100	1040	1300	840	1050	355	90	540	355	100	100	1		3	1			1403	1	1	242	1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
242	木甲穷奇	1	1	ui_pet_muhu	1542	3	1	5	0;0.35;-2	30	30		20	20	20	20	20	20	1	2.5	800	1150	600	863	1440	2070	880	1265	1040	1495	840	1208	355	90	540	355	100	100	1		3	1			1403	2			1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
243	机关鸢	1	1	ui_pet_shuifu	1543	3		1	0;0.55;-2.7	30	30		20	20	20	20	20	20	1	2	1240	1550	600	750	640	800	800	1000	1000	1250	1320	1650	355	90	100	100	355	540	1				1	3	1403	1	1	244	1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	平时深居在森林中，是轩辕世界最常见的灵兽。能力较弱，是初级者最常用的灵兽
244	机关鸢	1	1	ui_pet_shuifu	1544	3	1	1	0;0.55;-2.7	30	30		20	20	20	20	20	20	1	2.5	1240	1783	600	863	640	920	800	1150	1000	1438	1320	1898	355	90	100	100	355	540	1				1	3	1403	2			1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
245	安卡	1	2	ui_pet_huofu	1545	3		2	0;0.65;-2.5	30	30		20	20	20	20	20	20	1	2	600	750	960	1200	1000	1250	1400	1750	720	900	920	1150	90	455	180	455	180	180		2	1	2			1403	1	1	246	1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
246	安卡	1	2	ui_pet_huofu	1546	3	1	2	0;0.65;-2.5	30	30		20	20	20	20	20	20	1	2.5	600	863	960	1380	1000	1438	1400	2013	720	1035	920	1323	90	455	180	455	180	180		2	1	2			1403	2			1000								251|252|253|254	50	20	261|262|263|264|265|266|267|268|269	50	20	271|272|273|274|275	50	281|282|283|284	50	291|292|293|294	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
247	云狐	1	1	ui_pet_yunhu	1547	3		1	0;0.35;-2	30	30		20	20	20	20	20	20	1	2	1160	1450	600	750	880	1100	800	1000	1320	1650	840	1050	455	90	180	180	455	180	2				2	1	1403	1	1	248	1000								51|52|53|54|55|56|57|58|59|60	50	20	61|62|63|64|65|66|67|68|69|70	50	20	71|72|73|74	50	81|82|83|84	50	91|92|93|94	50	车芸依照自己祖父在童年时教导她的「木甲术」，所研制出来之木甲兽。她藉由手上的磁力榫，来操控它做出各种高难度的动作，灵活轻巧，栩栩如生～可说是车芸最心爱的宠物兼最佳战友！
248	云狐	1	1	ui_pet_yunhu	1548	3	1	1	0;0.35;-2	30	30		20	20	20	20	20	20	1	2.5	1160	1668	600	863	880	1265	800	1150	1320	1898	840	1208	455	90	180	180	455	180	2				2	1	1403	2			1000								51|52|53|54|55|56|57|58|59|60	50	20	61|62|63|64|65|66|67|68|69|70	50	20	71|72|73|74	50	81|82|83|84	50	91|92|93|94	50	车芸依照自己祖父在童年时教导她的「木甲术」，所研制出来之木甲兽。她藉由手上的磁力榫，来操控它做出各种高难度的动作，灵活轻巧，栩栩如生～可说是车芸最心爱的宠物兼最佳战友！
251	妮可	1	1	ui_pet_huofu	1551	4		5	0;0.65;-2	30	30		20	20	20	20	20	20	1.3	3	450	750	1260	2100	630	1050	780	1300	960	1600	720	1200	90	660	120	400	120	400		3		1		1	1403	2			1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
252	博士猫	1	1	ui_pet_huofu	1552	4		5	0;0.65;-2	30	30		20	20	20	20	20	20	1.3	3	450	750	960	1600	750	1250	1260	2100	570	950	810	1350	90	520	220	520	220	220		2	1	2			1403	2			1000								1|2|3|4|5|6|7|8|9|10	50	20	11|12|13|14|15|16|17|18|19|20	50	20	21|22|23|24	50	31|32|33	50	41|42|43|44	50	出现在轩辕剑穹之扉中，是主角忠心的同伴，战斗中能吸收大量伤害
253	轩辕熊猫	1	1	ui_pet_yunhu	1553	4		1	0;0.5;-2.5	30	30		20	20	20	20	20	20	1.3	3	990	1650	480	800	870	1450	750	1250	930	1550	780	1300	520	90	220	220	520	220	2				2	1	1403	2			1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	平时深居在森林中，是轩辕世界最常见的灵兽。能力较弱，是初级者最常用的灵兽
254	黑火龙	1	1	ui_pet_yunhu	1554	4		1	0;0.5;-2.5	30	30		20	20	20	20	20	20	1.3	3	1260	2100	480	800	750	1250	570	950	900	1500	840	1400	660	90	400	120	400	120	3		1		1		1403	2			1000								1|2|3|4	50	20	5|6|7|8	50	20	15|16|17|18	50	19|20|21|22|23	50	9|10|11|12|13|14	50	是由小猪修炼进化而成，能力比小猪大大提升，修仙者梦寐以求的灵兽。
