编号	特殊符号
367	ü
368	ㄉ
369	ˇ
370	ˋ
371	ㄓ
372	ㄅ
373	ˊ
374	ㄚ
375	ㄞ
376	ㄢ
377	ㄦ
378	ㄆ
379	ㄊ
380	ㄍ
381	ㄐ
382	ㄔ
383	ㄗ
384	ㄧ
385	ㄛ
386	ㄟ
387	ㄣ
388	ㄇ
389	ㄋ
390	ㄎ
391	ㄑ
392	ㄕ
393	ㄘ
394	ㄨ
395	ㄜ
396	ㄠ
397	ㄤ
398	ㄈ
399	ㄌ
400	ㄏ
401	ㄒ
402	ㄖ
403	ㄙ
404	ㄩ
405	ㄝ
406	ㄡ
407	ㄥ
408	а
409	А
410	б
411	Б
412	в
413	В
414	г
415	Г
416	д
417	Д
418	е
419	Е
420	ё
421	Ё
422	ж
423	Ж
424	з
425	З
426	и
427	И
428	й
429	Й
430	к
431	К
432	л
433	Л
434	м
435	М
436	н
437	Н
438	о
439	О
440	п
441	П
442	р
443	Р
444	с
445	С
446	т
447	Т
448	у
449	У
450	ф
451	Ф
452	х
453	Х
454	ц
455	Ц
456	ч
457	Ч
458	ш
459	Ш
460	щ
461	Щ
462	ъ
463	Ъ
464	ы
465	Ы
466	ь
467	Ь
468	э
469	Э
470	ю
471	Ю
472	я
473	Я
474	α
475	Α
476	β
477	Β
478	γ
479	Γ
480	δ
481	Δ
482	ε
483	Ε
484	ζ
485	Ζ
486	η
487	Η
488	θ
489	Θ
490	ι
491	Ι
492	κ
493	Κ
494	λ
495	Λ
496	μ
497	Μ
498	ν
499	Ν
500	ξ
501	Ξ
502	ο
503	Ο
504	π
505	Π
506	ρ
507	Ρ
508	σ
509	Σ
510	τ
511	Τ
512	υ
513	Υ
514	φ
515	Φ
516	χ
517	Χ
518	ψ
519	Ψ
520	ω
521	Ω
522	/
523	?
524	.
525	>
526	,
527	<
528	|
529	 
530	;
531	:
532	!
533	@
534	#
535	$
536	%
537	&
538	*
539	！
540	？
541	。
542	，
543	、
544	‘
545	；
546	“
547	~
548	 
549	　
550	+
551	=
552	-
553	^
554	(
555	)
556	_
557	\
558	
559	 
560	￥
561	{
562	}
563	[
564	]
565	·
566	`
