角色ID	名字	模型	简单AI	行为树	思考间隔	视野	追踪距离	备注	放缩比例	受击材质	原形id	原形名	默认姿态	性格类型	无重力	选中圈比例	选中框比例	头像	显示可进行任务标识	称谓	归属名	归属类型	是否纯表现	随机冒泡内容	随机冒泡概率	隐藏距离	屏蔽点击	阵营	是否主动怪	可视类型	地图显示	头顶显示	隐藏名称	不转向	无血条	头顶显示血条	不飘血	非战斗待机动作	循环特效	前端行为树ID	职业	移动速度	锁定镜头	碰撞半径	受击半径	免疫控制	初始状态	五行属性	默认技能	死亡技能	后端动作	等级设置类型	怪物等级	星级	生命修正	攻击修正	防御修正	力量资质	智慧资质	根骨资质	体魄资质	敏捷资质	身法资质	总点数	生命资质	物理攻击资质	法术攻击资质	物理防御资质	法术防御资质	生命值	物理攻击	法术攻击	物理防御	法术防御	治疗强度	护体	护体恢复	生命恢复	暴击率	暴击伤害率	暴击防御率	回避率	命中率	招架率	熟练率	韧劲率	物理穿透	法术穿透	金抗性率	木抗性率	水抗性率	火抗性率	土抗性率	金伤害率	木伤害率	水伤害率	火伤害率	土伤害率	阴伤害率	阳伤害率
100	女剑客	mod_nvjianke	1							2			1001			1	1	TianJian_Nv										2												AUTOjianke	1	4					0.1		1001																					1000																														
101	朱雀卫兵	mod_honglianwunv						特殊：角色伪装后带技能		2			1			1	1	ui_Head_Common_Male		伪装								2														5			0.1				10900;10901;10902																					1000	10																													
201	小山猪	mod_xiaoshanzhu	1					灵兽		2			517			1	1	ui_Head_Common_Female										2														5							50301;50201																																																			
202	小山猪	mod_xiaoshanzhu	1					变异灵兽		2			517			1	1	ui_Head_Common_Female										2														5							50301																																																			
203	琉璃	mod_lingshou	1					灵兽		2			511			1	1	ui_Head_Common_Female										2														5							50302;50006																																																			
204	琉璃	mod_lingshou_bianyi	1					变异灵兽		2			511			1	1	ui_Head_Common_Female										2														5							50302;50202																																																			
205	金符鬼	mod_jinfugui	1					灵兽		2			501			1	1	ui_Head_Common_Female										2														5							50303;50001;50101																																																			
206	金符鬼	mod_jinfugui_bianyi	1					变异灵兽		2			501			1	1	ui_Head_Common_Female										2														5							50303;50203																																																			
207	木符鬼	mod_mufugui	1					灵兽		2			503			1	1	ui_Head_Common_Female										2														5							50304;50002;50102																																																			
208	木符鬼	mod_mufugui_bianyi	1					变异灵兽		2			503			1	1	ui_Head_Common_Female										2														5							50304;50204																																																			
209	水符鬼	mod_shuifugui	1					灵兽		2			505			1	1	ui_Head_Common_Female										2														5							50305;50003;50103																																																			
210	水符鬼	mod_shuifugui_bianyi	1					变异灵兽		2			505			1	1	ui_Head_Common_Female										2														5							50305;50205																																																			
211	火符鬼	mod_huofugui	1					灵兽		2			501			1	1	ui_Head_Common_Female										2														5							50306;50004;50104																																																			
212	火符鬼	mod_huofugui_bianyi	1					变异灵兽		2			501			1	1	ui_Head_Common_Female										2														5							50306;50206																																																			
213	土符鬼	mod_tufugui	1					灵兽		2			509			1	1	ui_Head_Common_Female										2														5							50307;50005;50105																																																			
214	土符鬼	mod_tufugui_bianyi	1					变异灵兽		2			509			1	1	ui_Head_Common_Female										2														5							50307;50207																																																			
221	炸弹人	mod_mujiabaobao	1					灵兽		2			531			1	1	ui_Head_Common_Female										2														5							50308																																																			
222	炸弹人	mod_mujiabaobao	1					变异灵兽		2			531			1	1	ui_Head_Common_Female										2														5							50308																																																			
223	血傀	mod_xiaoguizhuyan	1					灵兽		2			533			1	1	ui_Head_Common_Female										2														5							50309																																																			
224	血傀	mod_xiaoguizhuyan	1					变异灵兽		2			533			1	1	ui_Head_Common_Female										2														5							50309																																																			
225	蝶仙	mod_mujiabaobao	1					灵兽		2			535			1	1	ui_Head_Common_Female										2														5							50310																																																			
226	蝶仙	mod_mujiabaobao	1					变异灵兽		2			535			1	1	ui_Head_Common_Female										2														5							50310																																																			
227	疾鹏	mod_xiaoguizhuyan	1					灵兽		2			535			1	1	ui_Head_Common_Female										2														5							50311																																																			
228	疾鹏	mod_xiaoguizhuyan	1					变异灵兽		2			535			1	1	ui_Head_Common_Female										2														5							50311																																																			
229	阿奇	mod_aqi	1					灵兽		2			531			1	1	ui_Head_Common_Female										2														5							50312																																																			
230	阿奇	mod_aqi_bianyi	1					变异灵兽		2			531			1	1	ui_Head_Common_Female										2														5							50312																																																			
231	琥珀	mod_hupo	1					灵兽		2			533			1	1	ui_Head_Common_Female										2														5							50313;50007																																																			
232	琥珀	mod_hupo	1					变异灵兽		2			533			1	1	ui_Head_Common_Female										2														5							50313;50007																																																			
241	木甲穷奇	mod_mujiaqiongqi	1					珍兽		2			535			1	1	ui_Head_Common_Female										2														5							50314																																																			
242	木甲穷奇	mod_mujiaqiongqi	1					变异珍兽		2			535			1	1	ui_Head_Common_Female										2														5							50314																																																			
243	机关鸢	mod_xiaomuyuan	1					珍兽		2			537			1	1	ui_Head_Common_Female										2														5							50315																																																			
244	机关鸢	mod_xiaomuyuan	1					变异珍兽		2			537			1	1	ui_Head_Common_Female										2														5							50315																																																			
245	安卡	mod_anka	1					珍兽		2			535			1	1	ui_Head_Common_Female										2														5							50316;50106																																																			
246	安卡	mod_anka	1					变异珍兽		2			535			1	1	ui_Head_Common_Female										2														5							50316																																																			
247	云狐	mod_yunhu	1					珍兽		2			537			1	1	ui_Head_Common_Female										2														5							50317																																																			
248	云狐	mod_yunhu	1					变异珍兽		2			537			1	1	ui_Head_Common_Female										2														5							50317																																																			
251	妮可	mod_nike	1					神兽		2			535			1	1	ui_Head_Common_Female										2														5							50318																																																			
252	博士猫	mod_nike	1					神兽		2			535			1	1	ui_Head_Common_Female										2														5							50319																																																			
253	轩辕熊猫	mod_xuanyuanxiongmao	1					神兽		2			537			1	1	ui_Head_Common_Female										2														5							50320																																																			
254	黑火龙	mod_xuanyuanxiongmao	1					神兽		2			537			1	1	ui_Head_Common_Female										2														5							50321																																																			
401	挡板	mod_dangban						装饰物																				3					-1																																																																			
402	空气墙	mod_kongzudang						装饰物																				3					-1																																																																			
403	空的npc	mod_empty						装饰物																				3					-1																																																																			
404	指引路线箭头1	mod_guanqiazhiyin						装饰物																				3					-1																																																																			
405	指引路线箭头2	mod_guanqiazhiyin						装饰物																				3					-1																																																																			
406	地面特效	fx_dragon_yujing_1						装饰物																				3					-1																																																																			
407	次元裂缝	mod_fuben_chuansongmen_1						装饰物																				3					-1																																																																			
408	任务区域	mod_renwuquyu						装饰物	0.5																			3					-1																																																																			
409	传送门1	fx_fuben_chuansongmen						装饰物																				3					-1												1																																																							
410	火焰	mod_scene_fire_A						装饰物	3																			3					-1																																																																			
411	龙脉	fx_longmai						装饰物																				3					-1																																																																			
412	传送门装饰	mod_fuben_chuansongmen						场景物件（可交互）								1	0											3				1	-1											1	1.1	1																																																						
413	传送石	mod_guanqiazhiyin						场景物件								1	0											3					-1																																																																			
414	灯图腾	mod_tuteng_1						场景物件（可交互）		1						1	0	ui_Head_Common_Male										3					-1																																																																			
415	罐子	mod_guanzi_1						装饰物		1			1			1	0											3					-1											0	30	1																																																						
416	罐子	mod_guanzi_1						装饰物		1			1			1	0											3					-1											0	30	1																																																						
417	酒坛	mod_jiuguan_1						装饰物		1			1			1	0											3					-1											0	30	1																																																						
418	水缸	mod_shuigang_1						场景物件(可破坏)		1			1			1	0											3					-1	1			1							0	30	1																								100																														
419	箱子	mod_xiangzi_01						场景物件(可破坏)		1			1			1	0											3					-1	1			1							0	30	1																								100																														
420	桌子	mod_zhuozi_1						装饰物		1			1			1	0											3					-1											0	30	1																																																						
421	宝箱	mod_baoxiang_02						场景物件(可破坏)		3																		3						1			1									1																								100																														
422	浓烟	mod_scene_fire3						场景物件																				3					-1																																																																			
423	野外传送门	mod_fuben_chuansongmen_2						装饰物																				3					-1												1																																																							
424	传送石（龙柱）	mod_chuansongshi_1						装饰物																				3					-1												3																																																							
994	铜人	mod_suijunshibing	1					移动木桩		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame						咱们切磋切磋;大家都是混口饭吃;点到为止	0.5			2	1													5		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10			1	2	0.3	1			1				2	1	1		1	1	999999																														
995	木人	mod_suijunshibing	1					不动木桩		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame						木桩也是有尊严的;你想打倒我？	0.5			2	1													0		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10			1	2	0.3	1			1				2	1	1		1	1	999999																														
996	自杀用	mod_suijunshibing	1					测试用		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame						咱们切磋切磋;大家都是混口饭吃;点到为止	0.5			2	1													5		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10							1		1				2	1	1		1	1	999999	100000																													
997	金刚石像	mod_xianglonglishi	1						1.5	1	2020	降龙力士	1			1	1	ui_Head_Common_Blame										2														4		0	0.1				22105		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69	1	50	3	6	0.6	1.2	1				1		2	1	1		1	1																															
998	测试木偶2	mod_suijunshibing	1					测试用		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1		9026		10800;10801;10802		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		1	1	999999																														
999	测试木偶3	mod_baihuyongshi	1					测试用		2	1001	白虎勇士	1			1	1	ui_Head_Common_Blame										2														4		0	0.1				10700;10702;10701		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		2	0	1000																														
1001	蝶仙	mod_diexian	1						1	2	1051	蝶仙	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14601		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|70			1	2	0.3	1		1.5				0.5	2	1		1	1	1																															
1002	花妖	mod_huayao	1						1	2	1052	花妖	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14701		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|71			1	2	0.3	1		1.5				0.5	2	1		1	1	1																															
1003	逐鹿城士兵	mod_zhuoluchengshibing	1							2	1032	逐鹿城士兵	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				10800;10801;10802		intro_1|100			1	2	0.3	1	1		0.5	0.5			2	1	1		1	1																															
1004	逐鹿城弩手	mod_zhuoluchenggongjianshou	1							2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11000;11001;11002		intro_1|100			1	2	0.3	1	1				1		2	0.75	1.25		1	1																															
1005	逐鹿城勇士	mod_zhuoluchengyongshi	1							2	1034	逐鹿城勇士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12280;12281;12282		intro_1|100			1	2	0.3	1	1		1				2	1	1		2	0																															
1006	一目族	mod_yimumin	1						1	2	1053	一目民	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14800;14801		stand_up|62;dead|59;intro_1|79;wedakness|50;			1	2	0.3	1	1.5		0.5				2	1	1.5		0.5	0.5																															
1007	厌火盗贼	mod_yanhuodaozei	1						1	2	1054	厌火盗贼	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14900;14901		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1		1.5				0.5	2	1		1	1	1																															
1008	隋军士兵	mod_suijunshibing	1							2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		1	1																															
1009	隋军士兵	mod_suijunshibing	1							2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		1	1																															
1010	白虎监工	mod_baihuzhanshi	1							2	1000	白虎监工	1			1	1	ui_Head_Common_Blame		南方部队								2	1													4		0	0.1				10600;10601;10602		intro_1|100;hit_out_1|10			1	2	0.3	1	1.5				0.5		2	1	1		1	1																															
1011	白虎勇士	mod_baihuyongshi	1							2	1001	白虎勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10700;10702;10701		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		2	0																															
1012	隋军士兵	mod_suijunshibing	1							2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		1	1																															
1013	红莲女巫	mod_honglianwunv	1							2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10			1	2	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
1014	隋军弩手	mod_zhuoluchenggongjianshou	1							2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11000;11001;11002		intro_1|100			1	2	0.3	1	1				1		2	0.75	1.25		1	1																															
1016	茧	mod_fengyin_A	1							2	1006	茧	1			1	1	ui_Head_Common_Blame										2	1													0		0	0.1	1								1	2	0.3	1			1	1			2	1		1	1	1																															
1017	茧召唤	mod_honglianwunv	1							2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10			1	2	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
1018	恶魔	mod_emo	1							2	1007	恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			1	2	0.3	1		1	0.5	0.5			2	1		1	1	1																															
1019	白虎刺客	mod_baihucike	1							2	1008	白虎刺客	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11100;11101;11102;11103;11104		intro_1|100;hit_out_1|10			1	2	0.3	1	0.5				1.5		2	0.75	1.5		1	0.5																															
1020	青龙勇士	mod_qinglongyongshi	1							2	1009	青龙勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11300;11301;11302		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		1	1																															
1021	羽民战士	mod_yuminzhanshi	1							2	1010	羽民战士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11400;11401;11402		intro_1|100;hit_out_1|10			1	2	0.3	1	1					1	2	1	1		1	1																															
1022	青龙圣徒	mod_qinglongshengtu	1							2	1011	青龙圣徒	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11500;11501;11502		intro_1|100			1	2	0.3	1		1		1			2	1		1	0.75	1.25																															
1023	尸化士兵	mod_shihuashibing_1	1							2	1012	尸化士兵	402			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11600;11601;11602		stand_up|62;dead|59;intro_1|60;wedakness|50;intro_2|69			1	2	0.3	1	1		1				2	1	1		1	1																															
1024	尸化弩手	mod_shihuashibing_2	1							2	1013	尸化弩手	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11700;11701		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			1	2	0.3	1	1				1		2	0.75	1.25		1	1																															
1025	厌火流氓	mod_yanhuoliumang	1						1	2	1057	厌火流氓	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				15200;15201;15202		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1																															
1026	逐鹿城盾卫	mod_zhuoluchengshibing_2	1							2	1048	逐鹿城盾兵	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				15300		stand_up|69;dead|55;intro_1|61;wedakness|40			1	2	0.3	1			2				2	1.5	0.5		1	1																															
1028	毒尸	mod_jiangshicunmin	1							2	1017	自爆僵尸	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1	1			11801;11802;11803		intro_1|100;intro_2|45;intro_3|102			1	2	0.3	1	2						2	0.5	2		0.5	0.5																															
1029	翼蛇	mod_yishe	1							2	1024	翼蛇	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				12300;12301		intro_1|59			1	2	0.3	1					1	1	2	1		1	1	1																															
1030	隋军勇士	mod_suijunyongshi	1							2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12280;12281;12282		intro_1|100			1	2	0.3	1	1		1				2	1	1		2	0																															
1031	魅魔	mod_meimo	1							2	1031	魅魔	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12500;12501;12502		intro_1|100			1	2	0.3	1		1			1		2	1		1	1	1																															
1032	毒尸	mod_jiangshicunmin	1							2	10171	自曝不动	401			1	1	ui_Head_Common_Blame										2	1				-1	1								0		0	0.1	1			12000;12001;12002		intro_1|100;intro_2|45;intro_3|102			1	2	0.3	1	2						2	1	1		1	1																															
1033	独孤宁珂	mod_duguningke	1							2	1035	独孤宁珂	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12100;12001;12102					1	2	0.3	1		2					2	0.8		1.5	0	1.4																															
1034	门派弟子	mod_menpainvdizi	1							2	1036	门派弟子	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12201;12202;12203					1	2	0.3	1	2						2	1	1		1	1																															
1035	强盗	mod_qiangdao	1						1	2	1050	强盗	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14500;14501		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			1	2	0.3	1	1				0.5	0.5	2	1	1		1	1																															
1036	蚩尤甲士	mod_chiyouzujiashi	1							2	1037	蚩尤甲士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			1	2	0.3	1	1		1				2	1.25	1		1.5	0																															
1037	探子蒙面人	mod_tanzimengmianren	1							2	1038	探子蒙面人	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				12602					1	2	0.3	1	1						1	1	1		1	1																															
1038	仙女	mod_xiannv	1							2	1039	仙女	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14100;14101		stand_up|36;dead|50;intro_1|51;wedakness|39			1	2	0.3	1		1.5				0.5	2	1		1	1	1																															
1039	冤魂	mod_yuanhun	1							2	1023	冤魂	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				12800;12801;12802		stand_up|73;dead|59;intro_1|86;wedakness|33			1	2	0.3	1					1	1	2	1		1	1	1																															
1040	火光兽	mod_huoguangshou	1							2	1041	火光兽	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39			1	2	0.3	1		1		1			2	1		1	0	2																															
1041	魔化人类	mod_mohuarenlei	1						1.4	2	10211	魔化人类	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				13002		stand_up|64;dead|58;intro_1|74;wedakness|36			1	2	0.3	1	2						2	1	1		1	1																															
1042	朱雀斥候	mod_zhuquechihou	1							2	1040	朱雀斥候	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13100;13101;13102		stand_up|78;dead|65;intro_1|97;wedakness|36			1	2	0.3	1	1				1		2	1	1		1	1																															
1043	蚩尤族战士	mod_chiyouzuzhanshi	1							2	1042	蚩尤族战士	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13200;13201;13202		stand_up|69;dead|55;intro_1|61;wedakness|40			1	2	0.3	1	1			1			2	1.25	1		1.5	0.2																															
1044	隋军锤兵	mod_suijunyongshi_2	1							2	1043	隋军锤兵	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13400;13401;13402		intro_1|43			1	2	0.3	1	1.5		0.5				2	1	1.5		0.5	0.5																															
1045	隋军柱兵	mod_suijunyongshi_3	1							2	1044	隋军柱兵	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13500;13501;13502		intro_1|43			1	2	0.3	1	2						2	1	1.5		0.5	0.5																															
1046	地雷	mod_dilei	1						3	2	1045	地雷	1			1	1	ui_Head_Common_Blame										2	1					1								0		0	0.1				13300					1	2	0.3	1	2						2	1	1		1	1																															
1047	蚩尤族甲士	mod_chiyouzujiashi	1							2	1037	蚩尤甲士	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			1	2	0.3	1	1		1				2	1.25	1		1.5	0																															
1048	朱雀卫队	mod_zhuqueweidui	1							2	1046	朱雀卫队	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14200;14201		stand_up|69;dead|55;intro_1|61;wedakness|40			1	2	0.3	1	1					1	2	1	1		1	1																															
1049	毕方鸟	mod_bifangniao	1						1.5	2	1047	毕方鸟	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14300;14301		stand_up|69;dead|55;intro_1|61;wedakness|40			1	2	0.3	1		1				1	2	1		1	1	1																															
1050	朱雀追兵	mod_zhuqueyanjiang	1						1	2	1049	朱雀小兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14400;14401;14403		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			1	2	0.3	1	1				0.5	0.5	2	1	1		1	1																															
1051	羽民刺客	mod_yumincike	1						1	2	1055	羽民刺客	1			1	1	ui_Head_Common_Blame										2	1													6		0	0.1				15000;15001;15002		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1																															
1052	羽民风伯	mod_yuminfengbo	1						1	2	1056	羽民风伯	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				15100;15101;15102;15103;15104		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1		1.5				0.5	2	1		1	1	1	30																														
1053	鱼人萨满	mod_yurensaman	1						1	2	1058	鱼人萨满	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				15501		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1054	鱼人战士	mod_yurenzhanshi	1						1	2	1059	鱼人战士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				15601;15602		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1055	鱼人法师	mod_yurenfashi	1						1	2	1060	鱼人法师	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				15701;15702		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1056	刑天斧手	mod_xingtianfushou	1						1	2	1061	刑天斧手	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				15803		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1057	无头刑天	mod_wutouxingtian	1						1	2	1062	无头刑天	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1						stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1058	玄武勇士	mod_xuanwuyongshi	1						1	2	1063	玄武勇士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				16002		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1059	玄武卫士	mod_xuanwuweibing	1						1	2	1064	玄武卫士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				16101;16102;16103		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1060	玄武统领	mod_xuanwuweishi	1						1	2	1065	玄武统领	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1						stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
1061	巨像	mod_juxianglieren_cow	1						1	2	1066	巨像	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				16303		stand_up|62;dead|59;intro_1|79;wedakness|50			1	2	0.3	1	1.5					0.5	2	1		1	1	1	30																														
2001	隋军军官	mod_suijunjunguan	1						1.3	2	2001	隋军军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13600;13601;13602;13603;13604;13605;13606		intro_1|53			3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
