id	职业	性别	基准类型	部位	资源编号	对应编辑文件	图标	备注（策划用）	资源备注\n（策划用）
20003	-1	0	-1	2	20003			女发色2	40|3|0.9
20004	-1	0	-1	2	20004			女发色3	200|3|1
20005	-1	0	-1	2	20005			女发色4	260|2.6|1.2
20101	-1	1	-1	2	21001			男发色默认	0|0|0
20102	-1	1	-1	2	21002			男发色1	0|2.1|0.8
20103	-1	1	-1	2	21003			男发色2	40|3|0.9
20104	-1	1	-1	2	21004			男发色3	200|3|1
20105	-1	1	-1	2	21005			男发色4	260|2.6|1.2
30001	-1	0	-1	3	30001			女皮肤1	0|0|3
30002	-1	0	-1	3	30002			女皮肤2	0|0|2.9
30003	-1	0	-1	3	30003			女皮肤3	0|0|2.8
30004	-1	0	-1	3	30004			女皮肤4	0|0|2.7
30005	-1	0	-1	3	30005			女皮肤5	60|0.1|3
30006	-1	0	-1	3	30006			女皮肤6	60|0.1|2.9
30007	-1	0	-1	3	30007			女皮肤7	60|0.1|2.8
30008	-1	0	-1	3	30008			女皮肤8	60|0.1|2.7
30009	-1	0	-1	3	30009			女皮肤9	320|0.1|3
30010	-1	0	-1	3	30010			女皮肤10	320|0.1|2.9
30011	-1	0	-1	3	30011			女皮肤11	320|0.1|2.8
30012	-1	0	-1	3	30012			女皮肤12	320|0.1|2.7
30101	-1	1	-1	3	31001			男皮肤1	0|0|3
30102	-1	1	-1	3	31002			男皮肤2	0|0|2.9
30103	-1	1	-1	3	31003			男皮肤3	0|0|2.8
30104	-1	1	-1	3	31004			男皮肤4	0|0|2.7
30105	-1	1	-1	3	31005			男皮肤5	60|0.1|3
30106	-1	1	-1	3	31006			男皮肤6	60|0.1|2.9
30107	-1	1	-1	3	31007			男皮肤7	60|0.1|2.8
30108	-1	1	-1	3	31008			男皮肤8	60|0.1|2.7
30109	-1	1	-1	3	31009			男皮肤9	320|0.1|3
30110	-1	1	-1	3	31010			男皮肤10	320|0.1|2.9
30111	-1	1	-1	3	31011			男皮肤11	320|0.1|2.8
30112	-1	1	-1	3	31012			男皮肤12	320|0.1|2.7
40001	-1	0	0	4		female_face_baseA_00	female_face_baseA_00	女御姐脸默认	
40002	-1	0	0	4		female_face_baseA_01	female_face_baseA_01	女御姐脸1	
40003	-1	0	0	4		female_face_baseA_02	female_face_baseA_02	女御姐脸2	
40004	-1	0	0	4		female_face_baseA_03	female_face_baseA_03	女御姐脸3	
40005	-1	0	0	4		female_face_baseA_04	female_face_baseA_04	女御姐脸4	
41001	-1	0	1	4		female_face_baseB_00	female_guigu_faceB_00	女萝莉脸默认	
41002	-1	0	1	4		female_face_baseB_01	female_guigu_faceB_00	女萝莉脸1	
41003	-1	0	1	4		female_face_baseB_02	female_guigu_faceB_01	女萝莉脸2	
50001	1	0	0	5		female_whole_baseA_00	female_tianjian_whole_baseA_00	女天剑御姐默认	
50002	1	0	0	5		female_whole_baseA_01	female_tianjian_whole_baseA_01	女天剑御姐全身1	
50003	1	0	0	5		female_whole_baseA_02	female_tianjian_whole_baseA_02	女天剑御姐全身2	
50004	1	0	0	5		female_whole_baseA_03	female_tianjian_whole_baseA_03	女天剑御姐全身3	
50005	1	0	0	5		female_whole_baseA_04	female_tianjian_whole_baseA_04	女天剑御姐全身4	
51001	2	0	0	5		female_whole_baseA_00	female_guigu_whole_baseA_00	女墨家御姐默认	
51002	2	0	0	5		female_whole_baseA_01	female_guigu_whole_baseA_01	女墨家御姐全身1	
51003	2	0	0	5		female_whole_baseA_02	female_guigu_whole_baseA_02	女墨家御姐全身2	
51004	2	0	0	5		female_whole_baseA_03	female_guigu_whole_baseA_03	女墨家御姐全身3	
51005	2	0	0	5		female_whole_baseA_04	female_guigu_whole_baseA_04	女墨家御姐全身4	
52001	3	0	0	5		female_whole_baseA_00	female_guigu_whole_baseA_00	女鬼谷御姐默认	
52002	3	0	0	5		female_whole_baseA_01	female_guigu_whole_baseA_01	女鬼谷御姐全身1	
52003	3	0	0	5		female_whole_baseA_02	female_guigu_whole_baseA_02	女鬼谷御姐全身2	
52004	3	0	0	5		female_whole_baseA_03	female_guigu_whole_baseA_03	女鬼谷御姐全身3	
52005	3	0	0	5		female_whole_baseA_04	female_guigu_whole_baseA_04	女鬼谷御姐全身4	
53001	4	0	0	5		female_whole_baseA_00	female_guigu_whole_baseA_00	女七曜御姐默认	
53002	4	0	0	5		female_whole_baseA_01	female_guigu_whole_baseA_01	女七曜御姐全身1	
53003	4	0	0	5		female_whole_baseA_02	female_guigu_whole_baseA_02	女七曜御姐全身2	
53004	4	0	0	5		female_whole_baseA_03	female_guigu_whole_baseA_03	女七曜御姐全身3	
53005	4	0	0	5		female_whole_baseA_04	female_guigu_whole_baseA_04	女七曜御姐全身4	
60001	1	0	1	5		female_whole_baseB_00	female_tianjian_whole_baseB_00	女天剑萝莉全身默认	
60002	1	0	1	5		female_whole_baseB_01	female_tianjian_whole_baseB_01	女天剑萝莉全身1	
60003	1	0	1	5		female_whole_baseB_02	female_tianjian_whole_baseB_02	女天剑萝莉全身2	
61001	2	0	1	5		female_whole_baseB_00	female_guigu_whole_baseB_00	女墨家萝莉全身默认	
61002	2	0	1	5		female_whole_baseB_01	female_guigu_whole_baseB_01	女墨家萝莉全身1	
61003	2	0	1	5		female_whole_baseB_02	female_guigu_whole_baseB_02	女墨家萝莉全身2	
62001	3	0	1	5		female_whole_baseB_00	female_guigu_whole_baseB_00	女鬼谷萝莉全身默认	
62002	3	0	1	5		female_whole_baseB_01	female_guigu_whole_baseB_01	女鬼谷萝莉全身1	
62003	3	0	1	5		female_whole_baseB_02	female_guigu_whole_baseB_02	女鬼谷萝莉全身2	
63001	4	0	1	5		female_whole_baseB_00	female_guigu_whole_baseB_00	女七曜萝莉全身默认	
63002	4	0	1	5		female_whole_baseB_01	female_guigu_whole_baseB_01	女七曜萝莉全身1	
63003	4	0	1	5		female_whole_baseB_02	female_guigu_whole_baseB_02	女七曜萝莉全身2	
50101	1	1	0	5		male_whole_baseA_00	male_tianjian_whole_baseA_00	男天剑大汉全身默认	
50102	1	1	0	5		male_whole_baseA_01	male_tianjian_whole_baseA_01	男天剑大汉全身1	
50103	1	1	0	5		male_whole_baseA_02	male_tianjian_whole_baseA_02	男天剑大汉全身2	
50104	1	1	0	5		male_whole_baseA_03	male_tianjian_whole_baseA_03	男天剑大汉全身3	
50105	1	1	0	5		male_whole_baseA_04	male_tianjian_whole_baseA_04	男天剑大汉全身4	
51101	2	1	0	5		male_whole_baseA_00	male_guigu_whole_baseA_00	男墨家大汉全身默认	
51102	2	1	0	5		male_whole_baseA_01	male_guigu_whole_baseA_01	男墨家大汉全身1	
51103	2	1	0	5		male_whole_baseA_02	male_guigu_whole_baseA_02	男墨家大汉全身2	
51104	2	1	0	5		male_whole_baseA_03	male_guigu_whole_baseA_03	男墨家大汉全身3	
51105	2	1	0	5		male_whole_baseA_04	male_guigu_whole_baseA_04	男墨家大汉全身4	
52101	3	1	0	5		male_whole_baseA_00	male_guigu_whole_baseA_00	男鬼谷大汉全身默认	
52102	3	1	0	5		male_whole_baseA_01	male_guigu_whole_baseA_01	男鬼谷大汉全身1	
52103	3	1	0	5		male_whole_baseA_02	male_guigu_whole_baseA_02	男鬼谷大汉全身2	
52104	3	1	0	5		male_whole_baseA_03	male_guigu_whole_baseA_03	男鬼谷大汉全身3	
52105	3	1	0	5		male_whole_baseA_04	male_guigu_whole_baseA_04	男鬼谷大汉全身4	
53101	4	1	0	5		male_whole_baseA_00	male_guigu_whole_baseA_00	男七曜大汉全身默认	
53102	4	1	0	5		male_whole_baseA_01	male_guigu_whole_baseA_01	男七曜大汉全身1	
53103	4	1	0	5		male_whole_baseA_02	male_guigu_whole_baseA_02	男七曜大汉全身2	
53104	4	1	0	5		male_whole_baseA_03	male_guigu_whole_baseA_03	男七曜大汉全身3	
53105	4	1	0	5		male_whole_baseA_04	male_guigu_whole_baseA_04	男七曜大汉全身4	
60101	1	1	0	5		male_whole_baseA_00	male_tianjian_whole_baseA_00	男天剑正太全身默认	
60102	1	1	0	5		male_whole_baseA_01	male_tianjian_whole_baseA_01	男天剑正太全身1	
60103	1	1	0	5		male_whole_baseA_02	male_tianjian_whole_baseA_02	男天剑正太全身2	
60104	1	1	0	5		male_whole_baseA_03	male_tianjian_whole_baseA_03	男天剑正太全身3	
60105	1	1	0	5		male_whole_baseA_04	male_tianjian_whole_baseA_04	男天剑正太全身4	
61101	2	1	0	5		male_whole_baseA_00	male_guigu_whole_baseA_00	男墨家正太全身默认	
61102	2	1	0	5		male_whole_baseA_01	male_guigu_whole_baseA_01	男墨家正太全身1	
61103	2	1	0	5		male_whole_baseA_02	male_guigu_whole_baseA_02	男墨家正太全身2	
61104	2	1	0	5		male_whole_baseA_03	male_guigu_whole_baseA_03	男墨家正太全身3	
61105	2	1	0	5		male_whole_baseA_04	male_guigu_whole_baseA_04	男墨家正太全身4	
62101	3	1	0	5		male_whole_baseA_00	male_guigu_whole_baseA_00	男鬼谷正太全身默认	
62102	3	1	0	5		male_whole_baseA_01	male_guigu_whole_baseA_01	男鬼谷正太全身1	
62103	3	1	0	5		male_whole_baseA_02	male_guigu_whole_baseA_02	男鬼谷正太全身2	
62104	3	1	0	5		male_whole_baseA_03	male_guigu_whole_baseA_03	男鬼谷正太全身3	
62105	3	1	0	5		male_whole_baseA_04	male_guigu_whole_baseA_04	男鬼谷正太全身4	
63101	4	1	0	5		male_whole_baseA_00	male_guigu_whole_baseA_00	男七曜正太全身默认	
63102	4	1	0	5		male_whole_baseA_01	male_guigu_whole_baseA_01	男七曜正太全身1	
63103	4	1	0	5		male_whole_baseA_02	male_guigu_whole_baseA_02	男七曜正太全身2	
63104	4	1	0	5		male_whole_baseA_03	male_guigu_whole_baseA_03	男七曜正太全身3	
63105	4	1	0	5		male_whole_baseA_04	male_guigu_whole_baseA_04	男七曜正太全身4	
