动作ID	备注	动作名称	开始帧	结束帧	动画速度	动作事件	动作类型
1231		skill_15	20	45			5
1231		skill_15	45	55			6
1301	冲锋	dush_attack	0	3		
1301		dush_attack	3	9		1301	
1301		dush_attack	9	13		1301_1	
1301		dush_attack	13	24			5
1301		dush_attack	24	41			6
1401	转御气	skill_9	0	25		1401	
1401		skill_9	25	44			5
1401		skill_9	44	65			6
1501	上挑	hit_up	0	14		1501	
1501		hit_up	14	23			5
1501		hit_up	23	53			6
1511	一闪	skill_11	0	14		1511	
1511		skill_11	14	25			5
1511		skill_11	25	30			6
1511		attack_6_end	0	5			6
1511		attack_6_end	5	27			6
1521	一闪追加	skill_11_2	0	31		1521	
1521		skill_11_2	31	35			5
1521		skill_11_2	35	56			6
1521		attack_6_end	0	5			6
1521		attack_6_end	5	27			6
1601	翻滚	dogger	0	18		1601	
1601		dogger	18	22			6
1701	剑客绝技	super_skill	0	160		1701	
1701		super_skill	160	182			6
2001	墨家普攻	attack_1	0	9		2001	
2001		attack_1	9	15			5
2001		attack_1	15	25			6
2002	墨家普攻	attack_2	0	8		2002	
2002		attack_2	8	15			5
2002		attack_2	15	25			6
2003	墨家普攻	attack_3	0	23		2003	
2003		attack_3	23	33			5
2003		attack_3	33	40			6
2021	墨剑·诛心	skill_1	0	12			
2021		skill_1	12	28		2021	
2021		skill_1	28	42			6
2101	墨拳·非攻	skill_7	0	65		2101	
2101		skill_7	65	80			5
2101		skill_7	80	90			6
2201	冲锋	skill_9	0	11		2201	
2201		skill_9	11	30			5
2201		skill_9	30	50			6
2301	墨拳·拿云	skill_11	0	25		2301	
2301		skill_11	25	40			5
2301		skill_11	40	56			6
2401	墨剑·狂影	skill_24	0	45		2401	
2401		skill_24	45	70			6
2601	影步	dogger	0	18		2601	
2601		dogger	18	22			6
3001	阴普攻1	attack_1	0	15		3001	
3001		attack_1	15	20			5
3001		attack_1	20	45			6
3002	符道·攻2	attack_2	0	20		3002	
3002		attack_2	20	25			5
3002		attack_2	25	48			6
3003	符道·攻3	attack_9	0	15			1
3003		attack_9	15	30		3003	
3003		attack_9	30	42			5
3003		attack_9	42	54			6
3011	符道·乱	attack_6	0	15		3011	
3011		attack_6	15	30			5
3011		attack_6	30	45			6
3012	符道·乱2	attack_7	0	25		3012	
3012		attack_7	25	40			5
3012		attack_7	40	47			6
3013	符道·乱3	attack_8	0	25		3013	
3013		attack_8	25	36			5
3013		attack_8	36	47			6
3021	浮空追击	skill_30	0	45		3021	
3021		skill_30	45	65			5
3021		skill_30	65	75			6
3031	仙法	attack_10	0	30		3031	
3031		attack_10	30	37			5
3031		attack_10	37	43			6
3101	符道·散	skill_3	0	25		3101	
3101		skill_3	25	30			5
3101		skill_3	30	45			6
3131	符道·愈	skill_15	0	15			1
3131		skill_15	15	25		3131	
3131		skill_15	25	40			5
3131		skill_15	40	50			6
3201	符道·镇	skill_4	0	25		3201	
3201		skill_4	25	50			5
3201		skill_4	50	60			6
3211	天道·涤	skill_36_start	0	22			
3211		skill_36_loop	0	20			7
3211		skill_36_end	0	40			
3221	符道·缚	skill_20	0	15			1
3221		skill_20	15	40		3221	
3221		skill_20	40	55			5
3221		skill_20	55	74			6
3321	扔球	skill_1	0	75		3321	
3321		skill_1	75	90			5
3321		skill_1	90	100			6
3331	天道·幻兵	skill_35	0	45			1
3331		skill_35	45	55		3331	
3331		skill_35	55	75			5
3331		skill_35	75	92			6
3421	升腾	skill_32	0	60			1
3421		skill_32	60	85		3421	
3421		skill_32	85	95			5
3421		skill_32	95	105			6
3431	天道·生	skill_9	0	40		3431	
3431		skill_9	40	56			5
3431		skill_9	56	65			6
3441	鬼道·幻	skill_14	0	89			1
3441		skill_14	89	100		3441	
3441		skill_14	100	135			6
3521	起飞	skill_34	0	30			1
3521		skill_34	30	74	
3511	浮空	skill_21	0	15		3511	
3511		skill_21	15	40			5
3511		skill_21	40	59			6
3601	位移	dogger	0	20		3601	
3601		dogger	20	22			6
3701	生灭道	super_skill	0	230			
4001	寒冰指	attack_1	0	20		4001	
4001		attack_1	20	30			5
4001		attack_1	30	45			6
4002	寒冰指	attack_2	0	15		4002	
4002		attack_2	15	30			5
4002		attack_2	30	45			6
4003	寒冰指	attack_3	0	20		4003	
4003		attack_3	20	30			5
4003		attack_3	30	45			6
4101	冰河破	skill_1	0	27			1
4101		skill_1	27	35		4101	
4101		skill_1	35	52			5
4101		skill_1	52	69			6
4201	炎龙啸	skill_9	0	14			1
4201		skill_9	14	25		4201	
4201		skill_9	25	45			5
4201		skill_9	45	69			6
