动作ID	备注	动作名称	开始帧	结束帧	动作事件	动作类型
13600	隋军军官三连斩普攻	attack_1	0	148	13600	
13601	隋军军官直线冲击	skill_1	0	126	13601	
13602	隋军军官致命劈砍	skill_2	0	145	13602	
13603	隋军军官一骑当千	skill_3	0	90	13603	
13604	隋军军官跃击	skill_4	16	45	
13604	隋军军官跃击	skill_4	0	16	13604_0	
13604	隋军军官跃击	skill_4	16	45	13604	
13604	隋军军官跃击	skill_4	46	81	13604_1	
13605	隋军军官变身	idle	0	20	13605	
13606	隋军军官竖砍普攻	attack_2	0	70	13606	
13700	隋军军官变身普攻	attack_1	0	86	13700	
13701	隋军军官变身普攻	attack_2	0	79	13701	
13702	隋军军官变身旋风	attack_3	0	114	13702	
13703	隋军军官变身泰山压顶准备	skill_2	30	61	
13703	隋军军官变身泰山压顶准备	skill_2	0	30		
13703	隋军军官变身泰山压顶起跳	skill_2	30	61	13703	
13703	隋军军官变身泰山压顶落地	skill_2	61	93	13703_1	
13704	隋军军官变身冲锋	skill_1	0	141	13704	
13705	隋军军官变身战嚎	skill_3	0	159	13705	
13708	隋军军官变身旋风	attack_3	0	36	13708_0	
13708	隋军军官变身旋风	attack_3	37	63		
13708	隋军军官变身旋风	attack_3	64	114	13708	
13711	恶魔将军普攻1（天书用）	attack_1	0	86	13711	
13712	恶魔将军普攻2（天书用）	attack_2	0	79	13712	
13713	恶魔将军旋风（天书用）	attack_3	0	114	13713	
13714	恶魔将军泰山压顶（天书用）	skill_2	0	93	13714	
13715	恶魔将军战嚎（天书用）	skill_3	0	159	13715	
14000	剑舞攻击1	attack_1	0	15	14000	
14000	剑舞攻击2	attack_2	0	26		
14000	剑舞攻击3	attack_3	0	51		
14001	墨剑·三式1	attack_1	0	15	14001	
14001	墨剑·三式2	attack_2	0	15		
14001	墨剑·三式3	attack_3	0	40		
14100	仙女回春	attack_1	0	47	14100	
14101	仙女攻击	attack_2	0	48	14101	
14200	朱雀卫队普通1	attack_1	0	38	14200	
14201	朱雀卫队普通2	attack_2	0	44	14201	
14300	毕方普攻	attack_1	0	32	14300	
14301	毕方大焰弹	attack_2	0	42	14301	
14500	强盗普通攻击1	attack	0	39	14500	
14501	强盗普通攻击2	attack	0	39	14501	
14502	强盗技能跳砍	skill	
14502	强盗技能跳砍	skill	0	46	14502	
14502	强盗技能跳砍	skill	47	66	14502_1	
14502	强盗技能跳砍	skill	67	98	14502_2	
14600	蝶仙普攻1	attack_1	0	39	14600	
14601	蝶仙空气波	attack_2	0	83	14601	
14700	花妖普攻1	attack	0	34	14700	
14701	花妖藤蔓缠绕	skill	0	90	14701	
14800	一目民普攻	attack_1	0	33	14800	
14801	一目民重砸	attack_2	0	77	14801	
14900	厌火盗贼普攻	attack	0	29	14900	
14901	厌火盗贼火炭之怒	skill	0	75	14901	
15000	羽民刺客普攻1	attack_1	0	27	15000	
15001	羽民刺客普攻2	attack_2	0	27	15001	
15002	羽民刺客技能狂风嚎叫	skill_1	0	95	15002	
15100	羽民风伯普攻1	attack_1	0	41	15100	
15101	羽民风伯技能风刃龙卷	skill_1	0	86	15101	
15102	羽民风伯技能御风（后退）	skill_2	0	1		
15102	羽民风伯技能御风（后退）	skill_2	2	12	15102	
15102	羽民风伯技能御风（后退）	skill_2	13	23		
15103	羽民风伯技能风伯吹息	skill_3	0	119	15103	
15104	羽民风伯技能夺魂风镰	skill_4	0	41		
15104	羽民风伯技能夺魂风镰	skill_4	42	61	15104_0	
15104	羽民风伯技能夺魂风镰	skill_4	61	75	15104	
15104	羽民风伯技能夺魂风镰	skill_4	75	89	15104_1	
15104	羽民风伯技能夺魂风镰	skill_4	89	93		
15200	厌火流氓普攻1	attack_1	0	28	15200	
15201	厌火流氓普攻2	attack_1	0	28	15201	
15202	厌火流氓技能燃烧攻击	attack_2	0	95	15202	
15300	逐鹿城盾卫普攻	attack_1	0	39	15300	
15400	门派女弟子	attack_1	0	50	15400	
15501	鱼人萨满旋涡	attack_1	0	34	15501	
15502	鱼人萨满跳舞	skill_1_start	0	40		
15502	鱼人萨满跳舞	skill_1_loop	0	80	15502	3
15502	鱼人萨满跳舞	skill_1_end	0	32		
15503	鱼人萨满召唤	skill_2	0	157		
15601	鱼人战士普攻1	attack_1	0	25	15601	
15602	鱼人战士普攻2	attack_2	0	135	15602	
15701	鱼人法师水铁弹	attack_1	0	40	15701	
15702	鱼人法师水铁连弹	attack_2	0	66	15702	
15801	刑天斧手普攻1	attack_1	0	39	15801	
15802	刑天斧手普攻2	attack_2	0	59	15802	
15803	刑天斧手烈焰斧	skill_1	0	80	15803	
15901	刑天斧手普攻1	attack_1	0	39	15901	
15902	刑天斧手普攻2	attack_2	0	59	15902	
15903	无头刑天烈焰跃击	skill_1	0	35		
15903	无头刑天烈焰跃击	skill_1	35	51	15903_2	
15903	无头刑天烈焰跃击	skill_1	51	98	15903_3	
15904	无头刑天裂地斩	skill_2	0	89	15904	
15905	无头刑天斧刃旋风	skill_3_start	0	32		
15905	无头刑天斧刃旋风	skill_3_loop	0	12		3
15905	无头刑天斧刃旋风	skill_3_end	0	53		
16000	玄武勇士普攻1	attack_1	0	36	16000	
16001	玄武勇士普攻2	attack_2	0	55	16001	
16002	玄武勇士海神之力	skill	0	34		
16002	玄武勇士海神之力	skill	34	45	16002_1	
16002	玄武勇士海神之力	skill	45	79	16002_2	
20000	龙降落	fly_to_idle	0	103	20000	
20001	龙抓击	attack_1	0	85	20001	
20002	龙拍击	attack_2	0	106	20002	
20004	喷火	skill_2	0	148	20004	
20005	龙吼	skill_3	0	182	20005	
20007	旋风	attack_3	0	135	20007	
20008	吼叫出场	skill_3	94	182	20008	
20009	小跳	skill_7	0	74	20009	
20010	大龙吼	skill_3	0	188	20010	
20011	龙起飞	idle_to_fly	0	103	20011	
20012	空中俯冲喷火	skill_5	0	131	20012	
20013	喷火球	skill_6	0	101	20013	
20014	落地	fly_to_idle	0	94	20014	
20015	喷火球	skill_6	0	74	20013	
20015	喷火球	skill_6	22	74	20013	
20015	喷火球	skill_6	22	101	20013	
20016	前扑准备	skill_1	0	58	20016	
20017	前扑	skill_1	58	79		
20018	前扑落地	skill_1	79	134	20018	
20019	冲撞准备	skill_4	0	120	20019	
20020	冲撞	skill_4	120	134	20020	
20021	冲撞停止	skill_4	134	185	20021	
20022	龙抓击	attack_1	0	85	20001	
20023	龙拍击	attack_2	0	106	20002	
20024	喷火	skill_2	0	148	20004	
20025	龙吼	skill_3	0	182	20005	
20026	旋风	attack_3	0	135	20007	
20030	小龙-龙抓击	attack_1	0	85	20030	
20031	小龙-龙吼	skill_3	0	182	20031	
20100	左右抓	skill_0	0	144	20100	
20101	左抓	skill_1	0	95	20101	
20102	右爪	skill_2	0	95	20102	
20103	砸地	skill_3	0	91	20103	
20104	黑火引爆	skill_4	0	210	20104	
20105	黑火地狱	skill_5_start	0	50		
20105	黑火地狱	skill_5_loop	0	31		
20105	黑火地狱	skill_5_end	0	50		
20106	黑火喷出	skill_6	0	80	20106	
20200	尸化大将军攻击1	attack_1	0	90	20200	
20201	尸化大将军攻击2	attack_2	0	76	20201	
20202	尸化大将军技能1	attack_3	0	84	20202	
20203	上挑	skill_2	0	135	20203	
20204	跳砍	skill_3	0	39	20204	
20204	跳砍	skill_3	39	61		
20204	跳砍	skill_3	61	135	20204_2	
20205	旋风斩	skill_4	0	273	20205	
20206	召唤尸兵1	attack_1	0	90	20206	
20207	召唤尸兵2	attack_1	0	90	20207	
20208	召唤尸兵3	attack_1	0	90	20208	
20209	召唤尸兵4	attack_1	0	90	20209	
20300	雨师攻击1	attack_1	0	36	20300	
20301	雨师五连击	skill_1	0	74	20301	
20302	雨师水环	skill_2	0	129	20302	
20303	雨师霜路	skill_3	0	90	20303	
20304	雨师冻结	skill_4	0	43	20304	
20305	雨师暴风雨	skill_6	0	254	20305	
20306	雨师冻结无CD	skill_4	0	11		
20306	雨师冻结无CD	skill_4	11	25	20306	
20306	雨师冻结无CD	skill_4	25	43		
20400	陈靖仇普通攻击1	boss_attack	0	13	20400	
20401	陈靖仇普通攻击2	boss_attack	13	35	20401	
20402	陈靖仇普通攻击3	boss_attack	35	90	20402	
20403	陈靖仇技能冲锋	boss_skill_1	0	5	20403	
20403	陈靖仇技能冲锋	boss_skill_1	5	44	20403_1	
20404	陈靖仇技能蓄力攻击1	boss_skill_2	0	112	20404	
20405	陈靖仇技能银鹰掠地	boss_skill_3	0	117	20405	
20406	陈靖仇技能上挑	boss_skill_5	0	46	20406	
20407	陈靖仇技能浮空连	boss_skill_6	0	29		
20407	陈靖仇技能浮空连	boss_skill_6	29	84	20407	
20407	陈靖仇技能浮空连	boss_skill_6	84	120		
20408	陈靖仇技能7格挡	boss_skill_7_start	0	9		
20408	陈靖仇技能7格挡	boss_skill_7_loop	0	50	20408	3
20408	陈靖仇技能7格挡	boss_skill_7_end	0	20		
20409	陈靖仇技能后退	boss_skill_8	0	44	20409	
20410	陈靖仇技能爆气	boss_skill_9	0	64	20410	
20411	陈靖仇技能解控	boss_skill_10	0	62	20411	
20412	弹剑而歌，4连斩起手	boss_skill_11_5	0	39		
20412	刺剑	boss_skill_11_3	0	10	20412_1	
20412	上划剑	boss_skill_11_2	0	10	20412_2	
20412	下划剑	boss_skill_11_4	0	10	20412_3	
20412	上划剑	boss_skill_11_2	0	10	20412_4	
20412	蓄力剑气	boss_skill_11_6	0	70	20412_5	
20412	蓄力剑气	boss_skill_11_6	70	124	20412_6	
20413	蓄力剑气浮空	boss_skill_11_6	0	70		
20413	蓄力剑气浮空	boss_skill_11_6	70	125	20413	
20414	陈靖仇格挡无后摇	boss_skill_7_start	0	9		
20414	陈靖仇格挡无后摇	boss_skill_7_loop	0	50	20414	3
20415	陈靖仇技能三段斩	boss_skill_11_1	0	27		
20415	刺剑	boss_skill_11_3	0	10	20415_1	
20415	刺剑	boss_skill_11_3	0	10	20415_2	
20415	刺剑	boss_skill_11_3	0	10	20415_3	
20415	刺剑	boss_skill_11_3	0	10	20415_4	
20416	陈靖仇技能小退无后摇	boss_skill_8	0	14	20416	
20417	陈靖仇虚弱	weakness	0	35	20417	
20418	陈靖仇技能冲锋到身后	boss_skill_1	0	8		
20418	陈靖仇技能冲锋到身后	boss_skill_1	8	44	20418_1	
20419	陈靖仇技能大笑	happy	0	60	20419	
20420	下划剑	boss_skill_11_4	0	10	20420_1	
20420	下划剑	boss_skill_11_4	0	10	20420_2	
20420	下划剑	boss_skill_11_4	0	10	20420_3	
20420	下划剑	boss_skill_11_4	0	10	20420_4	
20420	下划剑	boss_skill_11_4	0	10	20420_5	
20421	陈靖仇技能冲锋无眩晕	boss_skill_1	0	8		
20421	陈靖仇技能冲锋无眩晕	boss_skill_1	8	44	20421_1	
20500	宇文拓普通攻击1	attack_1	0	149	20500	
20503	宇文拓攻击2	attack_2	0	155	20503	
20504	宇文拓攻击3	attack_3	0	181	20504	
20505	宇文拓攻击4	attack_4	0	16		
20505	宇文拓攻击4	attack_4	16	22	20505	
20505	宇文拓攻击4	attack_4	22	89	20505_1	
20506	宇文拓变身	attack_2	0	155	20506	
20600	姬良普通攻击1	attack_1	0	31	20600	
20601	姬良普通攻击2	attack_1	31	43	20601	
20602	姬良普通攻击3	attack_1	43	65	20602	
20603	姬良普通攻击4	attack_1	65	118	20603	
20604	姬良飞剑	attack_2	0	118	20604	
20605	姬良加防	attack_3	0	115	20605	
20606	姬良破天雷火弹	attack_4	0	150	20606	
20700	水镜攻击1	attack_1	0	16	20700	
20701	水镜攻击1	attack_1	16	36	20701	
20702	水镜攻击1	attack_1	36	48	20702	
20703	水镜攻击1	attack_1	48	94	20703	
20704	水镜攻击2	attack_2	0	7	20704	
20704	水镜攻击2	attack_2	7	54	20704_2	
20705	水镜攻击3	attack_3	0	30	20705	
20705	水镜攻击3	attack_3	30	37		
20705	水镜攻击3	attack_3	37	50		
20705	水镜攻击3	attack_3	50	68	20705_1	
20705	水镜攻击3	attack_3	68	77		
20705	水镜攻击3	attack_3	77	119	20705_3	
20706	水镜攻击4	attack_4	0	188	20706	
20900	于小雪普通攻击1	attack_1	0	17	20900	
20901	于小雪普通攻击2	attack_1	17	32	20901	
20902	于小雪普通攻击3	attack_1	32	56	20902	
20903	于小雪普通攻击4	attack_1	56	101	20903	
20904	于小雪攻击2	attack_2	0	190	20904	
20905	于小雪攻击3	attack_3	0	118	20905	
20906	于小雪攻击4	attack_4	0	136	20906	
21100	龙女攻击1	attack_1	0	60	21100	
21101	龙女攻击2	attack_1	60	130	21101	
21102	龙女攻击2	attack_2	0	195	21102	
21103	龙女攻击3	attack_3	0	110	21103	
21104	龙女攻击4	attack_4	0	111	21104	
21200	陈靖仇攻击1	attack_1	0	18	21200	
21201	陈靖仇攻击1	attack_1	18	40	21201	
21202	陈靖仇攻击1	attack_1	40	95	21202	
21203	陈靖仇攻击2	attack_2	0	101	21203	
21204	陈靖仇攻击3	attack_3	0	85	21204	
21205	陈靖仇攻击4	attack_4	0	110	21205	
21300	拓拔玉儿攻击1	attack_1	0	21	21300	
21301	拓拔玉儿攻击2	attack_1	21	40	21301	
21302	拓拔玉儿攻击3	attack_1	40	82	21302	
21303	拓拔玉儿技能攻击1	attack_2	0	100	21303	
21304	拓拔玉儿技能瞬斩准备	attack_3	0	26	21304	
21305	拓拔玉儿技能瞬斩闪	attack_3	26	29		
21306	拓拔玉儿技能瞬斩攻击	attack_3	29	104	21306	
21307	拓拔玉儿技能攻击3	attack_4	0	165	21307	
21400	慕容诗攻击1	attack_1	0	16	21400	
21401	慕容诗攻击2	attack_1	16	38	21401	
21402	慕容诗攻击3	attack_1	38	101	21402	
21403	慕容诗技能攻击1	attack_2	0	52		
21403	慕容诗技能攻击1	attack_2	52	53	21403	
21403	慕容诗技能攻击1	attack_2	53	89	21403_1	
21404	慕容诗技能攻击2	attack_3	0	94	21404	
21405	慕容诗技能攻击3	attack_4	0	104	21405	
21500	风后普通攻击	attack_1	0	44	21500	
21501	风后技能雷击	skill_1	0	90	21501	
21502	风后技能巽风	skill_3	0	71	21502	
21503	风后技能天罚	skill_4	0	375	21503	
21504	风后切换腾云姿态	skill_2	0	50	21504	
21505	风后腾云姿态普通攻击	attack_2	0	44	21505	
21506	风后腾云姿态技能雷击	skill_5	0	90	21506	
21507	风后腾云姿态技能巽风	skill_6	0	71	21507	
21508	风后腾云姿态技能天罚	skill_7	0	375	21508	
21509	风后技能大巽风	skill_6	0	71	21509	
21510	风后普通闪现	idle_1	0	0	21510	
21511	风后腾云闪现	idle_3	0	0	21511	
21512	风后腾云闪现绕后	idle_3	0	0	21512	
21600	朱雀帝普通攻击1	attack_1	0	48	21600	
21601	朱雀帝普通攻击2	attack_2	0	63	21601	
21602	朱雀帝大火球	skill_1	0	133	21602	
21603	朱雀帝火爆	skill_2	0	251	21603	
21604	朱雀帝火凤	skill_3	0	65	21604	
21605	朱雀帝落炎	skill_4	0	235	21605	
21606	朱雀帝炎盾	skill_5	0	55	21606	
21700	巨像猎人（人）普攻1	attack_1	0	42	21700	
21701	巨像猎人（人）普攻2	attack_2	0	48	21701	
21702	巨像猎人（人）跳跃狂击	skill_1	0	32	21702_0	
21702	巨像猎人（人）跳跃狂击	skill_1	32	51		
21702	巨像猎人（人）跳跃狂击	skill_1	51	110	21702_1	
21703	巨像猎人（人）崩山	skill_2	0	71	21703	
21704	巨像猎人（人）野性呼唤 变身	skill_3	0	71	21704	
21800	巨像猎人（全）普攻1	attack_1	0	57	21800	
21801	巨像猎人（全）普攻2	attack_2	0	54	21801	
21802	巨像猎人（全）流星锤	skill_1	0	101	21802	
21803	巨像猎人（全）泰山压顶	skill_2	0	98	21803	
21804	巨像猎人（全）野蛮冲撞身	skill_3	0	30	21804_0	
21804	巨像猎人（全）野蛮冲撞身	skill_3	30	51	21804	
21804	巨像猎人（全）野蛮冲撞身	skill_3	51	91	21804_1	
21805	巨像猎人（全）怒吼	skill_4	0	144	21805	
21806	巨像猎人（全）天崩地裂	skill_5	0	66	21806_1	
21806	巨像猎人（全）天崩地裂	skill_5	66	139	21806_2	
21806	巨像猎人（全）天崩地裂	skill_5	139	168		
21806	巨像猎人（全）天崩地裂	skill_5	168	214	21806_4	
21900	朱雀炎将普攻1（搓）	attack_1	0	32	21900	
21901	朱雀炎将普攻2（横扫）	attack_2	0	58	21901	
21902	朱雀炎将 烈风炎枪	skill_1	0	32		
21902	朱雀炎将 烈风炎枪	skill_1	32	36	21902_1	
21902	朱雀炎将 烈风炎枪	skill_1	36	120	21902_2	
21903	朱雀炎将 飞羽烈炎枪	skill_2	0	62	21903_1	
21903	朱雀炎将 飞羽烈炎枪	skill_2	62	69		
21903	朱雀炎将 飞羽烈炎枪	skill_2	69	75	21903_3	
21903	朱雀炎将 飞羽烈炎枪	skill_2	75	120		
22000	姬良普通攻击	attack_1	0	118	22000	
22001	姬良 乘龙念法（闪现）	boss_skill_1	0	24		
22002	姬良 乘龙念法·真（连续闪现）	boss_skill_1	0	24		
22003	姬良 天雷狂奔	boss_skill_2	0	150	22003	
22004	姬良 封魔咒	attack_1	0	118	22004	
22005	姬良 束缚咒	boss_skill_4	0	99	22005	
22006	姬良 寒冰蚀骨	boss_skill_5	0	110	22006	
22007	姬良 火风轮	boss_skill_6	0	51	22007	
22008	姬良 乾坤八剑·万剑穿胁	boss_skill_7	0	97	22008	
22009	姬良 火龙吐炎	boss_skill_8_start	0	8	22009_0	
22009	姬良 火龙吐炎	boss_skill_8_loop	0	31	22009	3
22009	姬良 火龙吐炎	boss_skill_8_end	0	41		
22010	姬良 驱鬼	boss_skill_9	0	80		
22011	姬良 真火念法	boss_skill_10	0	44	22011	
22012	姬良 毒蛊咒	boss_skill_11	0	71	22012	
22013	姬良 九龙化伤术	boss_skill_12	0	52	22013	
22014	姬良 虚弱	weakness	0	32		3
22015	姬良 召唤降龙力士	boss_skill_8_start	0	8		
22015	姬良 召唤降龙力士	boss_skill_8_loop	0	31		3
22015	姬良 召唤降龙力士	boss_skill_8_end	0	41	22015_2	
22016	姬良 召唤降龙力士	boss_skill_8_start	0	8		
22016	姬良 召唤降龙力士	boss_skill_8_loop	0	31		3
22016	姬良 召唤降龙力士	boss_skill_8_end	0	41	22016_2	
22017	姬良 召唤降龙力士	boss_skill_8_start	0	8		
22017	姬良 召唤降龙力士	boss_skill_8_loop	0	31		3
22017	姬良 召唤降龙力士	boss_skill_8_end	0	41	22017_2	
22018	姬良 召唤降龙力士	boss_skill_8_start	0	8		
22018	姬良 召唤降龙力士	boss_skill_8_loop	0	31		3
22018	姬良 召唤降龙力士	boss_skill_8_end	0	41	22018_2	
22100	降龙力士普攻	attack	0	70	22100	
22101	降龙力士技能下段踢	skill_1	0	81	22101	
22102	降龙力士技能台风斩	skill_2	0	99	22102	
22103	降龙力士技能斗气爆破	skill_3	0	89	22103	
22104	降龙力士技能风神膝	skill_4_1	0	3	22104_0	
22104	降龙力士技能风神膝	skill_4_2	0	20		
22104	降龙力士技能风神膝	skill_4_3	0	3		
22104	降龙力士技能风神膝	skill_4_4	0	57	22104_3	
22105	降龙力士技能风神旋风	skill_5	0	94	22105	
22200	翼虎普攻	attack	0	70	22200	
22201	翼虎扑咬	skill_1	0	140	22201	
22202	翼虎火焰吐息	skill_2	0	194	22202	
22203	翼虎猛虎落地	skill_3	0	30	22203_1	
22203	翼虎猛虎落地	skill_3	30	60	22203_2	
22203	翼虎猛虎落地	skill_3	60	110	22203_3	
22204	翼虎虎啸天雷	skill_4	0	192	22204	
22205	翼虎麻痹电球	skill_5	0	158	22205	
22206	翼虎奔雷	skill_6	0	83	22206	
22300	祸斗兽普攻	attack_1	0	68	22300	
22301	祸斗兽扑地	skill_1	0	136	22301	
22302	祸斗兽喷火	skill_2	0	194	22302	
22303	祸斗兽飞扑	skill_3	0	30	22303_1	
22303	祸斗兽飞扑	skill_3	30	60		
22303	祸斗兽飞扑	skill_3	60	110	22303_3	
22400	隋军副官普攻1	attack_1	0	70	22400	
22401	隋军副官普攻2	attack_2	0	65	22401	
22402	随军副官威震天地	skill_1	0	110	22402	
22403	随军副官搓土扬灰	skill_2	0	99	22403	
22404	披星戴月	skill_3	0	35	22404_0	
22404	披星戴月	skill_3	35	61	22404_1	
22404	披星戴月	skill_3	61	110	22404_2	
22405	随军副官地裂山崩	skill_4	0	68	22405	
22406	随军副官重击	skill_5	0	78	22406	
22500	蚩尤普攻	attack_1	0	60	22500_1	
22501	蚩尤普攻1	attack_2	0	70	22501_1	
22502	蚩尤战神怒火	skill_1	0	50		
22503	蚩尤右飞刀	skill_2_1	0	60	22503_1	
22504	蚩尤左飞刀	skill_2_2	0	60	22504_1	
22505	蚩尤乱披风斩	skill_3_start	0	60		
22505	蚩尤乱披风斩	skill_3_start_1	0	7		
22505	蚩尤乱披风斩	skill_3_loop	0	39	22505_1	3
22505	蚩尤乱披风斩	skill_3_end	0	80	22505_2	
22506	蚩尤死亡罡风	skill_4_start	0	15		
22506	蚩尤死亡罡风	skill_4_loop	0	40		1
22506	蚩尤死亡罡风	skill_4_end	0	60	22506_1	
22507	蚩尤蛮斧	skill_5	0	80	22507_1	
22508	蚩尤横扫	skill_7	0	84	22508_1	
22509	蚩尤竖劈1	skill_8_1	0	60	22509_1	
22510	蚩尤竖劈2	skill_8_2	0	60	22509_1	
22511	蚩尤怒吼	skill_9	0	50	22511_1	
22600	远古战灵普攻1	attack_1	0	99	22600_1	
22601	远古战灵普攻2	attack_2	0	99	22601_1	
22602	远古战灵普攻3	attack_3	0	95	22602_1	
22603	远古战灵技能1	skill_1	0	77	22603_1	
22604	远古战灵技能2	skill_2	0	110	22604_1	
22605	远古战灵技能3	skill_3	0	104	22605_1	
22606	远古战灵技能4	skill_4	0	107	22606_1	
22607	远古战灵技能5	skill_5	0	138	22607_1	
22608	远古战灵技能6	skill_6	0	85	22608_1	
22609	远古战灵技能7	skill_7_start	0	48	22609_1	
22609	远古战灵技能7	skill_7_loop	0	90	22609_1	1
22609	远古战灵技能7	skill_7_end	0	22	22609_1	
22610	战灵召唤1	start	0	19	
22611	战灵召唤2	loop	0	51		1
22612	战灵召唤3	end_1	0	23	
22613	战灵召唤4	end_2	0	17	
22700	玄武鲨普攻1	attack_1	0	84	22700_1	
22701	玄武鲨普攻2	attack_2	0	84	22701_1	
22702	玄武鲨技能1	skill_1	0	120	22702_1	
22703	玄武鲨技能2	skill_2	0	107	22703_1	
22704	玄武鲨技能3	skill_3	0	200	22704_1	
