注灵ID	注灵类型	法宝ID	备注	境界等级	需要角色等级	注灵材料	位置参数	前置注灵ID	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理攻击	法术攻击	治疗强度	物理防御	法术防御	额外伤害	伤害减免	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	全属性抗性	金抗性	木抗性	水抗性	火抗性	土抗性	金伤害	木伤害	水伤害	火伤害	土伤害
10281	1	102	鼠槌	8	50	1901;40,1902;2	5							12																												
10282	1	102	鼠槌	8	50	1901;40,1902;2	7	10281					12																													
10283	1	102	鼠槌	8	50	1901;40,1902;2	11	10282			12																															
11281	2	102	鼠槌	8	50	1903;7	16	10282											30		12																					
10291	1	102	鼠槌	9	50	1901;40,1902;3	3							13																												
10292	1	102	鼠槌	9	50	1901;40,1902;3	6	10291					13																													
10293	1	102	鼠槌	9	50	1901;40,1902;3	9	10292			13																															
11291	2	102	鼠槌	9	50	1903;7	15	10293													8	8		30																		
20101	1	201	鬼鸡爪子	0	50	1901;2	1		4																																	
20102	1	201	鬼鸡爪子	0	50	1901;2	2	20101				4																														
20103	1	201	鬼鸡爪子	0	50	1901;2	10	20102	4																																	
20104	1	201	鬼鸡爪子	0	50	1901;2	12	20103				4																														
20111	1	201	鬼鸡爪子	1	50	1901;5	1							5																												
20112	1	201	鬼鸡爪子	1	50	1901;5	5	20111	5																																	
20113	1	201	鬼鸡爪子	1	50	1901;5	9	20112						5																												
20114	1	201	鬼鸡爪子	1	50	1901;5	21	20113	5																																	
20121	1	201	鬼鸡爪子	2	50	1901;10	1		6																																	
20122	1	201	鬼鸡爪子	2	50	1901;10	3	20121	6																																	
20123	1	201	鬼鸡爪子	2	50	1901;10	4	20122				6																														
20124	1	201	鬼鸡爪子	2	50	1901;10	7	20123				6																														
21121	2	201	鬼鸡爪子	2	50	1903;1	12	20122								13			34																							
21122	2	201	鬼鸡爪子	2	50	1903;1	16	20124															23				27															
20131	1	201	鬼鸡爪子	3	50	1901;10	2		7																																	
20132	1	201	鬼鸡爪子	3	50	1901;10	5	20131	7																																	
20133	1	201	鬼鸡爪子	3	50	1901;10	8	20132						7																												
20134	1	201	鬼鸡爪子	3	50	1901;10	11	20133						7																												
21131	2	201	鬼鸡爪子	3	50	1903;2	14	20131											30								27															
21132	2	201	鬼鸡爪子	3	50	1903;2	16	20133								13											31															
20141	1	201	鬼鸡爪子	4	50	1901;20	3		8																																	
20142	1	201	鬼鸡爪子	4	50	1901;20	11	20141	8																																	
20143	1	201	鬼鸡爪子	4	50	1901;20	16	20142	8																																	
20144	1	201	鬼鸡爪子	4	50	1901;20	18	20143	8																																	
21141	2	201	鬼鸡爪子	4	50	1903;3	19	20142											40								18															
21142	2	201	鬼鸡爪子	4	50	1903;3	20	20144											30				23																			
20151	1	201	鬼鸡爪子	5	50	1901;50	1		9																																	
20152	1	201	鬼鸡爪子	5	50	1901;50	2	20151						9																												
20153	1	201	鬼鸡爪子	5	50	1901;50	3	20152	9																																	
20154	1	201	鬼鸡爪子	5	50	1901;50	3	20153						9																												
21151	2	201	鬼鸡爪子	5	50	1903;4	5	20151											24								32															
21152	2	201	鬼鸡爪子	5	50	1903;4	6	20154															23																			
20161	1	201	鬼鸡爪子	6	50	1901;30,1902;1	1		10																																	
20162	1	201	鬼鸡爪子	6	50	1901;30,1902;1	4	20161	10																																	
20163	1	201	鬼鸡爪子	6	50	1901;30,1902;1	9	20162	10																																	
20164	1	201	鬼鸡爪子	6	50	1901;30,1902;1	10	20163				10																														
21161	2	201	鬼鸡爪子	6	50	1903;5	12	20162																			27															
21162	2	201	鬼鸡爪子	6	50	1903;5	16	20163															23																			
20171	1	201	鬼鸡爪子	7	50	1901;30,1902;1	1		11																																	
20172	1	201	鬼鸡爪子	7	50	1901;30,1902;1	3	20171			11																															
20173	1	201	鬼鸡爪子	7	50	1901;30,1902;1	4	20172				11																														
20174	1	201	鬼鸡爪子	7	50	1901;30,1902;1	6	20173				11																														
21171	2	201	鬼鸡爪子	7	50	1903;6	7	20171																			27															
21172	2	201	鬼鸡爪子	7	50	1903;6	12	20174															30																			
20181	1	201	鬼鸡爪子	8	50	1901;40,1902;2	5		12																																	
20182	1	201	鬼鸡爪子	8	50	1901;40,1902;2	7	20181			12																															
20183	1	201	鬼鸡爪子	8	50	1901;40,1902;2	11	20182			12																															
20184	1	201	鬼鸡爪子	8	50	1901;40,1902;2	13	20183						12																												
21181	2	201	鬼鸡爪子	8	50	1903;7	16	20182																		45																
21182	2	201	鬼鸡爪子	8	50	1903;7	20	20182																		45																
20191	1	201	鬼鸡爪子	9	50	1901;40,1902;3	3		13																																	
20192	1	201	鬼鸡爪子	9	50	1901;40,1902;3	6	20191			13																															
20193	1	201	鬼鸡爪子	9	50	1901;40,1902;3	9	20192	13																																	
20194	1	201	鬼鸡爪子	9	50	1901;40,1902;3	12	20193						13																												
21191	2	201	鬼鸡爪子	9	50	1903;7	15	20193																		75																
21192	2	201	鬼鸡爪子	9	50	1903;7	18	20194																		90																
20201	1	202	龙颿	0	50	1901;2	1						4																													
20202	1	202	龙颿	0	50	1901;2	2	20201			4																															
20203	1	202	龙颿	0	50	1901;2	10	20202					4																													
20204	1	202	龙颿	0	50	1901;2	12	20203						4																												
20211	1	202	龙颿	1	50	1901;5	1						5																													
20212	1	202	龙颿	1	50	1901;5	5	20211	5																																	
20213	1	202	龙颿	1	50	1901;5	9	20212			5																															
20214	1	202	龙颿	1	50	1901;5	18	20213					5																													
20221	1	202	龙颿	2	50	1901;10	1						6																													
20222	1	202	龙颿	2	50	1901;10	3	20221			6																															
20223	1	202	龙颿	2	50	1901;10	4	20222					6																													
20224	1	202	龙颿	2	50	1901;10	7	20223	6																																	
21221	2	202	龙颿	2	50	1903;1	12	20222							120								23																			
21222	2	202	龙颿	2	50	1903;1	16	20224															23		8					15												
20231	1	202	龙颿	3	50	1901;10	2		7																																	
20232	1	202	龙颿	3	50	1901;10	5	20231			7																															
20233	1	202	龙颿	3	50	1901;10	8	20232					7																													
20234	1	202	龙颿	3	50	1901;10	11	20233						7																												
21231	2	202	龙颿	3	50	1903;2	14	20231															23			45																
21232	2	202	龙颿	3	50	1903;2	16	20233															15		8					23												
20241	1	202	龙颿	4	50	1901;20	3						8																													
20242	1	202	龙颿	4	50	1901;20	11	20241					8																													
20243	1	202	龙颿	4	50	1901;20	14	20242			8																															
20244	1	202	龙颿	4	50	1901;20	16	20243					8																													
21241	2	202	龙颿	4	50	1903;3	18	20242															23		23																	
21242	2	202	龙颿	4	50	1903;3	21	20244								10							15							15												
20251	1	202	龙颿	5	50	1901;50	1						9																													
20252	1	202	龙颿	5	50	1901;50	2	20251			9																															
20253	1	202	龙颿	5	50	1901;50	3	20252					9																													
20254	1	202	龙颿	5	50	1901;50	3	20253	9																																	
21251	2	202	龙颿	5	50	1903;4	5	20251							120								23																			
21252	2	202	龙颿	5	50	1903;4	6	20254							80										15					15												
20261	1	202	龙颿	6	50	1901;30,1902;1	1						10																													
20262	1	202	龙颿	6	50	1901;30,1902;1	4	20261			10																															
20263	1	202	龙颿	6	50	1901;30,1902;1	9	20262						10																												
20264	1	202	龙颿	6	50	1901;30,1902;1	10	20263	10																																	
21261	2	202	龙颿	6	50	1903;5	12	20262							80								15							15												
21262	2	202	龙颿	6	50	1903;5	16	20263																	15					30												
20271	1	202	龙颿	7	50	1901;30,1902;1	1						11																													
20272	1	202	龙颿	7	50	1901;30,1902;1	3	20271			11																															
20273	1	202	龙颿	7	50	1901;30,1902;1	4	20272					11																													
20274	1	202	龙颿	7	50	1901;30,1902;1	6	20273			11																															
21271	2	202	龙颿	7	50	1903;6	7	20271								15									23																	
21272	2	202	龙颿	7	50	1903;6	12	20274																		15				38												
20281	1	202	龙颿	8	50	1901;40,1902;2	5						12																													
20282	1	202	龙颿	8	50	1901;40,1902;2	7	20281						12																												
20283	1	202	龙颿	8	50	1901;40,1902;2	11	20282					12																													
20284	1	202	龙颿	8	50	1901;40,1902;2	13	20283	12																																	
21281	2	202	龙颿	8	50	1903;7	16	20282							40	10										45																
21282	2	202	龙颿	8	50	1903;7	20	20282																	30					15												
20291	1	202	龙颿	9	50	1901;40,1902;3	3						13																													
20292	1	202	龙颿	9	50	1901;40,1902;3	6	20291			13																															
20293	1	202	龙颿	9	50	1901;40,1902;3	9	20292	13																																	
20294	1	202	龙颿	9	50	1901;40,1902;3	12	20293					13																													
21291	2	202	龙颿	9	50	1903;7	15	20293								10									8	45																
21292	2	202	龙颿	9	50	1903;7	18	20294								10									30																	
20301	1	203	暗杀宝录	0	50	1901;2	1			4																																
20302	1	203	暗杀宝录	0	50	1901;2	2	20301			4																															
20303	1	203	暗杀宝录	0	50	1901;2	10	20302		4																																
20304	1	203	暗杀宝录	0	50	1901;2	12	20303				4																														
20311	1	203	暗杀宝录	1	50	1901;5	1			5																																
20312	1	203	暗杀宝录	1	50	1901;5	5	20311						5																												
20313	1	203	暗杀宝录	1	50	1901;5	9	20312		5																																
20314	1	203	暗杀宝录	1	50	1901;5	18	20313				5																														
20321	1	203	暗杀宝录	2	50	1901;10	1			6																																
20322	1	203	暗杀宝录	2	50	1901;10	3	20321			6																															
20323	1	203	暗杀宝录	2	50	1901;10	4	20322		6																																
20324	1	203	暗杀宝录	2	50	1901;10	7	20323				6																														
21321	2	203	暗杀宝录	2	50	1903;1	12	20322									13											26														
21322	2	203	暗杀宝录	2	50	1903;1	16	20324																							45											
20331	1	203	暗杀宝录	3	50	1901;10	2			7																																
20332	1	203	暗杀宝录	3	50	1901;10	5	20331				7																														
20333	1	203	暗杀宝录	3	50	1901;10	8	20332		7																																
20334	1	203	暗杀宝录	3	50	1901;10	11	20333						7																												
21331	2	203	暗杀宝录	3	50	1903;2	14	20331																				23			23											
21332	2	203	暗杀宝录	3	50	1903;2	16	20333									13														26											
20341	1	203	暗杀宝录	4	50	1901;20	3			8																																
20342	1	203	暗杀宝录	4	50	1901;20	11	20341				8																														
20343	1	203	暗杀宝录	4	50	1901;20	14	20342		8																																
20344	1	203	暗杀宝录	4	50	1901;20	16	20343			8																															
21341	2	203	暗杀宝录	4	50	1903;3	18	20342																				30			15											
21342	2	203	暗杀宝录	4	50	1903;3	21	20344																				23			23											
20351	1	203	暗杀宝录	5	50	1901;50	1			9																																
20352	1	203	暗杀宝录	5	50	1901;50	2	20351		9																																
20353	1	203	暗杀宝录	5	50	1901;50	3	20352		9																																
20354	1	203	暗杀宝录	5	50	1901;50	3	20353						9																												
21351	2	203	暗杀宝录	5	50	1903;4	5	20351																				18			27											
21352	2	203	暗杀宝录	5	50	1903;4	6	20354											30				23																			
20361	1	203	暗杀宝录	6	50	1901;30,1902;1	1			10																																
20362	1	203	暗杀宝录	6	50	1901;30,1902;1	4	20361			10																															
20363	1	203	暗杀宝录	6	50	1901;30,1902;1	9	20362		10																																
20364	1	203	暗杀宝录	6	50	1901;30,1902;1	10	20363				10																														
21361	2	203	暗杀宝录	6	50	1903;5	12	20362											30				23																			
21362	2	203	暗杀宝录	6	50	1903;5	16	20363											30				23																			
20371	1	203	暗杀宝录	7	50	1901;30,1902;1	1			11																																
20372	1	203	暗杀宝录	7	50	1901;30,1902;1	3	20371			11																															
20373	1	203	暗杀宝录	7	50	1901;30,1902;1	4	20372				11																														
20374	1	203	暗杀宝录	7	50	1901;30,1902;1	6	20373		11																																
21371	2	203	暗杀宝录	7	50	1903;6	7	20371											30				23																			
21372	2	203	暗杀宝录	7	50	1903;6	12	20374											20				30																			
20381	1	203	暗杀宝录	8	50	1901;40,1902;2	5			12																																
20382	1	203	暗杀宝录	8	50	1901;40,1902;2	7	20381			12																															
20383	1	203	暗杀宝录	8	50	1901;40,1902;2	11	20382						12																												
20384	1	203	暗杀宝录	8	50	1901;40,1902;2	13	20383		12																																
21381	2	203	暗杀宝录	8	50	1903;7	16	20382											30					45																		
21382	2	203	暗杀宝录	8	50	1903;7	20	20382											30					45																		
20391	1	203	暗杀宝录	9	50	1901;40,1902;3	3			13																																
20392	1	203	暗杀宝录	9	50	1901;40,1902;3	6	20391			13																															
20393	1	203	暗杀宝录	9	50	1901;40,1902;3	9	20392				13																														
20394	1	203	暗杀宝录	9	50	1901;40,1902;3	12	20393		13																																
21391	2	203	暗杀宝录	9	50	1903;7	15	20393											10					75																		
21392	2	203	暗杀宝录	9	50	1903;7	18	20394																90																		
20401	1	204	奇魄古玉	0	50	1901;2	1			4																																
20402	1	204	奇魄古玉	0	50	1901;2	2	20401			4																															
20403	1	204	奇魄古玉	0	50	1901;2	10	20402				4																														
20404	1	204	奇魄古玉	0	50	1901;2	12	20403					4																													
20411	1	204	奇魄古玉	1	50	1901;5	1						5																													
20412	1	204	奇魄古玉	1	50	1901;5	5	20411			5																															
20413	1	204	奇魄古玉	1	50	1901;5	9	20412					5																													
20414	1	204	奇魄古玉	1	50	1901;5	18	20413			5																															
20421	1	204	奇魄古玉	2	50	1901;10	1						6																													
20422	1	204	奇魄古玉	2	50	1901;10	3	20421			6																															
20423	1	204	奇魄古玉	2	50	1901;10	4	20422					6																													
20424	1	204	奇魄古玉	2	50	1901;10	7	20423		6																																
21421	2	204	奇魄古玉	2	50	1903;1	12	20422									15						23																			
21422	2	204	奇魄古玉	2	50	1903;1	16	20424															23		8		18															
20431	1	204	奇魄古玉	3	50	1901;10	2			7																																
20432	1	204	奇魄古玉	3	50	1901;10	5	20431					7																													
20433	1	204	奇魄古玉	3	50	1901;10	8	20432					7																													
20434	1	204	奇魄古玉	3	50	1901;10	11	20433			7																															
21431	2	204	奇魄古玉	3	50	1903;2	14	20431															23			45																
21432	2	204	奇魄古玉	3	50	1903;2	16	20433															15		8		27															
20441	1	204	奇魄古玉	4	50	1901;20	3						8																													
20442	1	204	奇魄古玉	4	50	1901;20	11	20441				8																														
20443	1	204	奇魄古玉	4	50	1901;20	14	20442					8																													
20444	1	204	奇魄古玉	4	50	1901;20	16	20443		8																																
21441	2	204	奇魄古玉	4	50	1903;3	18	20442															23		23																	
21442	2	204	奇魄古玉	4	50	1903;3	21	20444															15				18				15											
20451	1	204	奇魄古玉	5	50	1901;50	1				9																															
20452	1	204	奇魄古玉	5	50	1901;50	2	20451					9																													
20453	1	204	奇魄古玉	5	50	1901;50	3	20452		9																																
20454	1	204	奇魄古玉	5	50	1901;50	3	20453				9																														
21451	2	204	奇魄古玉	5	50	1903;4	5	20451									15						23																			
21452	2	204	奇魄古玉	5	50	1903;4	6	20454									10								15		18															
20461	1	204	奇魄古玉	6	50	1901;30,1902;1	1						10																													
20462	1	204	奇魄古玉	6	50	1901;30,1902;1	4	20461			10																															
20463	1	204	奇魄古玉	6	50	1901;30,1902;1	9	20462					10																													
20464	1	204	奇魄古玉	6	50	1901;30,1902;1	10	20463		10																																
21461	2	204	奇魄古玉	6	50	1903;5	12	20462									10						15				18															
21462	2	204	奇魄古玉	6	50	1903;5	16	20463																	15		36															
20471	1	204	奇魄古玉	7	50	1901;30,1902;1	1						11																													
20472	1	204	奇魄古玉	7	50	1901;30,1902;1	3	20471					11																													
20473	1	204	奇魄古玉	7	50	1901;30,1902;1	4	20472				11																														
20474	1	204	奇魄古玉	7	50	1901;30,1902;1	6	20473		11																																
21471	2	204	奇魄古玉	7	50	1903;6	7	20471																	23						23											
21472	2	204	奇魄古玉	7	50	1903;6	12	20474																		15	45															
20481	1	204	奇魄古玉	8	50	1901;40,1902;2	5			12																																
20482	1	204	奇魄古玉	8	50	1901;40,1902;2	7	20481			12																															
20483	1	204	奇魄古玉	8	50	1901;40,1902;2	11	20482					12																													
20484	1	204	奇魄古玉	8	50	1901;40,1902;2	13	20483		12																																
21481	2	204	奇魄古玉	8	50	1903;7	16	20482									5									45					15											
21482	2	204	奇魄古玉	8	50	1903;7	20	20482																	30		18															
20491	1	204	奇魄古玉	9	50	1901;40,1902;3	3			13																																
20492	1	204	奇魄古玉	9	50	1901;40,1902;3	6	20491		13																																
20493	1	204	奇魄古玉	9	50	1901;40,1902;3	9	20492			13																															
20494	1	204	奇魄古玉	9	50	1901;40,1902;3	12	20493			13																															
21491	2	204	奇魄古玉	9	50	1903;7	15	20493																	8	45					15											
21492	2	204	奇魄古玉	9	50	1903;7	18	20494																	30						15											
20501	1	205	五行盘	0	50	1901;2	1				4																															
20502	1	205	五行盘	0	50	1901;2	2	20501					4																													
20503	1	205	五行盘	0	50	1901;2	10	20502						4																												
20504	1	205	五行盘	0	50	1901;2	12	20503			4																															
20511	1	205	五行盘	1	50	1901;5	1				5																															
20512	1	205	五行盘	1	50	1901;5	5	20511					5																													
20513	1	205	五行盘	1	50	1901;5	9	20512	5																																	
20514	1	205	五行盘	1	50	1901;5	18	20513			5																															
20521	1	205	五行盘	2	50	1901;10	1				6																															
20522	1	205	五行盘	2	50	1901;10	3	20521	6																																	
20523	1	205	五行盘	2	50	1901;10	4	20522		6																																
20524	1	205	五行盘	2	50	1901;10	7	20523					6																													
21521	2	205	五行盘	2	50	1903;1	12	20522											30	30																						
21522	2	205	五行盘	2	50	1903;1	16	20524													12						27															
20531	1	205	五行盘	3	50	1901;10	2		7																																	
20532	1	205	五行盘	3	50	1901;10	5	20531			7																															
20533	1	205	五行盘	3	50	1901;10	8	20532					7																													
20534	1	205	五行盘	3	50	1901;10	11	20533						7																												
21531	2	205	五行盘	3	50	1903;2	14	20531											30	30																						
21532	2	205	五行盘	3	50	1903;2	16	20533													12						27															
20541	1	205	五行盘	4	50	1901;20	3						8																													
20542	1	205	五行盘	4	50	1901;20	11	20541					8																													
20543	1	205	五行盘	4	50	1901;20	14	20542			8																															
20544	1	205	五行盘	4	50	1901;20	16	20543			8																															
21541	2	205	五行盘	4	50	1903;3	18	20542											30	30																						
21542	2	205	五行盘	4	50	1903;3	21	20544													8						18		15													
20551	1	205	五行盘	5	50	1901;50	1		9																																	
20552	1	205	五行盘	5	50	1901;50	2	20551			9																															
20553	1	205	五行盘	5	50	1901;50	3	20552					9																													
20554	1	205	五行盘	5	50	1901;50	3	20553						9																												
21551	2	205	五行盘	5	50	1903;4	5	20551							80				20	20																						
21552	2	205	五行盘	5	50	1903;4	6	20554													6						14		21													
20561	1	205	五行盘	6	50	1901;30,1902;1	1				10																															
20562	1	205	五行盘	6	50	1901;30,1902;1	4	20561					10																													
20563	1	205	五行盘	6	50	1901;30,1902;1	9	20562	10																																	
20564	1	205	五行盘	6	50	1901;30,1902;1	10	20563		10																																
21561	2	205	五行盘	6	50	1903;5	12	20562							80				20	20																						
21562	2	205	五行盘	6	50	1903;5	16	20563															23						23													
20571	1	205	五行盘	7	50	1901;30,1902;1	1						11																													
20572	1	205	五行盘	7	50	1901;30,1902;1	3	20571			11																															
20573	1	205	五行盘	7	50	1901;30,1902;1	4	20572			11																															
20574	1	205	五行盘	7	50	1901;30,1902;1	6	20573	11																																	
21571	2	205	五行盘	7	50	1903;6	7	20571							80				20	20																						
21572	2	205	五行盘	7	50	1903;6	12	20574															30						15													
20581	1	205	五行盘	8	50	1901;40,1902;2	5				12																															
20582	1	205	五行盘	8	50	1901;40,1902;2	7	20581					12																													
20583	1	205	五行盘	8	50	1901;40,1902;2	11	20582						12																												
20584	1	205	五行盘	8	50	1901;40,1902;2	13	20583			12																															
21581	2	205	五行盘	8	50	1903;7	16	20582							80				20	20																						
21582	2	205	五行盘	8	50	1903;7	20	20582							120								23																			
20591	1	205	五行盘	9	50	1901;40,1902;3	3				13																															
20592	1	205	五行盘	9	50	1901;40,1902;3	6	20591					13																													
20593	1	205	五行盘	9	50	1901;40,1902;3	9	20592					13																													
20594	1	205	五行盘	9	50	1901;40,1902;3	12	20593			13																															
21591	2	205	五行盘	9	50	1903;7	15	20593							80				20	20																						
21592	2	205	五行盘	9	50	1903;7	18	20594							240																											
20601	1	206	洞察光环	0	50	1901;2	1			4																																
20602	1	206	洞察光环	0	50	1901;2	2	20601			4																															
20603	1	206	洞察光环	0	50	1901;2	10	20602				4																														
20604	1	206	洞察光环	0	50	1901;2	12	20603						4																												
20611	1	206	洞察光环	1	50	1901;5	1			5																																
20612	1	206	洞察光环	1	50	1901;5	5	20611			5																															
20613	1	206	洞察光环	1	50	1901;5	9	20612				5																														
20614	1	206	洞察光环	1	50	1901;5	18	20613						5																												
20621	1	206	洞察光环	2	50	1901;10	1			6																																
20622	1	206	洞察光环	2	50	1901;10	3	20621			6																															
20623	1	206	洞察光环	2	50	1901;10	4	20622				6																														
20624	1	206	洞察光环	2	50	1901;10	7	20623						6																												
21621	2	206	洞察光环	2	50	1903;1	12	20622								15	15																									
21622	2	206	洞察光环	2	50	1903;1	16	20624													8		15					15														
20631	1	206	洞察光环	3	50	1901;10	2		7																																	
20632	1	206	洞察光环	3	50	1901;10	5	20631		7																																
20633	1	206	洞察光环	3	50	1901;10	8	20632			7																															
20634	1	206	洞察光环	3	50	1901;10	11	20633				7																														
21631	2	206	洞察光环	3	50	1903;2	14	20631								15	15																									
21632	2	206	洞察光环	3	50	1903;2	16	20633													8		15					15														
20641	1	206	洞察光环	4	50	1901;20	3			8																																
20642	1	206	洞察光环	4	50	1901;20	11	20641			8																															
20643	1	206	洞察光环	4	50	1901;20	14	20642			8																															
20644	1	206	洞察光环	4	50	1901;20	16	20643						8																												
21641	2	206	洞察光环	4	50	1903;3	18	20642								10	10										36															
21642	2	206	洞察光环	4	50	1903;3	21	20644													8							15														
20651	1	206	洞察光环	5	50	1901;50	1			9																																
20652	1	206	洞察光环	5	50	1901;50	2	20651			9																															
20653	1	206	洞察光环	5	50	1901;50	3	20652			9																															
20654	1	206	洞察光环	5	50	1901;50	3	20653						9																												
21651	2	206	洞察光环	5	50	1903;4	5	20651								15	15																									
21652	2	206	洞察光环	5	50	1903;4	6	20654													8		15					15														
20661	1	206	洞察光环	6	50	1901;30,1902;1	1		10																																	
20662	1	206	洞察光环	6	50	1901;30,1902;1	4	20661		10																																
20663	1	206	洞察光环	6	50	1901;30,1902;1	9	20662			10																															
20664	1	206	洞察光环	6	50	1901;30,1902;1	10	20663				10																														
21661	2	206	洞察光环	6	50	1903;5	12	20662													8			30				15														
21662	2	206	洞察光环	6	50	1903;5	16	20663													8		15					15														
20671	1	206	洞察光环	7	50	1901;30,1902;1	1			11																																
20672	1	206	洞察光环	7	50	1901;30,1902;1	3	20671			11																															
20673	1	206	洞察光环	7	50	1901;30,1902;1	4	20672				11																														
20674	1	206	洞察光环	7	50	1901;30,1902;1	6	20673						11																												
21671	2	206	洞察光环	7	50	1903;6	7	20671															15	30			18															
21672	2	206	洞察光环	7	50	1903;6	12	20674													8		15					15														
20681	1	206	洞察光环	8	50	1901;40,1902;2	5			12																																
20682	1	206	洞察光环	8	50	1901;40,1902;2	7	20681			12																															
20683	1	206	洞察光环	8	50	1901;40,1902;2	11	20682				12																														
20684	1	206	洞察光环	8	50	1901;40,1902;2	13	20683						12																												
