技能ID	备注	下一级技能ID	技能类型	法宝ID	技能等级	需要法宝境界	消耗材料ID	材料数量	描述
32067	洞察光环主动技能7级		1	206	7	10	1904	15	测试描述
33011	庖丁菜刀主动技能1级	33012	1	301	1	0	1904	1	测试描述
33012	庖丁菜刀主动技能2级	33013	1	301	2	1	1904	2	测试描述
33013	庖丁菜刀主动技能3级	33014	1	301	3	2	1904	4	测试描述
33014	庖丁菜刀主动技能4级	33015	1	301	4	4	1904	6	测试描述
33015	庖丁菜刀主动技能5级	33016	1	301	5	6	1904	8	测试描述
33016	庖丁菜刀主动技能6级	33017	1	301	6	8	1904	10	测试描述
33017	庖丁菜刀主动技能7级		1	301	7	10	1904	15	测试描述
33021	白虎风牙主动技能1级	33022	1	302	1	0	1904	1	测试描述
33022	白虎风牙主动技能2级	33023	1	302	2	1	1904	2	测试描述
33023	白虎风牙主动技能3级	33024	1	302	3	2	1904	4	测试描述
33024	白虎风牙主动技能4级	33025	1	302	4	4	1904	6	测试描述
33025	白虎风牙主动技能5级	33026	1	302	5	6	1904	8	测试描述
33026	白虎风牙主动技能6级	33027	1	302	6	8	1904	10	测试描述
33027	白虎风牙主动技能7级		1	302	7	10	1904	15	测试描述
33031	朱雀火羽主动技能1级	33032	1	303	1	0	1904	1	测试描述
33032	朱雀火羽主动技能2级	33033	1	303	2	1	1904	2	测试描述
33033	朱雀火羽主动技能3级	33034	1	303	3	2	1904	4	测试描述
33034	朱雀火羽主动技能4级	33035	1	303	4	4	1904	6	测试描述
33035	朱雀火羽主动技能5级	33036	1	303	5	6	1904	8	测试描述
33036	朱雀火羽主动技能6级	33037	1	303	6	8	1904	10	测试描述
33037	朱雀火羽主动技能7级		1	303	7	10	1904	15	测试描述
33041	沙尘之珠主动技能1级	33042	1	304	1	0	1904	1	测试描述
33042	沙尘之珠主动技能2级	33043	1	304	2	1	1904	2	测试描述
33043	沙尘之珠主动技能3级	33044	1	304	3	2	1904	4	测试描述
33044	沙尘之珠主动技能4级	33045	1	304	4	4	1904	6	测试描述
33045	沙尘之珠主动技能5级	33046	1	304	5	6	1904	8	测试描述
33046	沙尘之珠主动技能6级	33047	1	304	6	8	1904	10	测试描述
33047	沙尘之珠主动技能7级		1	304	7	10	1904	15	测试描述
33051	玄武之沂主动技能1级	33052	1	305	1	0	1904	1	测试描述
33052	玄武之沂主动技能2级	33053	1	305	2	1	1904	2	测试描述
33053	玄武之沂主动技能3级	33054	1	305	3	2	1904	4	测试描述
33054	玄武之沂主动技能4级	33055	1	305	4	4	1904	6	测试描述
33055	玄武之沂主动技能5级	33056	1	305	5	6	1904	8	测试描述
33056	玄武之沂主动技能6级	33057	1	305	6	8	1904	10	测试描述
33057	玄武之沂主动技能7级		1	305	7	10	1904	15	测试描述
33061	青龙灵珠主动技能1级	33062	1	306	1	0	1904	1	测试描述
33062	青龙灵珠主动技能2级	33063	1	306	2	1	1904	2	测试描述
33063	青龙灵珠主动技能3级	33064	1	306	3	2	1904	4	测试描述
33064	青龙灵珠主动技能4级	33065	1	306	4	4	1904	6	测试描述
33065	青龙灵珠主动技能5级	33066	1	306	5	6	1904	8	测试描述
33066	青龙灵珠主动技能6级	33067	1	306	6	8	1904	10	测试描述
33067	青龙灵珠主动技能7级		1	306	7	10	1904	15	测试描述
33071	乾坤袋主动技能1级	33072	1	307	1	0	1904	1	测试描述
33072	乾坤袋主动技能2级	33073	1	307	2	1	1904	2	测试描述
33073	乾坤袋主动技能3级	33074	1	307	3	2	1904	4	测试描述
33074	乾坤袋主动技能4级	33075	1	307	4	4	1904	6	测试描述
33075	乾坤袋主动技能5级	33076	1	307	5	6	1904	8	测试描述
33076	乾坤袋主动技能6级	33077	1	307	6	8	1904	10	测试描述
33077	乾坤袋主动技能7级		1	307	7	10	1904	15	测试描述
33081	阴阳镜主动技能1级	33082	1	308	1	0	1904	1	测试描述
33082	阴阳镜主动技能2级	33083	1	308	2	1	1904	2	测试描述
33083	阴阳镜主动技能3级	33084	1	308	3	2	1904	4	测试描述
33084	阴阳镜主动技能4级	33085	1	308	4	4	1904	6	测试描述
33085	阴阳镜主动技能5级	33086	1	308	5	6	1904	8	测试描述
33086	阴阳镜主动技能6级	33087	1	308	6	8	1904	10	测试描述
33087	阴阳镜主动技能7级		1	308	7	10	1904	15	测试描述
34011	盘古斧主动技能1级	34012	1	401	1	0	1904	1	测试描述
34012	盘古斧主动技能2级	34013	1	401	2	1	1904	2	测试描述
34013	盘古斧主动技能3级	34014	1	401	3	2	1904	4	测试描述
34014	盘古斧主动技能4级	34015	1	401	4	4	1904	6	测试描述
34015	盘古斧主动技能5级	34016	1	401	5	6	1904	8	测试描述
34016	盘古斧主动技能6级	34017	1	401	6	8	1904	10	测试描述
34017	盘古斧主动技能7级		1	401	7	10	1904	15	测试描述
34021	东皇钟主动技能1级	34022	1	402	1	0	1904	1	测试描述
34022	东皇钟主动技能2级	34023	1	402	2	1	1904	2	测试描述
34023	东皇钟主动技能3级	34024	1	402	3	2	1904	4	测试描述
34024	东皇钟主动技能4级	34025	1	402	4	4	1904	6	测试描述
34025	东皇钟主动技能5级	34026	1	402	5	6	1904	8	测试描述
34026	东皇钟主动技能6级	34027	1	402	6	8	1904	10	测试描述
34027	东皇钟主动技能7级		1	402	7	10	1904	15	测试描述
34031	轩辕剑主动技能1级	34032	1	403	1	0	1904	1	测试描述
34032	轩辕剑主动技能2级	34033	1	403	2	1	1904	2	测试描述
34033	轩辕剑主动技能3级	34034	1	403	3	2	1904	4	测试描述
34034	轩辕剑主动技能4级	34035	1	403	4	4	1904	6	测试描述
34035	轩辕剑主动技能5级	34036	1	403	5	6	1904	8	测试描述
34036	轩辕剑主动技能6级	34037	1	403	6	8	1904	10	测试描述
34037	轩辕剑主动技能7级		1	403	7	10	1904	15	测试描述
34041	昊天塔主动技能1级	34042	1	404	1	0	1904	1	测试描述
34042	昊天塔主动技能2级	34043	1	404	2	1	1904	2	测试描述
34043	昊天塔主动技能3级	34044	1	404	3	2	1904	4	测试描述
34044	昊天塔主动技能4级	34045	1	404	4	4	1904	6	测试描述
34045	昊天塔主动技能5级	34046	1	404	5	6	1904	8	测试描述
34046	昊天塔主动技能6级	34047	1	404	6	8	1904	10	测试描述
34047	昊天塔主动技能7级		1	404	7	10	1904	15	测试描述
34051	伏羲琴主动技能1级	34052	1	405	1	0	1904	1	测试描述
34052	伏羲琴主动技能2级	34053	1	405	2	1	1904	2	测试描述
34053	伏羲琴主动技能3级	34054	1	405	3	2	1904	4	测试描述
34054	伏羲琴主动技能4级	34055	1	405	4	4	1904	6	测试描述
34055	伏羲琴主动技能5级	34056	1	405	5	6	1904	8	测试描述
34056	伏羲琴主动技能6级	34057	1	405	6	8	1904	10	测试描述
34057	伏羲琴主动技能7级		1	405	7	10	1904	15	测试描述
