等级	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理攻击	法术攻击	物理防御	法术防御
110	1709	1709	1709	1709	1709	1709	5840	611	611	1282	1282
111	1734	1734	1734	1734	1734	1734	5920	620	620	1301	1301
112	1760	1760	1760	1760	1760	1760	6000	629	629	1320	1320
113	1786	1786	1786	1786	1786	1786	6080	638	638	1339	1339
114	1811	1811	1811	1811	1811	1811	6160	647	647	1358	1358
115	1837	1837	1837	1837	1837	1837	6240	656	656	1378	1378
116	1862	1862	1862	1862	1862	1862	6320	665	665	1397	1397
117	1888	1888	1888	1888	1888	1888	6400	674	674	1416	1416
118	1914	1914	1914	1914	1914	1914	6480	683	683	1435	1435
119	1939	1939	1939	1939	1939	1939	6560	692	692	1454	1454
120	1965	1965	1965	1965	1965	1965	6640	701	701	1474	1474
121	1990	1990	1990	1990	1990	1990	6720	710	710	1493	1493
122	2016	2016	2016	2016	2016	2016	6800	719	719	1512	1512
123	2042	2042	2042	2042	2042	2042	6880	728	728	1531	1531
124	2067	2067	2067	2067	2067	2067	6960	737	737	1550	1550
125	2093	2093	2093	2093	2093	2093	7040	746	746	1570	1570
126	2118	2118	2118	2118	2118	2118	7120	755	755	1589	1589
127	2144	2144	2144	2144	2144	2144	7200	764	764	1608	1608
128	2170	2170	2170	2170	2170	2170	7280	773	773	1627	1627
129	2195	2195	2195	2195	2195	2195	7360	782	782	1646	1646
130	2221	2221	2221	2221	2221	2221	7440	791	791	1666	1666
131	2246	2246	2246	2246	2246	2246	7520	800	800	1685	1685
132	2272	2272	2272	2272	2272	2272	7600	809	809	1704	1704
133	2298	2298	2298	2298	2298	2298	7680	818	818	1723	1723
134	2323	2323	2323	2323	2323	2323	7760	827	827	1742	1742
135	2349	2349	2349	2349	2349	2349	7840	836	836	1762	1762
136	2374	2374	2374	2374	2374	2374	7920	845	845	1781	1781
137	2400	2400	2400	2400	2400	2400	8000	854	854	1800	1800
138	2426	2426	2426	2426	2426	2426	8080	863	863	1819	1819
139	2451	2451	2451	2451	2451	2451	8160	872	872	1838	1838
140	2477	2477	2477	2477	2477	2477	8240	881	881	1858	1858
141	2509	2509	2509	2509	2509	2509	8340	892	892	1882	1882
142	2541	2541	2541	2541	2541	2541	8440	903	903	1906	1906
143	2573	2573	2573	2573	2573	2573	8540	915	915	1930	1930
144	2605	2605	2605	2605	2605	2605	8640	926	926	1954	1954
145	2637	2637	2637	2637	2637	2637	8740	937	937	1978	1978
146	2669	2669	2669	2669	2669	2669	8840	948	948	2002	2002
147	2701	2701	2701	2701	2701	2701	8940	960	960	2026	2026
148	2733	2733	2733	2733	2733	2733	9040	971	971	2050	2050
149	2765	2765	2765	2765	2765	2765	9140	982	982	2074	2074
150	2797	2797	2797	2797	2797	2797	9240	993	993	2098	2098
