职业	等级	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理攻击	法术攻击	物理防御	法术防御	真气	护体	护体恢复	灵力	生命恢复	移动速度
1	39	73	48	126	48	48	48	780	40	0	0	0	10	100		300		5
1	40	75	49	130	49	49	49	804	40	0	0	0	10	100		300		5
1	41	77	50	134	50	50	50	828	40	0	0	0	10	100		300		5
1	42	79	51	138	51	51	51	852	40	0	0	0	10	100		300		5
1	43	81	52	142	52	52	52	876	40	0	0	0	10	100		300		5
1	44	83	53	146	53	53	53	900	40	0	0	0	10	100		300		5
1	45	85	54	150	54	54	54	924	40	0	0	0	10	100		300		5
1	46	87	55	154	55	55	55	948	40	0	0	0	10	100		300		5
1	47	89	56	158	56	56	56	972	40	0	0	0	10	100		300		5
1	48	92	57	161	57	57	57	996	40	0	0	0	10	100		300		5
1	49	94	58	165	58	58	58	1020	40	0	0	0	10	100		300		5
1	50	96	59	169	59	59	59	1044	40	0	0	0	10	100		300		5
1	51	98	60	173	60	60	60	1068	40	0	0	0	10	100		300		5
1	52	100	61	177	61	61	61	1092	40	0	0	0	10	100		300		5
1	53	102	62	181	62	62	62	1116	40	0	0	0	10	100		300		5
1	54	104	63	185	63	63	63	1140	40	0	0	0	10	100		300		5
1	55	106	64	189	64	64	64	1164	40	0	0	0	10	100		300		5
1	56	108	65	193	65	65	65	1188	40	0	0	0	10	100		300		5
1	57	110	66	197	66	66	66	1212	40	0	0	0	10	100		300		5
1	58	113	67	200	67	67	67	1236	40	0	0	0	10	100		300		5
1	59	115	68	204	68	68	68	1260	40	0	0	0	10	100		300		5
1	60	117	69	208	69	69	69	1284	40	0	0	0	10	100		300		5
1	61	120	70	214	70	70	70	1320	40	0	0	0	10	100		300		5
1	62	123	71	220	71	71	71	1356	40	0	0	0	10	100		300		5
1	63	126	72	226	72	72	72	1392	40	0	0	0	10	100		300		5
1	64	129	73	232	73	73	73	1428	40	0	0	0	10	100		300		5
1	65	133	74	238	74	74	74	1464	40	0	0	0	10	100		300		5
1	66	136	75	243	75	75	75	1500	40	0	0	0	10	100		300		5
1	67	139	76	249	76	76	76	1536	40	0	0	0	10	100		300		5
1	68	142	77	255	77	77	77	1572	40	0	0	0	10	100		300		5
1	69	145	78	261	78	78	78	1608	40	0	0	0	10	100		300		5
1	70	148	79	267	79	79	79	1644	40	0	0	0	10	100		300		5
1	71	151	80	273	80	80	80	1680	40	0	0	0	10	100		300		5
1	72	155	81	278	81	81	81	1716	40	0	0	0	10	100		300		5
1	73	158	82	284	82	82	82	1752	40	0	0	0	10	100		300		5
1	74	161	83	290	83	83	83	1788	40	0	0	0	10	100		300		5
1	75	164	84	296	84	84	84	1824	40	0	0	0	10	100		300		5
1	76	167	85	302	85	85	85	1860	40	0	0	0	10	100		300		5
1	77	170	86	308	86	86	86	1896	40	0	0	0	10	100		300		5
1	78	173	87	314	87	87	87	1932	40	0	0	0	10	100		300		5
1	79	177	88	319	88	88	88	1968	40	0	0	0	10	100		300		5
1	80	180	89	325	89	89	89	2004	40	0	0	0	10	100		300		5
1	81	183	90	331	90	90	90	2040	40	0	0	0	10	100		300		5
1	82	186	91	337	91	91	91	2076	40	0	0	0	10	100		300		5
1	83	189	92	343	92	92	92	2112	40	0	0	0	10	100		300		5
1	84	192	93	349	93	93	93	2148	40	0	0	0	10	100		300		5
1	85	196	94	355	94	94	94	2184	40	0	0	0	10	100		300		5
1	86	199	95	360	95	95	95	2220	40	0	0	0	10	100		300		5
1	87	202	96	366	96	96	96	2256	40	0	0	0	10	100		300		5
1	88	205	97	372	97	97	97	2292	40	0	0	0	10	100		300		5
1	89	208	98	378	98	98	98	2328	40	0	0	0	10	100		300		5
1	90	211	99	384	99	99	99	2364	40	0	0	0	10	100		300		5
1	91	214	100	390	100	100	100	2400	40	0	0	0	10	100		300		5
1	92	218	101	395	101	101	101	2436	40	0	0	0	10	100		300		5
1	93	221	102	401	102	102	102	2472	40	0	0	0	10	100		300		5
1	94	224	103	407	103	103	103	2508	40	0	0	0	10	100		300		5
1	95	227	104	413	104	104	104	2544	40	0	0	0	10	100		300		5
1	96	230	105	419	105	105	105	2580	40	0	0	0	10	100		300		5
1	97	233	106	425	106	106	106	2616	40	0	0	0	10	100		300		5
1	98	236	107	431	107	107	107	2652	40	0	0	0	10	100		300		5
1	99	240	108	436	108	108	108	2688	40	0	0	0	10	100		300		5
1	100	243	109	442	109	109	109	2724	40	0	0	0	10	100		300		5
1	101	247	110	450	110	110	110	2772	40	0	0	0	10	100		300		5
1	102	251	111	458	111	111	111	2820	40	0	0	0	10	100		300		5
1	103	255	112	466	112	112	112	2868	40	0	0	0	10	100		300		5
1	104	260	113	473	113	113	113	2916	40	0	0	0	10	100		300		5
1	105	264	114	481	114	114	114	2964	40	0	0	0	10	100		300		5
1	106	268	115	489	115	115	115	3012	40	0	0	0	10	100		300		5
1	107	272	116	497	116	116	116	3060	40	0	0	0	10	100		300		5
1	108	276	117	505	117	117	117	3108	40	0	0	0	10	100		300		5
1	109	281	118	512	118	118	118	3156	40	0	0	0	10	100		300		5
1	110	285	119	520	119	119	119	3204	40	0	0	0	10	100		300		5
1	111	289	120	528	120	120	120	3252	40	0	0	0	10	100		300		5
1	112	293	121	536	121	121	121	3300	40	0	0	0	10	100		300		5
1	113	297	122	544	122	122	122	3348	40	0	0	0	10	100		300		5
1	114	302	123	551	123	123	123	3396	40	0	0	0	10	100		300		5
1	115	306	124	559	124	124	124	3444	40	0	0	0	10	100		300		5
1	116	310	125	567	125	125	125	3492	40	0	0	0	10	100		300		5
1	117	314	126	575	126	126	126	3540	40	0	0	0	10	100		300		5
1	118	318	127	583	127	127	127	3588	40	0	0	0	10	100		300		5
1	119	323	128	590	128	128	128	3636	40	0	0	0	10	100		300		5
1	120	327	129	598	129	129	129	3684	40	0	0	0	10	100		300		5
1	121	331	130	606	130	130	130	3732	40	0	0	0	10	100		300		5
1	122	335	131	614	131	131	131	3780	40	0	0	0	10	100		300		5
1	123	339	132	622	132	132	132	3828	40	0	0	0	10	100		300		5
1	124	344	133	629	133	133	133	3876	40	0	0	0	10	100		300		5
1	125	348	134	637	134	134	134	3924	40	0	0	0	10	100		300		5
1	126	352	135	645	135	135	135	3972	40	0	0	0	10	100		300		5
1	127	356	136	653	136	136	136	4020	40	0	0	0	10	100		300		5
1	128	360	137	661	137	137	137	4068	40	0	0	0	10	100		300		5
1	129	365	138	668	138	138	138	4116	40	0	0	0	10	100		300		5
1	130	369	139	676	139	139	139	4164	40	0	0	0	10	100		300		5
1	131	373	140	684	140	140	140	4212	40	0	0	0	10	100		300		5
1	132	377	141	692	141	141	141	4260	40	0	0	0	10	100		300		5
1	133	381	142	700	142	142	142	4308	40	0	0	0	10	100		300		5
1	134	386	143	707	143	143	143	4356	40	0	0	0	10	100		300		5
1	135	390	144	715	144	144	144	4404	40	0	0	0	10	100		300		5
1	136	394	145	723	145	145	145	4452	40	0	0	0	10	100		300		5
1	137	398	146	731	146	146	146	4500	40	0	0	0	10	100		300		5
1	138	402	147	739	147	147	147	4548	40	0	0	0	10	100		300		5
1	139	407	148	746	148	148	148	4596	40	0	0	0	10	100		300		5
1	140	411	149	754	149	149	149	4644	40	0	0	0	10	100		300		5
1	141	416	150	764	150	150	150	4704	40	0	0	0	10	100		300		5
1	142	421	151	774	151	151	151	4764	40	0	0	0	10	100		300		5
1	143	427	152	784	152	152	152	4824	40	0	0	0	10	100		300		5
1	144	432	153	793	153	153	153	4884	40	0	0	0	10	100		300		5
1	145	437	154	803	154	154	154	4944	40	0	0	0	10	100		300		5
1	146	442	155	813	155	155	155	5004	40	0	0	0	10	100		300		5
1	147	448	156	823	156	156	156	5064	40	0	0	0	10	100		300		5
1	148	453	157	832	157	157	157	5124	40	0	0	0	10	100		300		5
1	149	458	158	842	158	158	158	5184	40	0	0	0	10	100		300		5
1	150	463	159	852	159	159	159	5244	40	0	0	0	10	100		300		5
2	1	14	10	10	10	14	10	67	60	0	0	0	10	100		300		5
2	2	15	11	11	11	16	11	76	60	0	0	0	10	100		300		5
2	3	16	12	12	12	18	12	84	60	0	0	0	10	100		300		5
2	4	18	13	13	13	19	13	92	60	0	0	0	10	100		300		5
2	5	19	14	14	14	21	14	101	60	0	0	0	10	100		300		5
2	6	20	15	15	15	23	15	109	60	0	0	0	10	100		300		5
2	7	22	16	16	16	24	16	118	60	0	0	0	10	100		300		5
2	8	23	17	17	17	26	17	126	60	0	0	0	10	100		300		5
2	9	24	18	18	18	28	18	134	60	0	0	0	10	100		300		5
2	10	26	19	19	19	29	19	143	60	0	0	0	10	100		300		5
2	11	27	20	20	20	31	20	151	60	0	0	0	10	100		300		5
2	12	28	21	21	21	33	21	160	60	0	0	0	10	100		300		5
2	13	30	22	22	22	34	22	168	60	0	0	0	10	100		300		5
2	14	31	23	23	23	36	23	176	60	0	0	0	10	100		300		5
2	15	33	24	24	24	38	24	185	60	0	0	0	10	100		300		5
2	16	34	25	25	25	39	25	193	60	0	0	0	10	100		300		5
2	17	35	26	26	26	41	26	202	60	0	0	0	10	100		300		5
2	18	37	27	27	27	42	27	210	60	0	0	0	10	100		300		5
2	19	38	28	28	28	44	28	218	60	0	0	0	10	100		300		5
2	20	39	29	29	29	46	29	227	60	0	0	0	10	100		300		5
2	21	42	30	30	30	49	30	244	60	0	0	0	10	100		300		5
2	22	45	31	31	31	52	31	260	60	0	0	0	10	100		300		5
2	23	47	32	32	32	56	32	277	60	0	0	0	10	100		300		5
2	24	50	33	33	33	59	33	294	60	0	0	0	10	100		300		5
2	25	53	34	34	34	62	34	311	60	0	0	0	10	100		300		5
2	26	55	35	35	35	66	35	328	60	0	0	0	10	100		300		5
2	27	58	36	36	36	69	36	344	60	0	0	0	10	100		300		5
2	28	61	37	37	37	72	37	361	60	0	0	0	10	100		300		5
2	29	64	38	38	38	75	38	378	60	0	0	0	10	100		300		5
2	30	66	39	39	39	79	39	395	60	0	0	0	10	100		300		5
2	31	69	40	40	40	82	40	412	60	0	0	0	10	100		300		5
2	32	72	41	41	41	85	41	428	60	0	0	0	10	100		300		5
2	33	74	42	42	42	89	42	445	60	0	0	0	10	100		300		5
2	34	77	43	43	43	92	43	462	60	0	0	0	10	100		300		5
2	35	80	44	44	44	95	44	479	60	0	0	0	10	100		300		5
2	36	82	45	45	45	99	45	496	60	0	0	0	10	100		300		5
2	37	85	46	46	46	102	46	512	60	0	0	0	10	100		300		5
2	38	88	47	47	47	105	47	529	60	0	0	0	10	100		300		5
2	39	91	48	48	48	108	48	546	60	0	0	0	10	100		300		5
2	40	93	49	49	49	112	49	563	60	0	0	0	10	100		300		5
2	41	96	50	50	50	115	50	580	60	0	0	0	10	100		300		5
2	42	99	51	51	51	118	51	596	60	0	0	0	10	100		300		5
2	43	101	52	52	52	122	52	613	60	0	0	0	10	100		300		5
2	44	104	53	53	53	125	53	630	60	0	0	0	10	100		300		5
2	45	107	54	54	54	128	54	647	60	0	0	0	10	100		300		5
2	46	109	55	55	55	132	55	664	60	0	0	0	10	100		300		5
2	47	112	56	56	56	135	56	680	60	0	0	0	10	100		300		5
2	48	115	57	57	57	138	57	697	60	0	0	0	10	100		300		5
2	49	118	58	58	58	141	58	714	60	0	0	0	10	100		300		5
2	50	120	59	59	59	145	59	731	60	0	0	0	10	100		300		5
2	51	123	60	60	60	148	60	748	60	0	0	0	10	100		300		5
2	52	126	61	61	61	151	61	764	60	0	0	0	10	100		300		5
2	53	128	62	62	62	155	62	781	60	0	0	0	10	100		300		5
2	54	131	63	63	63	158	63	798	60	0	0	0	10	100		300		5
2	55	134	64	64	64	161	64	815	60	0	0	0	10	100		300		5
2	56	136	65	65	65	165	65	832	60	0	0	0	10	100		300		5
2	57	139	66	66	66	168	66	848	60	0	0	0	10	100		300		5
2	58	142	67	67	67	171	67	865	60	0	0	0	10	100		300		5
2	59	145	68	68	68	174	68	882	60	0	0	0	10	100		300		5
2	60	147	69	69	69	178	69	899	60	0	0	0	10	100		300		5
2	61	151	70	70	70	183	70	924	60	0	0	0	10	100		300		5
2	62	155	71	71	71	188	71	949	60	0	0	0	10	100		300		5
2	63	159	72	72	72	193	72	974	60	0	0	0	10	100		300		5
2	64	163	73	73	73	198	73	1000	60	0	0	0	10	100		300		5
2	65	168	74	74	74	203	74	1025	60	0	0	0	10	100		300		5
2	66	172	75	75	75	207	75	1050	60	0	0	0	10	100		300		5
2	67	176	76	76	76	212	76	1075	60	0	0	0	10	100		300		5
2	68	180	77	77	77	217	77	1100	60	0	0	0	10	100		300		5
2	69	184	78	78	78	222	78	1126	60	0	0	0	10	100		300		5
2	70	188	79	79	79	227	79	1151	60	0	0	0	10	100		300		5
2	71	192	80	80	80	232	80	1176	60	0	0	0	10	100		300		5
2	72	196	81	81	81	237	81	1201	60	0	0	0	10	100		300		5
2	73	200	82	82	82	242	82	1226	60	0	0	0	10	100		300		5
2	74	204	83	83	83	247	83	1252	60	0	0	0	10	100		300		5
2	75	208	84	84	84	252	84	1277	60	0	0	0	10	100		300		5
2	76	212	85	85	85	257	85	1302	60	0	0	0	10	100		300		5
2	77	216	86	86	86	262	86	1327	60	0	0	0	10	100		300		5
2	78	220	87	87	87	267	87	1352	60	0	0	0	10	100		300		5
2	79	224	88	88	88	272	88	1378	60	0	0	0	10	100		300		5
2	80	228	89	89	89	277	89	1403	60	0	0	0	10	100		300		5
2	81	232	90	90	90	282	90	1428	60	0	0	0	10	100		300		5
2	82	236	91	91	91	287	91	1453	60	0	0	0	10	100		300		5
2	83	240	92	92	92	292	92	1478	60	0	0	0	10	100		300		5
2	84	244	93	93	93	297	93	1504	60	0	0	0	10	100		300		5
2	85	249	94	94	94	302	94	1529	60	0	0	0	10	100		300		5
2	86	253	95	95	95	306	95	1554	60	0	0	0	10	100		300		5
2	87	257	96	96	96	311	96	1579	60	0	0	0	10	100		300		5
2	88	261	97	97	97	316	97	1604	60	0	0	0	10	100		300		5
2	89	265	98	98	98	321	98	1630	60	0	0	0	10	100		300		5
2	90	269	99	99	99	326	99	1655	60	0	0	0	10	100		300		5
2	91	273	100	100	100	331	100	1680	60	0	0	0	10	100		300		5
2	92	277	101	101	101	336	101	1705	60	0	0	0	10	100		300		5
2	93	281	102	102	102	341	102	1730	60	0	0	0	10	100		300		5
2	94	285	103	103	103	346	103	1756	60	0	0	0	10	100		300		5
2	95	289	104	104	104	351	104	1781	60	0	0	0	10	100		300		5
2	96	293	105	105	105	356	105	1806	60	0	0	0	10	100		300		5
2	97	297	106	106	106	361	106	1831	60	0	0	0	10	100		300		5
2	98	301	107	107	107	366	107	1856	60	0	0	0	10	100		300		5
2	99	305	108	108	108	371	108	1882	60	0	0	0	10	100		300		5
2	100	309	109	109	109	376	109	1907	60	0	0	0	10	100		300		5
2	101	315	110	110	110	382	110	1940	60	0	0	0	10	100		300		5
2	102	320	111	111	111	389	111	1974	60	0	0	0	10	100		300		5
2	103	325	112	112	112	396	112	2008	60	0	0	0	10	100		300		5
2	104	331	113	113	113	402	113	2041	60	0	0	0	10	100		300		5
2	105	336	114	114	114	409	114	2075	60	0	0	0	10	100		300		5
2	106	342	115	115	115	415	115	2108	60	0	0	0	10	100		300		5
2	107	347	116	116	116	422	116	2142	60	0	0	0	10	100		300		5
2	108	352	117	117	117	429	117	2176	60	0	0	0	10	100		300		5
2	109	358	118	118	118	435	118	2209	60	0	0	0	10	100		300		5
2	110	363	119	119	119	442	119	2243	60	0	0	0	10	100		300		5
2	111	369	120	120	120	448	120	2276	60	0	0	0	10	100		300		5
2	112	374	121	121	121	455	121	2310	60	0	0	0	10	100		300		5
2	113	379	122	122	122	462	122	2344	60	0	0	0	10	100		300		5
2	114	385	123	123	123	468	123	2377	60	0	0	0	10	100		300		5
2	115	390	124	124	124	475	124	2411	60	0	0	0	10	100		300		5
2	116	396	125	125	125	481	125	2444	60	0	0	0	10	100		300		5
2	117	401	126	126	126	488	126	2478	60	0	0	0	10	100		300		5
2	118	406	127	127	127	495	127	2512	60	0	0	0	10	100		300		5
2	119	412	128	128	128	501	128	2545	60	0	0	0	10	100		300		5
2	120	417	129	129	129	508	129	2579	60	0	0	0	10	100		300		5
2	121	423	130	130	130	514	130	2612	60	0	0	0	10	100		300		5
2	122	428	131	131	131	521	131	2646	60	0	0	0	10	100		300		5
2	123	433	132	132	132	528	132	2680	60	0	0	0	10	100		300		5
2	124	439	133	133	133	534	133	2713	60	0	0	0	10	100		300		5
2	125	444	134	134	134	541	134	2747	60	0	0	0	10	100		300		5
2	126	450	135	135	135	547	135	2780	60	0	0	0	10	100		300		5
2	127	455	136	136	136	554	136	2814	60	0	0	0	10	100		300		5
2	128	460	137	137	137	561	137	2848	60	0	0	0	10	100		300		5
2	129	466	138	138	138	567	138	2881	60	0	0	0	10	100		300		5
2	130	471	139	139	139	574	139	2915	60	0	0	0	10	100		300		5
2	131	477	140	140	140	580	140	2948	60	0	0	0	10	100		300		5
2	132	482	141	141	141	587	141	2982	60	0	0	0	10	100		300		5
2	133	487	142	142	142	594	142	3016	60	0	0	0	10	100		300		5
2	134	493	143	143	143	600	143	3049	60	0	0	0	10	100		300		5
2	135	498	144	144	144	607	144	3083	60	0	0	0	10	100		300		5
2	136	504	145	145	145	613	145	3116	60	0	0	0	10	100		300		5
2	137	509	146	146	146	620	146	3150	60	0	0	0	10	100		300		5
2	138	514	147	147	147	627	147	3184	60	0	0	0	10	100		300		5
2	139	520	148	148	148	633	148	3217	60	0	0	0	10	100		300		5
2	140	525	149	149	149	640	149	3251	60	0	0	0	10	100		300		5
2	141	532	150	150	150	648	150	3293	60	0	0	0	10	100		300		5
2	142	539	151	151	151	656	151	3335	60	0	0	0	10	100		300		5
2	143	546	152	152	152	665	152	3377	60	0	0	0	10	100		300		5
2	144	552	153	153	153	673	153	3419	60	0	0	0	10	100		300		5
2	145	559	154	154	154	681	154	3461	60	0	0	0	10	100		300		5
2	146	566	155	155	155	689	155	3503	60	0	0	0	10	100		300		5
2	147	573	156	156	156	698	156	3545	60	0	0	0	10	100		300		5
2	148	579	157	157	157	706	157	3587	60	0	0	0	10	100		300		5
2	149	586	158	158	158	714	158	3629	60	0	0	0	10	100		300		5
2	150	593	159	159	159	722	159	3671	60	0	0	0	10	100		300		5
3	1	10	10	10	14	10	14	86	0	50	0	0	10	100		300		5
3	2	11	11	11	16	11	16	97	0	50	0	0	10	100		300		5
3	3	12	12	12	17	12	17	108	0	50	0	0	10	100		300		5
3	4	13	13	13	19	13	19	119	0	50	0	0	10	100		300		5
3	5	14	14	14	20	14	20	130	0	50	0	0	10	100		300		5
3	6	15	15	15	22	15	22	140	0	50	0	0	10	100		300		5
3	7	16	16	16	23	16	23	151	0	50	0	0	10	100		300		5
3	8	17	17	17	25	17	25	162	0	50	0	0	10	100		300		5
3	9	18	18	18	26	18	26	173	0	50	0	0	10	100		300		5
3	10	19	19	19	28	19	28	184	0	50	0	0	10	100		300		5
3	11	20	20	20	29	20	29	194	0	50	0	0	10	100		300		5
3	12	21	21	21	31	21	31	205	0	50	0	0	10	100		300		5
3	13	22	22	22	32	22	32	216	0	50	0	0	10	100		300		5
3	14	23	23	23	34	23	34	227	0	50	0	0	10	100		300		5
3	15	24	24	24	35	24	35	238	0	50	0	0	10	100		300		5
3	16	25	25	25	37	25	37	248	0	50	0	0	10	100		300		5
3	17	26	26	26	38	26	38	259	0	50	0	0	10	100		300		5
3	18	27	27	27	40	27	40	270	0	50	0	0	10	100		300		5
3	19	28	28	28	41	28	41	281	0	50	0	0	10	100		300		5
3	20	29	29	29	43	29	43	292	0	50	0	0	10	100		300		5
3	21	30	30	30	46	30	46	313	0	50	0	0	10	100		300		5
3	22	31	31	31	49	31	49	335	0	50	0	0	10	100		300		5
3	23	32	32	32	52	32	52	356	0	50	0	0	10	100		300		5
3	24	33	33	33	55	33	55	378	0	50	0	0	10	100		300		5
3	25	34	34	34	58	34	58	400	0	50	0	0	10	100		300		5
3	26	35	35	35	61	35	61	421	0	50	0	0	10	100		300		5
3	27	36	36	36	64	36	64	443	0	50	0	0	10	100		300		5
3	28	37	37	37	67	37	67	464	0	50	0	0	10	100		300		5
3	29	38	38	38	70	38	70	486	0	50	0	0	10	100		300		5
3	30	39	39	39	73	39	73	508	0	50	0	0	10	100		300		5
3	31	40	40	40	76	40	76	529	0	50	0	0	10	100		300		5
3	32	41	41	41	79	41	79	551	0	50	0	0	10	100		300		5
3	33	42	42	42	82	42	82	572	0	50	0	0	10	100		300		5
3	34	43	43	43	85	43	85	594	0	50	0	0	10	100		300		5
3	35	44	44	44	88	44	88	616	0	50	0	0	10	100		300		5
3	36	45	45	45	91	45	91	637	0	50	0	0	10	100		300		5
3	37	46	46	46	94	46	94	659	0	50	0	0	10	100		300		5
3	38	47	47	47	97	47	97	680	0	50	0	0	10	100		300		5
3	39	48	48	48	100	48	100	702	0	50	0	0	10	100		300		5
3	40	49	49	49	103	49	103	724	0	50	0	0	10	100		300		5
3	41	50	50	50	106	50	106	745	0	50	0	0	10	100		300		5
3	42	51	51	51	109	51	109	767	0	50	0	0	10	100		300		5
3	43	52	52	52	112	52	112	788	0	50	0	0	10	100		300		5
3	44	53	53	53	115	53	115	810	0	50	0	0	10	100		300		5
3	45	54	54	54	118	54	118	832	0	50	0	0	10	100		300		5
3	46	55	55	55	121	55	121	853	0	50	0	0	10	100		300		5
3	47	56	56	56	124	56	124	875	0	50	0	0	10	100		300		5
3	48	57	57	57	127	57	127	896	0	50	0	0	10	100		300		5
3	49	58	58	58	130	58	130	918	0	50	0	0	10	100		300		5
3	50	59	59	59	133	59	133	940	0	50	0	0	10	100		300		5
3	51	60	60	60	136	60	136	961	0	50	0	0	10	100		300		5
3	52	61	61	61	139	61	139	983	0	50	0	0	10	100		300		5
3	53	62	62	62	142	62	142	1004	0	50	0	0	10	100		300		5
3	54	63	63	63	145	63	145	1026	0	50	0	0	10	100		300		5
3	55	64	64	64	148	64	148	1048	0	50	0	0	10	100		300		5
3	56	65	65	65	151	65	151	1069	0	50	0	0	10	100		300		5
3	57	66	66	66	154	66	154	1091	0	50	0	0	10	100		300		5
3	58	67	67	67	157	67	157	1112	0	50	0	0	10	100		300		5
3	59	68	68	68	160	68	160	1134	0	50	0	0	10	100		300		5
3	60	69	69	69	163	69	163	1156	0	50	0	0	10	100		300		5
3	61	70	70	70	167	70	167	1188	0	50	0	0	10	100		300		5
3	62	71	71	71	172	71	172	1220	0	50	0	0	10	100		300		5
3	63	72	72	72	176	72	176	1253	0	50	0	0	10	100		300		5
3	64	73	73	73	181	73	181	1285	0	50	0	0	10	100		300		5
3	65	74	74	74	185	74	185	1318	0	50	0	0	10	100		300		5
3	66	75	75	75	190	75	190	1350	0	50	0	0	10	100		300		5
3	67	76	76	76	194	76	194	1382	0	50	0	0	10	100		300		5
3	68	77	77	77	199	77	199	1415	0	50	0	0	10	100		300		5
3	69	78	78	78	203	78	203	1447	0	50	0	0	10	100		300		5
3	70	79	79	79	208	79	208	1480	0	50	0	0	10	100		300		5
3	71	80	80	80	212	80	212	1512	0	50	0	0	10	100		300		5
3	72	81	81	81	217	81	217	1544	0	50	0	0	10	100		300		5
3	73	82	82	82	221	82	221	1577	0	50	0	0	10	100		300		5
3	74	83	83	83	226	83	226	1609	0	50	0	0	10	100		300		5
3	75	84	84	84	230	84	230	1642	0	50	0	0	10	100		300		5
3	76	85	85	85	235	85	235	1674	0	50	0	0	10	100		300		5
3	77	86	86	86	239	86	239	1706	0	50	0	0	10	100		300		5
3	78	87	87	87	244	87	244	1739	0	50	0	0	10	100		300		5
3	79	88	88	88	248	88	248	1771	0	50	0	0	10	100		300		5
3	80	89	89	89	253	89	253	1804	0	50	0	0	10	100		300		5
3	81	90	90	90	257	90	257	1836	0	50	0	0	10	100		300		5
3	82	91	91	91	262	91	262	1868	0	50	0	0	10	100		300		5
3	83	92	92	92	266	92	266	1901	0	50	0	0	10	100		300		5
3	84	93	93	93	271	93	271	1933	0	50	0	0	10	100		300		5
3	85	94	94	94	275	94	275	1966	0	50	0	0	10	100		300		5
3	86	95	95	95	280	95	280	1998	0	50	0	0	10	100		300		5
3	87	96	96	96	284	96	284	2030	0	50	0	0	10	100		300		5
3	88	97	97	97	289	97	289	2063	0	50	0	0	10	100		300		5
3	89	98	98	98	293	98	293	2095	0	50	0	0	10	100		300		5
3	90	99	99	99	298	99	298	2128	0	50	0	0	10	100		300		5
3	91	100	100	100	302	100	302	2160	0	50	0	0	10	100		300		5
3	92	101	101	101	307	101	307	2192	0	50	0	0	10	100		300		5
3	93	102	102	102	311	102	311	2225	0	50	0	0	10	100		300		5
3	94	103	103	103	316	103	316	2257	0	50	0	0	10	100		300		5
3	95	104	104	104	320	104	320	2290	0	50	0	0	10	100		300		5
3	96	105	105	105	325	105	325	2322	0	50	0	0	10	100		300		5
3	97	106	106	106	329	106	329	2354	0	50	0	0	10	100		300		5
3	98	107	107	107	334	107	334	2387	0	50	0	0	10	100		300		5
3	99	108	108	108	338	108	338	2419	0	50	0	0	10	100		300		5
