ID	名称	数据类型	数据显示类型	属性界面显示	其他界面显示	显示类型	角色详细属性排序	灵兽基础属性排序	灵兽详细属性排序	灵兽加点属性排序	装备属性排序	法宝基础属性排序	法宝详细属性排序	属性小图标	属性描述
37	物理穿透率	1	1	物理穿透	物理穿透	4								1	
38	法术穿透等级			法术穿透	法术穿透	4	26		27		23		26	1	对同等级目标造成法术伤害时，忽视目标#[G2][att_法术穿透率]#n的法术防御
39	法术穿透率	1	1	法术穿透	法术穿透	4								1	
40	额外伤害			真实伤害	真实伤害	4	27		28		24		27	1	对目标造成伤害时，附加#[G2][att_额外伤害]#n点无视防御的伤害
41	伤害减免			真伤减免	真伤减免	4	28		29		25		28	3	受到目标攻击时，单次所受伤害降低#[G2][att_伤害减免]#n点
42	金属性			金属性	金属性										
43	木属性			木属性	木属性										
44	水属性			水属性	水属性										
45	火属性			火属性	火属性										
46	土属性			土属性	土属性										
47	金抗性			金抗性	金抗性	3	15		15		26		15	3	受到同等级目标的金属性伤害降低#[G2][att_金抗性率]#n
48	金抗性率	1	1	金抗性	金抗性	3								3	
49	木抗性			木抗性	木抗性	3	17		17		27		17	3	受到同等级目标的木属性伤害降低#[G2][att_木抗性率]#n
50	木抗性率	1	1	木抗性	木抗性	3								3	
51	水抗性			水抗性	水抗性	3	19		19		28		19	3	受到同等级目标的水属性伤害降低#[G2][att_水抗性率]#n
52	水抗性率	1	1	水抗性	水抗性	3								3	
53	火抗性			火抗性	火抗性	3	21		21		29		21	3	受到同等级目标的火属性伤害降低#[G2][att_火抗性率]#n
54	火抗性率	1	1	火抗性	火抗性	3								3	
55	土抗性			土抗性	土抗性	3	23		23		30		23	3	受到同等级目标的土属性伤害降低#[G2][att_土抗性率]#n
56	土抗性率	1	1	土抗性	土抗性	3								3	
57	全属性抗性			全属性抗性	全属性抗性	3	24				36		24	3	受到同等级目标的五行属性伤害降低#[G2][att_全属性抗性率]#n
58	全属性抗性率	1	1	全属性抗性	全属性抗性	3								3	
59	金伤害			金强化	金强化	3	14		14		31		14	1	对同等级目标造成的金属性伤害提高#[G2][att_金伤害率]#n
60	金伤害率	1	1	金强化	金强化	3								1	
61	木伤害			木强化	木强化	3	16		16		32		16	1	对同等级目标造成的木属性伤害提高#[G2][att_木伤害率]#n
62	木伤害率	1	1	木强化	木强化	3								1	
63	水伤害			水强化	水强化	3	18		18		33		18	1	对同等级目标造成的水属性伤害提高#[G2][att_水伤害率]#n
64	水伤害率	1	1	水强化	水强化	3								1	
65	火伤害			火强化	火强化	3	20		20		34		20	1	对同等级目标造成的火属性伤害提高#[G2][att_火伤害率]#n
66	火伤害率	1	1	火强化	火强化	3								1	
67	土伤害			土强化	土强化	3	22		22		35		22	1	对同等级目标造成的土属性伤害提高#[G2][att_土伤害率]#n
68	土伤害率	1	1	土强化	土强化	3								1	
69	力量提高	1	1	力量提高	力量提高	4					37			1	角色的力量提高#[G2][att_力量提高]#n
70	智慧提高	1	1	智慧提高	智慧提高	4					38			1	角色的智慧提高#[G2][att_智慧提高]#n
71	根骨提高	1	1	根骨提高	根骨提高	4					39			2	角色的根骨提高#[G2][att_根骨提高]#n
72	体魄提高	1	1	体魄提高	体魄提高	4					40			3	角色的体魄提高#[G2][att_体魄提高]#n
73	敏捷提高	1	1	敏捷提高	敏捷提高	4					41			4	角色的敏捷提高#[G2][att_敏捷提高]#n
74	身法提高	1	1	身法提高	身法提高	4					42			4	角色的身法提高#[G2][att_身法提高]#n
75	生命值加成	1	1	生命值提高	生命值提高	4					47			3	角色的生命值提高#[G2][att_生命值加成]#n
76	物理攻击加成	1	1	物理攻击提高	物理攻击提高	4					48			1	角色的物理攻击提高#[G2][att_物理攻击加成]#n
77	法术攻击加成	1	1	法术攻击提高	法术攻击提高	4					49			1	角色的法术攻击提高#[G2][att_法术攻击加成]#n
78	物理防御加成	1	1	物理防御提高	物理防御提高	4								2	角色的物理防御提高#[G2][att_物理防御加成]#n
79	法术防御加成	1	1	法术防御提高	法术防御提高	4								2	角色的法术防御提高#[G2][att_法术防御加成]#n
80	物理伤害提高	1	1	物理伤害加成	物理伤害加成	4	29		32		43		29	1	造成的物理伤害提高#[G2][att_物理伤害提高]#n
81	法术伤害提高	1	1	法术伤害加成	法术伤害加成	4	30		33		44		30	1	造成的法术伤害提高#[G2][att_法术伤害提高]#n
82	受物理伤害降低	1	1	物理伤害减免	物理伤害减免	4	31		34		45		31	2	受到的物理伤害降低#[G2][att_受物理伤害降低]#n
83	受法术伤害降低	1	1	法术伤害减免	法术伤害减免	4	32		35		46		32	2	受到的法术伤害降低#[G2][att_受法术伤害降低]#n
84	治疗效果提高	1	1	治疗效果加成	治疗效果加成	4	33		30				33	3	治疗技能的治疗量提高#[G2][att_治疗效果提高]#n
85	受治疗效果提高	1	1	受治疗效果加成	受治疗效果加成	4								3	受到的治疗效果提高#[G2][att_受治疗效果提高]#n
86	对怪物伤害提高	1	1	怪物伤害加成	怪物伤害加成	4	36		37				36	1	对怪物造成的伤害提高#[G2][att_对怪物伤害提高]#n
87	对怪物物理伤害提高	1	1	怪物物伤加成	怪物物伤加成	4								1	对怪物造成的物理伤害提高#[G2][att_对怪物物理伤害提高]#n
88	对怪物法术伤害提高	1	1	怪物法伤加成	怪物法伤加成	4								1	对怪物造成的法术伤害提高#[G2][att_对怪物法术伤害提高]#n
89	受怪物伤害降低	1	1	怪物伤害减免	怪物伤害减免	4	38		39				38	2	受到的怪物伤害降低#[G2][att_受怪物伤害降低]#n
90	对玩家伤害提高	1	1	玩家伤害加成	玩家伤害加成	4	35		36				35	1	对玩家造成的伤害提高#[G2][att_对玩家伤害提高]#n
91	受玩家伤害降低	1	1	玩家伤害减免	玩家伤害减免	4	37		38				37	2	受到的玩家伤害降低#[G2][att_受玩家伤害降低]#n
92	对灵兽伤害提高	1	1	灵兽伤害加成	灵兽伤害加成	4								1	对灵兽造成的伤害提高#[G2][att_对灵兽伤害提高]#n
93	受灵兽伤害降低	1	1	灵兽伤害减免	灵兽伤害减免	4								2	受到的灵兽伤害降低#[G2][att_受灵兽伤害降低]#n
