ID	计数名称	计数数量	计数完成后置灰
51681	跑到安全的地方，等待#[G2]炸药#n引爆	1	跑到安全的地方，等待炸药引爆
50821	回去找#[G2]陈靖仇#n	1	回去找陈靖仇
51801	查看#[G2]驻地路线图#n	1	查看驻地路线图
51811	进入#[G2]驻地大门#n	1	进入驻地大门
50501	勇闯#[G2]驻地前营#n	1	勇闯驻地前营
50541	寻找空牢笼的#[G2]线索#n	1	寻找空牢笼的线索
50601	取回#[G2]猫布偶#n	1	取回猫布偶
50611	拜祭#[G2]豆豆#n	1	拜祭豆豆
51851	和李维#[G2]谈人生#n	1	和李维谈人生
52041	和李维#[G2]再谈人生#n	1	和李维再谈人生
52051	和李维#[G2]三谈人生#n	1	和李维三谈人生
50561	给李维#[G2]松绑#n	1	给李维松绑
51881	喂李维#[G2]迷魂药#n	1	喂李维迷魂药
50631	引#[G2]李维#n进牢笼	1	引李维进牢笼
51891	追上#[G2]押送队伍#n	1	追上押送队伍
51971	找到#[G2]驻地牢笼#n位置	1	找到驻地牢笼位置
51761	将沙泉卫送到#[G2]营帐#n	1	将沙泉卫送到营帐
52101	捡起#[G2]被砸晕的鸟#n	1	捡起被砸晕的鸟
52121	前往#[G2]城门#n	1	前往城门
52151	进入#[G2]涿鹿城#n	1	进入涿鹿城
52171	前往#[G2]集贤馆#n	1	前往集贤馆
52431	前往#[G2]黄帝府邸#n	1	前往黄帝府邸
52451	向蒙白#[G2]出示荐帖#n	1	向蒙白出示荐帖
52491	绕过陷阱进入#[G2]井木村#n	1	绕过陷阱进入井木村
52501	抓住熊孩子#[G2]弯弯镜#n	1	抓住熊孩子弯弯
52521	翻开#[G2]有异响的箱子#n	2	翻开有异响的箱子
52551	送弯弯回#[G2]井嫣娘家#n	1	送弯弯回井嫣娘家
52611	查看#[G2]到手的宝贝#n	1	查看到手的宝贝
52631	找到#[G2]采薇的猫#n	1	找到采薇的猫
52651	穿越到#[G2]神秘博物馆#n	1	穿越到神秘博物馆
52671	查看#[G2]盘古斧#n	1	查看神器1
52672	查看#[G2]伏羲琴#n	1	查看神器2
52673	查看#[G2]昆仑镜#n	1	查看神器3
52711	前往#[G2]村口#n援助	1	前往村口援助
52761	找到#[G2]采薇#n	1	找到采薇
52791	给采薇#[G2]灌输真气#n	1	给采薇灌输真气
52291	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A1-B1-C1
52301	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A1-B2-C1
52311	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A1-B1-C2
52321	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A1-B2-C2
52331	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A2-B1-C1
52341	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A2-B2-C1
52351	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A2-B1-C2
52361	查阅霍师所写的#[G2]荐帖#n	1	查阅霍师所写的荐帖A2-B2-C2
