ID	奖励物品	奖励银贝	奖励金贝	奖励碧玉	奖励经验	奖励修为	奖励宠物经验	奖励性格值	奖励氏族贡献	奖励门派贡献	奖励氏族资金	奖励荣誉	掉落包ID
10007						10000							
10008							10000						
10009		1000			1000								3
10010							500						
10011							1000						
10012							2000						
10013		10000			10000								
10014					10000								
10015		10000											
10016	3153|1												
10017		1000											
10018	3006|1												
10019	1442|1	5000											
25001	101|1;121|1												
25002	102|1;122|1												
25003	102|1;123|1												
25004	103|1;114|1;124|1												
25005	103|1;114|1												
25006	103|1;114|1												
25007	103|1;114|1												
25008	103|1;114|1												
25101	221|3;101|1;114|1												
25102	1441|5;1101|5												
25103	1901|5;102|1;1921|5												
25104	1101|5;1401|5												
25105	1504|1;103|1;1421|5												
25106	1001|5;1021|5;1041|5												
25107	3018|1;104|1;3154|10												
25201	101|1												
25202	221|1												
25203	1401|1												
25204	1442|1												
25205	113|1												
25206	1301|1												
25207	1101|1												
25208	102|1												
25209	221|2												
25210	1401|1												
25211	1442|2												
25212	114|1												
25213	1301|1												
25214	1101|2												
25215	103|1												
25216	221|3												
25217	1401|2												
25218	1442|3												
25219	115|1												
25220	1301|1												
25221	1101|3												
25222	103|1												
25223	221|4												
25224	1401|2												
25225	1442|4												
25226	116|1												
25227	1301|1												
25228	1101|4												
25229	104|1												
25230	221|5												
25231	1401|3												
25240		10000											
25241		20000											
25242	1001|3												
25243	1002|2												
25244	1003|1												
25301	106|1												
25302	221|3;1441|3												
25303	101|1												
25304	221|5;1441|5												
25305	102|1												
25306	221|5;1441|5												
25307	103|1												
25308	222|1;1443|1;1401|5												
25401	105|1;1001|1												
25402	105|1;1021|1												
25403	105|1;1041|1												
25404	105|1;3261|1												
25405	105|1												
25406	101|1;222|2												
25407	101|1;1441|1												
25408	101|1;1311|1												
25409	101|1;1112|1												
25410	101|1;1906|1												
25411	101|1;1453|1												
25412	101|1;1141|1												
25413	101|1;222|10												
26001		基础银贝*0.07			基础经验*49.5	基础修为*6.6	基础宠物经验*13						
26002		基础银贝*0.046			基础经验*33	基础修为*4.4	基础宠物经验*8.3						
26003	222|1												
26004	222|1												
26005	222|1												
27001	15|100;3154|1		2000							10			
27010	3004|1												
27011	3005|1												
27101			160						5				
27102			480						11				
27103			640						16				
27104			960						22				
27105			160						5				
27106			480						11				
27107			640						16				
27108			960						22				
27109			160						5				
27110			480						11				
27111			640						16				
27112			960						22				
27113			160						5				
27114			480						11				
27115			640						16				
27116			960						22				
27117			400						6				
27118			640						13				
27119			880						19				
27120			1040						26				
27121			400						6				
27122			640						13				
27123			880						19				
27124			1040						26				
27125			800						6				
27126			800						6				
27127			800						6				
27128			800						6				
27129			800						6				
27130			1200						13				
27131			1200						13				
27132			1200						13				
27133			1200						13				
27134			1200						13				
27135			1600						19				
27136			1600						19				
27137			1600						19				
27138			1600						19				
27139			1600						19				
27140			800						13				
27141			800						13				
27142			800						13				
27143			800						13				
27144			800						13				
27145			1200						26				
27146			1200						26				
27147			1200						26				
27148			1200						26				
27149			1200						26				
27150			1600						39				
27151			1600						39				
27152			1600						39				
27153			1600						39				
27154			1600						39				
27155									2				
27156									5				
27157									8				
27158			1200						20				
27159			1600						50				
27181													181
27182													182
27183													183
27184													184
27185													185
27186													186
27187													187
27188													188
27189													189
27190													190
27191													191
27192													192
27193													193
27194													194
27201													201
27202													202
27203													203
27204													204
27211													211;215
27212													212;216
27213													213;217
27214													214;218
27301	1(11161|1,11162|1);2(11161|1,11162|1);3(11166|1,11167|1);4(11166|1,11167|1)	1776			3465	1732	866						241
27302	1(11171|1,11172|1);2(11171|1,11172|1);3(11171|1,11173|1);4(11171|1,11173|1)	1968			4140	2070	1035						241
27303	1175|1	2112			4770	2385	1192						243
27304	1(11263|1,11264|1);2(11263|1,11264|1);3(11268|1,11269|1);4(11268|1,11269|1)	2352			5895	2947	1473						244
27305		2592			7155	3577	1788						245
27306		2832			8595	4297	2148						245
27351		3398			17190	8595	4297						301
27352		3686			20340	10170	5085						301
27353		3974			23670	11835	5917						302
27354		4262			27270	13635	6817						302
27355		4550			31140	15570	7785						303
