等级	力量	智慧	根骨	体魄	敏捷	身法	生命值	物理防御	法术防御	额外伤害	伤害减免	暴击等级	暴击伤害等级	暴击防御等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	金抗性	木抗性	水抗性	火抗性	土抗性	金伤害	木伤害	水伤害	火伤害	土伤害
48	7	7	7	7	7	7	59	22	22	13	15	11	19	14	14	11	14	14	14	14	14	14	14	14	11	11	11	11	11
49	7	7	7	7	7	7	60	22	22	13	16	12	20	14	15	12	15	14	14	14	14	14	14	14	12	12	12	12	12
50	7	7	7	7	7	7	61	23	23	13	16	12	20	15	15	12	15	15	15	15	15	15	15	15	12	12	12	12	12
51	7	7	7	7	7	7	63	23	23	14	17	12	21	15	16	12	16	15	15	15	15	15	15	15	12	12	12	12	12
52	8	8	8	8	8	8	64	24	24	14	17	13	21	15	16	13	16	15	15	15	15	15	15	15	13	13	13	13	13
53	8	8	8	8	8	8	66	24	24	14	17	13	22	16	16	13	16	16	16	16	16	16	16	16	13	13	13	13	13
54	8	8	8	8	8	8	67	25	25	15	18	13	22	16	17	13	17	16	16	16	16	16	16	16	13	13	13	13	13
55	8	8	8	8	8	8	68	25	25	15	18	13	23	16	17	13	17	16	16	16	16	16	16	16	13	13	13	13	13
56	8	8	8	8	8	8	70	26	26	15	19	14	23	17	17	14	17	17	17	17	17	17	17	17	14	14	14	14	14
57	8	8	8	8	8	8	71	26	26	16	19	14	24	17	18	14	18	17	17	17	17	17	17	17	14	14	14	14	14
58	9	9	9	9	9	9	73	27	27	16	19	14	24	17	18	14	18	17	17	17	17	17	17	17	14	14	14	14	14
59	9	9	9	9	9	9	74	28	28	16	20	15	25	18	18	15	18	18	18	18	18	18	18	18	15	15	15	15	15
60	9	9	9	9	9	9	76	28	28	17	20	15	25	18	19	15	19	18	18	18	18	18	18	18	15	15	15	15	15
61	9	9	9	9	9	9	78	29	29	17	21	15	26	19	19	15	19	19	19	19	19	19	19	19	15	15	15	15	15
62	10	10	10	10	10	10	80	30	30	18	21	16	27	19	20	16	20	19	19	19	19	19	19	19	16	16	16	16	16
63	10	10	10	10	10	10	82	30	30	18	22	16	27	20	20	16	20	20	20	20	20	20	20	20	16	16	16	16	16
64	10	10	10	10	10	10	84	31	31	19	22	17	28	20	21	17	21	20	20	20	20	20	20	20	17	17	17	17	17
65	10	10	10	10	10	10	86	32	32	19	23	17	29	21	21	17	21	21	21	21	21	21	21	21	17	17	17	17	17
66	11	11	11	11	11	11	88	33	33	20	24	18	30	21	22	18	22	21	21	21	21	21	21	21	18	18	18	18	18
67	11	11	11	11	11	11	91	34	34	20	24	18	30	22	23	18	23	22	22	22	22	22	22	22	18	18	18	18	18
68	11	11	11	11	11	11	93	34	34	20	25	18	31	22	23	18	23	22	22	22	22	22	22	22	18	18	18	18	18
69	11	11	11	11	11	11	95	35	35	21	25	19	32	23	24	19	24	23	23	23	23	23	23	23	19	19	19	19	19
70	12	12	12	12	12	12	97	36	36	21	26	19	32	23	24	19	24	23	23	23	23	23	23	23	19	19	19	19	19
71	12	12	12	12	12	12	99	37	37	22	26	20	33	24	25	20	25	24	24	24	24	24	24	24	20	20	20	20	20
72	12	12	12	12	12	12	101	38	38	22	27	20	34	24	25	20	25	24	24	24	24	24	24	24	20	20	20	20	20
73	12	12	12	12	12	12	103	38	38	23	28	21	35	25	26	21	26	25	25	25	25	25	25	25	21	21	21	21	21
74	13	13	13	13	13	13	105	39	39	23	28	21	35	25	26	21	26	25	25	25	25	25	25	25	21	21	21	21	21
75	13	13	13	13	13	13	108	40	40	24	29	21	36	26	27	21	27	26	26	26	26	26	26	26	21	21	21	21	21
76	13	13	13	13	13	13	110	41	41	24	29	22	37	26	27	22	27	26	26	26	26	26	26	26	22	22	22	22	22
77	14	14	14	14	14	14	112	42	42	25	30	22	37	27	28	22	28	27	27	27	27	27	27	27	22	22	22	22	22
78	14	14	14	14	14	14	114	42	42	25	30	23	38	27	28	23	28	27	27	27	27	27	27	27	23	23	23	23	23
79	14	14	14	14	14	14	116	43	43	26	31	23	39	28	29	23	29	28	28	28	28	28	28	28	23	23	23	23	23
80	14	14	14	14	14	14	118	44	44	26	32	24	40	28	30	24	30	28	28	28	28	28	28	28	24	24	24	24	24
81	15	15	15	15	15	15	120	45	45	27	32	24	40	29	30	24	30	29	29	29	29	29	29	29	24	24	24	24	24
82	15	15	15	15	15	15	123	46	46	27	33	24	41	29	31	24	31	29	29	29	29	29	29	29	24	24	24	24	24
83	15	15	15	15	15	15	125	46	46	28	33	25	42	30	31	25	31	30	30	30	30	30	30	30	25	25	25	25	25
84	15	15	15	15	15	15	127	47	47	28	34	25	42	30	32	25	32	30	30	30	30	30	30	30	25	25	25	25	25
85	16	16	16	16	16	16	129	48	48	29	34	26	43	31	32	26	32	31	31	31	31	31	31	31	26	26	26	26	26
86	16	16	16	16	16	16	131	49	49	29	35	26	44	31	33	26	33	31	31	31	31	31	31	31	26	26	26	26	26
87	16	16	16	16	16	16	133	50	50	30	36	27	45	32	33	27	33	32	32	32	32	32	32	32	27	27	27	27	27
88	16	16	16	16	16	16	135	50	50	30	36	27	45	33	34	27	34	33	33	33	33	33	33	33	27	27	27	27	27
89	17	17	17	17	17	17	137	51	51	31	37	27	46	33	34	27	34	33	33	33	33	33	33	33	27	27	27	27	27
90	17	17	17	17	17	17	140	52	52	31	37	28	47	34	35	28	35	34	34	34	34	34	34	34	28	28	28	28	28
91	17	17	17	17	17	17	142	53	53	32	38	28	48	34	36	28	36	34	34	34	34	34	34	34	28	28	28	28	28
92	18	18	18	18	18	18	144	54	54	32	38	29	48	35	36	29	36	35	35	35	35	35	35	35	29	29	29	29	29
93	18	18	18	18	18	18	146	54	54	32	39	29	49	35	37	29	37	35	35	35	35	35	35	35	29	29	29	29	29
94	18	18	18	18	18	18	148	55	55	33	40	30	50	36	37	30	37	36	36	36	36	36	36	36	30	30	30	30	30
95	18	18	18	18	18	18	150	56	56	33	40	30	50	36	38	30	38	36	36	36	36	36	36	36	30	30	30	30	30
96	19	19	19	19	19	19	152	57	57	34	41	30	51	37	38	30	38	37	37	37	37	37	37	37	30	30	30	30	30
97	19	19	19	19	19	19	155	58	58	34	41	31	52	37	39	31	39	37	37	37	37	37	37	37	31	31	31	31	31
98	19	19	19	19	19	19	157	58	58	35	42	31	53	38	39	31	39	38	38	38	38	38	38	38	31	31	31	31	31
99	19	19	19	19	19	19	159	59	59	35	43	32	53	38	40	32	40	38	38	38	38	38	38	38	32	32	32	32	32
100	20	20	20	20	20	20	161	60	60	36	43	32	54	39	40	32	40	39	39	39	39	39	39	39	32	32	32	32	32
101	20	20	20	20	20	20	164	61	61	36	44	33	55	39	41	33	41	39	39	39	39	39	39	39	33	33	33	33	33
102	20	20	20	20	20	20	167	62	62	37	45	33	56	40	42	33	42	40	40	40	40	40	40	40	33	33	33	33	33
103	21	21	21	21	21	21	169	63	63	38	45	34	57	41	43	34	43	41	41	41	41	41	41	41	34	34	34	34	34
104	21	21	21	21	21	21	172	64	64	38	46	34	58	42	43	34	43	42	42	42	42	42	42	42	34	34	34	34	34
105	21	21	21	21	21	21	175	65	65	39	47	35	59	42	44	35	44	42	42	42	42	42	42	42	35	35	35	35	35
106	22	22	22	22	22	22	178	66	66	40	48	36	60	43	45	36	45	43	43	43	43	43	43	43	36	36	36	36	36
107	22	22	22	22	22	22	181	68	68	40	48	36	61	44	45	36	45	44	44	44	44	44	44	44	36	36	36	36	36
108	23	23	23	23	23	23	184	69	69	41	49	37	62	44	46	37	46	44	44	44	44	44	44	44	37	37	37	37	37
109	23	23	23	23	23	23	187	70	70	42	50	37	63	45	47	37	47	45	45	45	45	45	45	45	37	37	37	37	37
110	23	23	23	23	23	23	189	71	71	42	51	38	64	46	48	38	48	46	46	46	46	46	46	46	38	38	38	38	38
111	24	24	24	24	24	24	192	72	72	43	52	39	65	46	48	39	48	46	46	46	46	46	46	46	39	39	39	39	39
112	24	24	24	24	24	24	195	73	73	44	52	39	66	47	49	39	49	47	47	47	47	47	47	47	39	39	39	39	39
113	24	24	24	24	24	24	198	74	74	44	53	40	66	48	50	40	50	48	48	48	48	48	48	48	40	40	40	40	40
114	25	25	25	25	25	25	201	75	75	45	54	40	67	48	50	40	50	48	48	48	48	48	48	48	40	40	40	40	40
115	25	25	25	25	25	25	204	76	76	45	55	41	68	49	51	41	51	49	49	49	49	49	49	49	41	41	41	41	41
116	25	25	25	25	25	25	206	77	77	46	55	41	69	50	52	41	52	50	50	50	50	50	50	50	41	41	41	41	41
117	26	26	26	26	26	26	209	78	78	47	56	42	70	51	53	42	53	51	51	51	51	51	51	51	42	42	42	42	42
118	26	26	26	26	26	26	212	79	79	47	57	43	71	51	53	43	53	51	51	51	51	51	51	51	43	43	43	43	43
119	26	26	26	26	26	26	215	80	80	48	58	43	72	52	54	43	54	52	52	52	52	52	52	52	43	43	43	43	43
120	27	27	27	27	27	27	218	81	81	49	58	44	73	53	55	44	55	53	53	53	53	53	53	53	44	44	44	44	44
121	27	27	27	27	27	27	221	82	82	49	59	44	74	53	55	44	55	53	53	53	53	53	53	53	44	44	44	44	44
122	28	28	28	28	28	28	224	84	84	50	60	45	75	54	56	45	56	54	54	54	54	54	54	54	45	45	45	45	45
123	28	28	28	28	28	28	226	85	85	51	61	45	76	55	57	45	57	55	55	55	55	55	55	55	45	45	45	45	45
124	28	28	28	28	28	28	229	86	86	51	62	46	77	55	58	46	58	55	55	55	55	55	55	55	46	46	46	46	46
125	29	29	29	29	29	29	232	87	87	52	62	47	78	56	58	47	58	56	56	56	56	56	56	56	47	47	47	47	47
126	29	29	29	29	29	29	235	88	88	52	63	47	79	57	59	47	59	57	57	57	57	57	57	57	47	47	47	47	47
127	29	29	29	29	29	29	238	89	89	53	64	48	80	57	60	48	60	57	57	57	57	57	57	57	48	48	48	48	48
128	30	30	30	30	30	30	241	90	90	54	65	48	81	58	61	48	61	58	58	58	58	58	58	58	48	48	48	48	48
129	30	30	30	30	30	30	243	91	91	54	65	49	82	59	61	49	61	59	59	59	59	59	59	59	49	49	49	49	49
130	30	30	30	30	30	30	246	92	92	55	66	49	83	59	62	49	62	59	59	59	59	59	59	59	49	49	49	49	49
131	31	31	31	31	31	31	249	93	93	56	67	50	84	60	63	50	63	60	60	60	60	60	60	60	50	50	50	50	50
132	31	31	31	31	31	31	252	94	94	56	68	51	85	61	63	51	63	61	61	61	61	61	61	61	51	51	51	51	51
133	31	31	31	31	31	31	255	95	95	57	68	51	86	62	64	51	64	62	62	62	62	62	62	62	51	51	51	51	51
134	32	32	32	32	32	32	258	96	96	58	69	52	87	62	65	52	65	62	62	62	62	62	62	62	52	52	52	52	52
135	32	32	32	32	32	32	260	97	97	58	70	52	88	63	66	52	66	63	63	63	63	63	63	63	52	52	52	52	52
136	32	32	32	32	32	32	263	98	98	59	71	53	89	64	66	53	66	64	64	64	64	64	64	64	53	53	53	53	53
137	33	33	33	33	33	33	266	100	100	60	72	54	90	64	67	54	67	64	64	64	64	64	64	64	54	54	54	54	54
138	33	33	33	33	33	33	269	101	101	60	72	54	90	65	68	54	68	65	65	65	65	65	65	65	54	54	54	54	54
139	34	34	34	34	34	34	272	102	102	61	73	55	91	66	68	55	68	66	66	66	66	66	66	66	55	55	55	55	55
140	34	34	34	34	34	34	275	103	103	61	74	55	92	66	69	55	69	66	66	66	66	66	66	66	55	55	55	55	55
141	34	34	34	34	34	34	278	104	104	62	75	56	94	67	70	56	70	67	67	67	67	67	67	67	56	56	56	56	56
142	35	35	35	35	35	35	282	105	105	63	76	57	95	68	71	57	71	68	68	68	68	68	68	68	57	57	57	57	57
143	35	35	35	35	35	35	285	107	107	64	77	57	96	69	72	57	72	69	69	69	69	69	69	69	57	57	57	57	57
144	36	36	36	36	36	36	289	108	108	65	78	58	97	70	73	58	73	70	70	70	70	70	70	70	58	58	58	58	58
145	36	36	36	36	36	36	292	109	109	65	79	59	98	71	74	59	74	71	71	71	71	71	71	71	59	59	59	59	59
146	37	37	37	37	37	37	296	111	111	66	80	60	100	72	75	60	75	72	72	72	72	72	72	72	60	60	60	60	60
147	37	37	37	37	37	37	300	112	112	67	81	60	101	72	75	60	75	72	72	72	72	72	72	72	60	60	60	60	60
148	37	37	37	37	37	37	303	113	113	68	81	61	102	73	76	61	76	73	73	73	73	73	73	73	61	61	61	61	61
149	38	38	38	38	38	38	307	115	115	69	82	62	103	74	77	62	77	74	74	74	74	74	74	74	62	62	62	62	62
150	38	38	38	38	38	38	310	116	116	69	83	62	104	75	78	62	78	75	75	75	75	75	75	75	62	62	62	62	62
