ID	名称	锋锐	宗法	挫锋	御法	不动如山	妙手	易愈	攻心	御心	灵逸	万象由心	刚身	灭魂	御灵	困兽	噬魂	不灭	杀戮	止戈	长生	剑魂	气宗	原力	空灵	坚韧	健强	迅捷	若危
38	橙饰·法术·鬼谷·属性库1		1,2,20	1,2,50	1,2,50		1,2,30		1,2,20		1,2,20																		
39	橙武·物理·属性库2																					1,3,20		1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50
40	橙武·法术·属性库2																						1,3,20	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50
41	橙防·属性库2											1,2,20	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,50	1,2,20	1,2,20									
42	橙项链·属性库2																				1,3,20			1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50
43	橙饰·物理·属性库2																				1,3,20			1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50
44	橙饰·法术·属性库2																				1,3,20			1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50
61	红武·物理·属性库1	1,3,50							1,3,50																				
62	红武·法术·属性库1		1,3,50						1,3,50																				
63	红武·法术·鬼谷·属性库1		1,3,50				1,3,50		1,3,50																				
64	红防·属性库1			1,3,50	1,3,50	1,3,20		1,3,30		1,3,30	1,3,20																		
65	红项链·属性库1	1,3,20	1,3,20	1,3,50	1,3,50		1,3,30		1,3,20		1,3,20																		
66	红饰·物理·属性库1	1,3,20		1,3,50	1,3,50				1,3,20		1,3,20																		
67	红饰·法术·属性库1		1,3,20	1,3,50	1,3,50				1,3,20		1,3,20																		
68	红饰·法术·鬼谷·属性库1		1,3,20	1,3,50	1,3,50		1,3,30		1,3,20		1,3,20																		
69	红武·物理·属性库2																					2,4,20		2,4,50	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50
70	红武·法术·属性库2																						2,4,20	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50
71	红防·属性库2											1,3,20	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,20	1,3,20									
72	红项链·属性库2																				2,4,20			2,4,50	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50
73	红饰·物理·属性库2																				2,4,20			2,4,50	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50
74	红饰·法术·属性库2																				2,4,20			2,4,50	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50
91	紫武·物理·属性库1·70级	1,3,50							1,3,50																				
92	紫武·法术·属性库1·70级		1,3,50						1,3,50																				
93	紫武·法术·鬼谷·属性库1·70级		1,3,50				1,3,50		1,3,50																				
94	紫防·属性库1·70级			1,3,50	1,3,50	1,3,20		1,3,30		1,3,30	1,3,20																		
95	紫项链·属性库1·70级	1,3,20	1,3,20	1,3,50	1,3,50		1,3,30		1,3,20		1,3,20																		
96	紫饰·物理·属性库1·70级	1,3,20		1,3,50	1,3,50				1,3,20		1,3,20																		
97	紫饰·法术·属性库1·70级		1,3,20	1,3,50	1,3,50				1,3,20		1,3,20																		
98	紫饰·法术·鬼谷·属性库1·70级		1,3,20	1,3,50	1,3,50		1,3,30		1,3,20		1,3,20																		
99	紫武·物理·属性库2·70级																					1,4,20		1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
100	紫武·法术·属性库2·70级																						1,4,20	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
101	紫防·属性库2·70级											1,3,20	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,20	1,3,20									
102	紫项链·属性库2·70级																				1,4,20			1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
103	紫饰·物理·属性库2·70级																				1,4,20			1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
104	紫饰·法术·属性库2·70级																				1,4,20			1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
121	橙武·物理·属性库1·70级·70级	1,3,50							1,3,50																				
122	橙武·法术·属性库1·70级·70级		1,3,50						1,3,50																				
123	橙武·法术·鬼谷·属性库1·70级·70级		1,3,50				1,3,50		1,3,50																				
124	橙防·属性库1·70级·70级			1,3,50	1,3,50	1,3,20		1,3,30		1,3,30	1,3,20																		
125	橙项链·属性库1·70级	1,3,20	1,3,20	1,3,50	1,3,50		1,3,30		1,3,20		1,3,20																		
126	橙饰·物理·属性库1·70级	1,3,20		1,3,50	1,3,50				1,3,20		1,3,20																		
127	橙饰·法术·属性库1·70级		1,3,20	1,3,50	1,3,50				1,3,20		1,3,20																		
128	橙饰·法术·鬼谷·属性库1·70级		1,3,20	1,3,50	1,3,50		1,3,30		1,3,20		1,3,20																		
129	橙武·物理·属性库2·70级																					1,4,20		1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
130	橙武·法术·属性库2·70级																						1,4,20	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
131	橙防·属性库2·70级											1,3,20	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,50	1,3,20	1,3,20									
132	橙项链·属性库2·70级																				1,4,20			1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
133	橙饰·物理·属性库2·70级																				1,4,20			1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
134	橙饰·法术·属性库2·70级																				1,4,20			1,4,50	1,4,50	1,4,50	1,4,50	1,4,50	1,4,50
151	红武·物理·属性库1·70级	2,4,50							2,4,50																				
152	红武·法术·属性库1·70级		2,4,50						2,4,50																				
153	红武·法术·鬼谷·属性库1·70级		2,4,50				2,4,50		2,4,50																				
154	红防·属性库1·70级			2,4,50	2,4,50	2,4,20		2,4,30		2,4,30	2,4,20																		
155	红项链·属性库1·70级	2,4,20	2,4,20	2,4,50	2,4,50		2,4,30		2,4,20		2,4,20																		
156	红饰·物理·属性库1·70级	2,4,20		2,4,50	2,4,50				2,4,20		2,4,20																		
157	红饰·法术·属性库1·70级		2,4,20	2,4,50	2,4,50				2,4,20		2,4,20																		
158	红饰·法术·鬼谷·属性库1·70级		2,4,20	2,4,50	2,4,50		2,4,30		2,4,20		2,4,20																		
159	红武·物理·属性库2·70级																					2,5,20		2,5,50	2,5,50	2,5,50	2,5,50	2,5,50	2,5,50
160	红武·法术·属性库2·70级																						2,5,20	2,5,50	2,5,50	2,5,50	2,5,50	2,5,50	2,5,50
161	红防·属性库2·70级											2,4,20	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50	2,4,50	2,4,20	2,4,20									
162	红项链·属性库2·70级																				2,5,20			2,5,50	2,5,50	2,5,50	2,5,50	2,5,50	2,5,50
163	红饰·物理·属性库2·70级																				2,5,20			2,5,50	2,5,50	2,5,50	2,5,50	2,5,50	2,5,50
164	红饰·法术·属性库2·70级																				2,5,20			2,5,50	2,5,50	2,5,50	2,5,50	2,5,50	2,5,50
