id	道具id	名字	等级下限	等级上限	权重	数量	随机数量
102	1690	高级狂暴	1	150	5	1	
102	1691	高级疾速	1	150	5	1	
102	1692	高级金咒	1	150	5	1	
102	1693	高级木咒	1	150	5	1	
102	1694	高级水咒	1	150	5	1	
102	1695	高级火咒	1	150	5	1	
102	1696	高级土咒	1	150	5	1	
103	1801	圣光普照	1	150	5	1	
103	1802	落叶漫天	1	150	5	1	
103	1803	狂浪滔天	1	150	5	1	
103	1804	炼狱火海	1	150	5	1	
103	1805	泰山压顶	1	150	5	1	
103	1806	万物复苏	1	150	5	1	
103	1807	鲜血狂暴	1	150	5	1	
103	1808	蛮力之击	1	150	5	1	
103	1809	致命追猎	1	150	5	1	
103	1810	怒意狂击	1	150	5	1	
103	1811	烈焰灼烧	1	150	5	1	
103	1812	神出鬼没	1	150	5	1	
103	1813	韧性皮肤	1	150	5	1	
103	1814	神圣护盾	1	150	5	1	
103	1815	偷天换日	1	150	5	1	
103	1816	死亡标记	1	150	5	1	
111	3771	初级头盔护符	1	150	1	1	
111	3772	初级胸甲护符	1	150	1	1	
111	3773	初级手套护符	1	150	1	1	
111	3774	初级裤子护符	1	150	1	1	
111	3775	初级鞋子护符	1	150	1	1	
112	3781	中级头盔护符	1	150	1	1	
112	3782	中级胸甲护符	1	150	1	1	
112	3783	中级手套护符	1	150	1	1	
112	3784	中级裤子护符	1	150	1	1	
112	3785	中级鞋子护符	1	150	1	1	
113	3791	高级头盔护符	1	150	1	1	
113	3792	高级胸甲护符	1	150	1	1	
113	3793	高级手套护符	1	150	1	1	
113	3794	高级裤子护符	1	150	1	1	
113	3795	高级鞋子护符	1	150	1	1	
114	3801	顶级头盔护符	1	150	1	1	
114	3802	顶级胸甲护符	1	150	1	1	
114	3803	顶级手套护符	1	150	1	1	
114	3804	顶级裤子护符	1	150	1	1	
114	3805	顶级鞋子护符	1	150	1	1	
181	2	银贝	1	150	1		525|735
182	2	银贝	1	150	1		714|1001
183	2	银贝	1	150	1		924|1293
184	2	银贝	1	150	1		1134|1588
185	2	银贝	1	150	1		1344|1881
186	2	银贝	1	150	1		1554|2175
187	2	银贝	1	150	1		1864|2609
188	2	银贝	1	150	1		2236|3130
189	2	银贝	1	150	1		2683|3756
190	2	银贝	1	150	1		3219|4506
191	1102	 玄天石	1	150	10	1	
192	1102	 玄天石	1	150	20	1	
192	1102	 玄天石	1	150	5	2	
193	1102	 玄天石	1	150	30	1	
193	1102	 玄天石	1	150	15	2	
193	1102	 玄天石	1	150	5	3	
194	1102	 玄天石	1	150	20	1	
194	1102	 玄天石	1	150	30	2	
194	1102	 玄天石	1	150	10	3	
194	1102	 玄天石	1	150	5	4	
201	1102	 玄天石	1	150	10	1	
202	1102	 玄天石	1	150	20	1	
202	1102	 玄天石	1	150	10	2	
203	1102	 玄天石	1	150	30	1	
203	1102	 玄天石	1	150	20	2	
203	1102	 玄天石	1	150	10	3	
204	1102	 玄天石	1	150	20	1	
204	1102	 玄天石	1	150	30	2	
204	1102	 玄天石	1	150	20	3	
204	1102	 玄天石	1	150	10	4	
211	1102	 玄天石	1	150	10	1	
212	1102	 玄天石	1	150	20	1	
212	1102	 玄天石	1	150	10	2	
213	1102	 玄天石	1	150	30	1	
213	1102	 玄天石	1	150	20	2	
213	1102	 玄天石	1	150	10	3	
214	1102	 玄天石	1	150	20	1	
214	1102	 玄天石	1	150	30	2	
214	1102	 玄天石	1	150	20	3	
214	1102	 玄天石	1	150	10	4	
215	1103	神龙铁	1	150	10	1	
216	1103	神龙铁	1	150	10	1	
217	1103	神龙铁	1	150	10	1	
218	1103	神龙铁	1	150	10	1	
241	11121	10级钢盔	1	150	10	1	
241	11122	10级硬胸甲	1	150	10	1	
241	11123	10级硬手套	1	150	10	1	
241	11124	10级硬裤子	1	150	10	1	
241	11125	10级硬鞋子	1	150	10	1	
241	11126	10级软头盔	1	150	10	1	
241	11127	10级软胸甲	1	150	10	1	
241	11128	10级软手套	1	150	10	1	
241	11129	10级软裤子	1	150	10	1	
241	11130	10级软鞋子	1	150	10	1	
241	11131	10级项链	1	150	10	1	
241	11132	10级物攻戒指	1	150	10	1	
241	11133	10级法攻戒指	1	150	10	1	
241	11134	10级物攻饰品	1	150	10	1	
241	11135	10级法攻饰品	1	150	10	1	
241	11151	10级剑·蓝	1	150	30	1	
241	11152	10级短剑·蓝	1	150	30	1	
241	11153	10级法器·蓝	1	150	30	1	
241	11161	10硬头盔·蓝	1	150	5	1	
241	11162	10硬胸甲·蓝	1	150	5	1	
241	11163	10硬手套·蓝	1	150	15	1	
241	11164	10硬裤子·蓝	1	150	15	1	
241	11165	10硬鞋子·蓝	1	150	15	1	
241	11166	10软头盔·蓝	1	150	5	1	
241	11167	10软胸甲·蓝	1	150	5	1	
241	11168	10软手套·蓝	1	150	15	1	
241	11169	10软裤子·蓝	1	150	15	1	
241	11170	10软鞋子·蓝	1	150	15	1	
243	11151	10级剑·蓝	1	150	10	1	
243	11152	10级短剑·蓝	1	150	10	1	
243	11153	10级法器·蓝	1	150	10	1	
243	11161	10硬头盔·蓝	1	150	5	1	
243	11162	10硬胸甲·蓝	1	150	5	1	
243	11163	10硬手套·蓝	1	150	40	1	
243	11164	10硬裤子·蓝	1	150	40	1	
243	11165	10硬鞋子·蓝	1	150	40	1	
243	11166	10软头盔·蓝	1	150	5	1	
243	11167	10软胸甲·蓝	1	150	5	1	
243	11168	10软手套·蓝	1	150	40	1	
243	11169	10软裤子·蓝	1	150	40	1	
243	11170	10软鞋子·蓝	1	150	40	1	
243	11221	20级硬头盔	1	150	10	1	
243	11222	20级硬胸甲	1	150	10	1	
243	11223	20级硬手套	1	150	10	1	
243	11224	20级硬裤子	1	150	10	1	
243	11225	20级硬鞋子	1	150	10	1	
243	11226	20级软头盔	1	150	10	1	
243	11227	20级软胸甲	1	150	10	1	
243	11228	20级软手套	1	150	10	1	
243	11229	20级软裤子	1	150	10	1	
243	11230	20级软鞋子	1	150	10	1	
243	11231	20级项链	1	150	10	1	
243	11232	20级物攻戒指	1	150	10	1	
243	11233	20级法攻戒指	1	150	10	1	
243	11234	20级物攻饰品	1	150	10	1	
243	11235	20级法攻饰品	1	150	10	1	
243	11251	20级剑·蓝	1	150	10	1	
243	11252	20级短剑·蓝	1	150	10	1	
243	11253	20级法器·蓝	1	150	10	1	
243	11261	20硬头盔·蓝	1	150	5	1	
243	11262	20硬胸甲·蓝	1	150	5	1	
243	11263	20硬手套·蓝	1	150	5	1	
243	11264	20硬裤子·蓝	1	150	5	1	
243	11265	20硬鞋子·蓝	1	150	5	1	
243	11266	20软头盔·蓝	1	150	5	1	
243	11267	20软胸甲·蓝	1	150	5	1	
243	11268	20软手套·蓝	1	150	5	1	
243	11269	20软裤子·蓝	1	150	5	1	
243	11270	20软鞋子·蓝	1	150	5	1	
243	11271	20级项链·蓝	1	150	5	1	
243	11272	20物攻戒指·蓝	1	150	5	1	
243	11273	20法攻戒指·蓝	1	150	5	1	
243	11274	20物攻饰品·蓝	1	150	5	1	
243	11275	20法攻饰品·蓝	1	150	5	1	
244	11221	20级硬头盔	1	150	10	1	
244	11222	20级硬胸甲	1	150	10	1	
244	11223	20级硬手套	1	150	10	1	
244	11224	20级硬裤子	1	150	10	1	
244	11225	20级硬鞋子	1	150	10	1	
244	11226	20级软头盔	1	150	10	1	
244	11227	20级软胸甲	1	150	10	1	
244	11228	20级软手套	1	150	10	1	
244	11229	20级软裤子	1	150	10	1	
244	11230	20级软鞋子	1	150	10	1	
244	11231	20级项链	1	150	10	1	
244	11232	20级物攻戒指	1	150	10	1	
244	11233	20级法攻戒指	1	150	10	1	
244	11234	20级物攻饰品	1	150	10	1	
244	11235	20级法攻饰品	1	150	10	1	
244	11251	20级剑·蓝	1	150	10	1	
244	11252	20级短剑·蓝	1	150	10	1	
244	11253	20级法器·蓝	1	150	10	1	
244	11261	20硬头盔·蓝	1	150	10	1	
244	11262	20硬胸甲·蓝	1	150	10	1	
244	11263	20硬手套·蓝	1	150	5	1	
244	11264	20硬裤子·蓝	1	150	5	1	
244	11265	20硬鞋子·蓝	1	150	5	1	
244	11266	20软头盔·蓝	1	150	10	1	
244	11267	20软胸甲·蓝	1	150	10	1	
244	11268	20软手套·蓝	1	150	10	1	
244	11269	20软裤子·蓝	1	150	10	1	
244	11270	20软鞋子·蓝	1	150	10	1	
244	11271	20级项链·蓝	1	150	10	1	
244	11272	20物攻戒指·蓝	1	150	10	1	
244	11273	20法攻戒指·蓝	1	150	5	1	
244	11274	20物攻饰品·蓝	1	150	5	1	
244	11275	20法攻饰品·蓝	1	150	5	1	
245	11301	30级剑	1	150	100	1	
245	11302	30级短剑	1	150	100	1	
245	11303	30级法器	1	150	100	1	
245	11311	30级硬头盔	1	150	100	1	
245	11312	30级硬胸甲	1	150	100	1	
245	11313	30级硬手套	1	150	100	1	
245	11314	30级硬裤子	1	150	100	1	
245	11315	30级硬鞋子	1	150	100	1	
245	11316	30级软头盔	1	150	100	1	
245	11317	30级软胸甲	1	150	100	1	
245	11318	30级软手套	1	150	100	1	
245	11319	30级软裤子	1	150	100	1	
245	11320	30级软鞋子	1	150	100	1	
245	11321	30级项链	1	150	100	1	
245	11322	30级物攻戒指	1	150	100	1	
245	11323	30级法攻戒指	1	150	100	1	
245	11324	30级物攻饰品	1	150	100	1	
245	11325	30级法攻饰品	1	150	100	1	
245	11331	30级剑·蓝	1	150	400	1	
245	11332	30级短剑·蓝	1	150	400	1	
245	11333	30级法器·蓝	1	150	400	1	
245	11341	30硬头盔·蓝	1	150	100	1	
245	11342	30硬胸甲·蓝	1	150	100	1	
245	11343	30硬手套·蓝	1	150	100	1	
245	11344	30硬裤子·蓝	1	150	100	1	
245	11345	30硬鞋子·蓝	1	150	100	1	
245	11346	30软头盔·蓝	1	150	100	1	
245	11347	30软胸甲·蓝	1	150	100	1	
245	11348	30软手套·蓝	1	150	100	1	
245	11349	30软裤子·蓝	1	150	100	1	
245	11350	30软鞋子·蓝	1	150	100	1	
245	11351	30级项链·蓝	1	150	100	1	
245	11352	30物攻戒指·蓝	1	150	100	1	
245	11353	30法攻戒指·蓝	1	150	100	1	
245	11354	30物攻饰品·蓝	1	150	100	1	
245	11355	30法攻饰品·蓝	1	150	100	1	
301	11401	40级剑	1	150	1053	1	
301	11402	40级短剑	1	150	1053	1	
301	11403	40级法器	1	150	1053	1	
301	11411	40级硬头盔	1	150	1053	1	
301	11412	40级硬胸甲	1	150	1053	1	
301	11413	40级硬手套	1	150	1053	1	
301	11414	40级硬裤子	1	150	1053	1	
301	11415	40级硬鞋子	1	150	1053	1	
301	11416	40级软头盔	1	150	1053	1	
301	11417	40级软胸甲	1	150	1053	1	
301	11418	40级软手套	1	150	1053	1	
301	11419	40级软裤子	1	150	1053	1	
301	11420	40级软鞋子	1	150	1053	1	
301	11421	40级项链	1	150	1053	1	
301	11422	40级物攻戒指	1	150	1053	1	
301	11423	40级法攻戒指	1	150	1053	1	
301	11424	40级物攻饰品	1	150	1053	1	
301	11425	40级法攻饰品	1	150	1053	1	
301	11431	40级剑·蓝	1	150	4174	1	
301	11432	40级短剑·蓝	1	150	4174	1	
301	11433	40级法器·蓝	1	150	4174	1	
301	11441	40硬头盔·蓝	1	150	2087	1	
301	11442	40硬胸甲·蓝	1	150	2087	1	
301	11443	40硬手套·蓝	1	150	2087	1	
301	11444	40硬裤子·蓝	1	150	2087	1	
301	11445	40硬鞋子·蓝	1	150	2087	1	
301	11446	40软头盔·蓝	1	150	2087	1	
301	11447	40软胸甲·蓝	1	150	2087	1	
301	11448	40软手套·蓝	1	150	2087	1	
301	11449	40软裤子·蓝	1	150	2087	1	
301	11450	40软鞋子·蓝	1	150	2087	1	
301	11451	40级项链·蓝	1	150	2087	1	
301	11452	40物攻戒指·蓝	1	150	2087	1	
301	11453	40法攻戒指·蓝	1	150	2087	1	
301	11454	40物攻饰品·蓝	1	150	2087	1	
301	11455	40法攻饰品·蓝	1	150	2087	1	
301	12001	40级剑·紫	1	150	1161	1	
301	12002	40级短剑·紫	1	150	1161	1	
301	12003	40级法器·紫	1	150	1161	1	
301	12004	40级环·紫	1	150	1161	1	
301	12011	40头盔·紫·天剑	1	150	645	1	
301	12012	40胸甲·紫·天剑	1	150	645	1	
301	12013	40手套·紫·天剑	1	150	774	1	
301	12014	40裤子·紫·天剑	1	150	645	1	
301	12015	40鞋子·紫·天剑	1	150	774	1	
301	12021	40头盔·紫·墨家	1	150	645	1	
301	12022	40胸甲·紫·墨家	1	150	645	1	
301	12023	40手套·紫·墨家	1	150	774	1	
301	12024	40裤子·紫·墨家	1	150	645	1	
301	12025	40鞋子·紫·墨家	1	150	774	1	
301	12031	40头盔·紫·鬼谷	1	150	645	1	
301	12032	40胸甲·紫·鬼谷	1	150	645	1	
301	12033	40手套·紫·鬼谷	1	150	774	1	
301	12034	40裤子·紫·鬼谷	1	150	645	1	
301	12035	40鞋子·紫·鬼谷	1	150	774	1	
301	12041	40头盔·紫·七曜	1	150	645	1	
301	12042	40胸甲·紫·七曜	1	150	645	1	
301	12043	40手套·紫·七曜	1	150	774	1	
301	12044	40裤子·紫·七曜	1	150	645	1	
301	12045	40鞋子·紫·七曜	1	150	774	1	
301	12081	40物攻项链·紫	1	150	1032	1	
301	12082	40法攻项链·紫	1	150	1032	1	
301	12083	40物攻戒指·紫	1	150	645	1	
301	12084	40法攻戒指·紫	1	150	645	1	
301	12085	40物攻饰品·紫	1	150	1032	1	
301	12086	40法攻饰品·紫	1	150	1032	1	
301	13001	40级剑·橙	1	150	205	1	
301	13002	40级短剑·橙	1	150	205	1	
301	13003	40级法器·橙	1	150	205	1	
301	13004	40级环·橙	1	150	205	1	
301	13011	40头盔·橙·天剑	1	150	342	1	
301	13012	40胸甲·橙·天剑	1	150	342	1	
301	13013	40手套·橙·天剑	1	150	256	1	
301	13014	40裤子·橙·天剑	1	150	342	1	
301	13015	40鞋子·橙·天剑	1	150	256	1	
301	13021	40头盔·橙·墨家	1	150	342	1	
301	13022	40胸甲·橙·墨家	1	150	342	1	
301	13023	40手套·橙·墨家	1	150	256	1	
301	13024	40裤子·橙·墨家	1	150	342	1	
301	13025	40鞋子·橙·墨家	1	150	256	1	
301	13031	40头盔·橙·鬼谷	1	150	342	1	
301	13032	40胸甲·橙·鬼谷	1	150	342	1	
301	13033	40手套·橙·鬼谷	1	150	256	1	
301	13034	40裤子·橙·鬼谷	1	150	342	1	
301	13035	40鞋子·橙·鬼谷	1	150	256	1	
301	13041	40头盔·橙·七曜	1	150	342	1	
301	13042	40胸甲·橙·七曜	1	150	342	1	
301	13043	40手套·橙·七曜	1	150	256	1	
301	13044	40裤子·橙·七曜	1	150	342	1	
301	13045	40鞋子·橙·七曜	1	150	256	1	
301	13081	40物攻项链·橙	1	150	205	1	
301	13082	40法攻项链·橙	1	150	205	1	
301	13083	40物攻戒指·橙	1	150	103	1	
301	13084	40法攻戒指·橙	1	150	103	1	
301	13085	40物攻饰品·橙	1	150	205	1	
301	13086	40法攻饰品·橙	1	150	205	1	
302	14401	50级剑	1	150	1053	1	
302	14402	50级短剑	1	150	1053	1	
302	14403	50级法器	1	150	1053	1	
302	14404	50级环	1	150	1053	1	
302	14411	50级硬头盔	1	150	1053	1	
302	14412	50级硬胸甲	1	150	1053	1	
302	14413	50级硬手套	1	150	1053	1	
302	14414	50级硬裤子	1	150	1053	1	
302	14415	50级硬鞋子	1	150	1053	1	
302	14416	50级软头盔	1	150	1053	1	
302	14417	50级软胸甲	1	150	1053	1	
302	14418	50级软手套	1	150	1053	1	
302	14419	50级软裤子	1	150	1053	1	
302	14420	50级软鞋子	1	150	1053	1	
302	14421	50级项链	1	150	1053	1	
302	14422	50级物攻戒指	1	150	1053	1	
302	14423	50级法攻戒指	1	150	1053	1	
302	14424	50级物攻饰品	1	150	1053	1	
302	14425	50级法攻饰品	1	150	1053	1	
302	14431	50级剑·蓝	1	150	4174	1	
302	14432	50级短剑·蓝	1	150	4174	1	
302	14433	50级法器·蓝	1	150	4174	1	
302	14434	50级环·蓝	1	150	4174	1	
302	14441	50硬头盔·蓝	1	150	2087	1	
302	14442	50硬胸甲·蓝	1	150	2087	1	
302	14443	50硬手套·蓝	1	150	2087	1	
302	14444	50硬裤子·蓝	1	150	2087	1	
302	14445	50硬鞋子·蓝	1	150	2087	1	
302	14446	50软头盔·蓝	1	150	2087	1	
302	14447	50软胸甲·蓝	1	150	2087	1	
302	14448	50软手套·蓝	1	150	2087	1	
302	14449	50软裤子·蓝	1	150	2087	1	
302	14450	50软鞋子·蓝	1	150	2087	1	
302	14451	50级项链·蓝	1	150	2087	1	
302	14452	50物攻戒指·蓝	1	150	2087	1	
302	14453	50法攻戒指·蓝	1	150	2087	1	
302	14454	50物攻饰品·蓝	1	150	2087	1	
302	14455	50法攻饰品·蓝	1	150	2087	1	
302	15001	50级剑·紫	1	150	1210	1	
302	15002	50级短剑·紫	1	150	1210	1	
302	15003	50级法器·紫	1	150	1210	1	
302	15004	50级环·紫	1	150	1210	1	
302	15011	50头盔·紫·天剑	1	150	672	1	
302	15012	50胸甲·紫·天剑	1	150	672	1	
302	15013	50手套·紫·天剑	1	150	806	1	
302	15014	50裤子·紫·天剑	1	150	672	1	
302	15015	50鞋子·紫·天剑	1	150	806	1	
302	15021	50头盔·紫·墨家	1	150	672	1	
302	15022	50胸甲·紫·墨家	1	150	672	1	
302	15023	50手套·紫·墨家	1	150	806	1	
302	15024	50裤子·紫·墨家	1	150	672	1	
302	15025	50鞋子·紫·墨家	1	150	806	1	
302	15031	50头盔·紫·鬼谷	1	150	672	1	
302	15032	50胸甲·紫·鬼谷	1	150	672	1	
302	15033	50手套·紫·鬼谷	1	150	806	1	
302	15034	50裤子·紫·鬼谷	1	150	672	1	
302	15035	50鞋子·紫·鬼谷	1	150	806	1	
302	15041	50头盔·紫·七曜	1	150	672	1	
302	15042	50胸甲·紫·七曜	1	150	672	1	
302	15043	50手套·紫·七曜	1	150	806	1	
302	15044	50裤子·紫·七曜	1	150	672	1	
302	15045	50鞋子·紫·七曜	1	150	806	1	
302	15081	50物攻项链·紫	1	150	1075	1	
302	15082	50法攻项链·紫	1	150	1075	1	
302	15083	50物攻戒指·紫	1	150	672	1	
302	15084	50法攻戒指·紫	1	150	672	1	
302	15085	50物攻饰品·紫	1	150	1075	1	
302	15086	50法攻饰品·紫	1	150	1075	1	
302	16001	50级剑·橙	1	150	179	1	
302	16002	50级短剑·橙	1	150	179	1	
302	16003	50级法器·橙	1	150	179	1	
302	16004	50级环·橙	1	150	179	1	
302	16011	50头盔·橙·天剑	1	150	299	1	
302	16012	50胸甲·橙·天剑	1	150	299	1	
302	16013	50手套·橙·天剑	1	150	224	1	
302	16014	50裤子·橙·天剑	1	150	299	1	
302	16015	50鞋子·橙·天剑	1	150	224	1	
302	16021	50头盔·橙·墨家	1	150	299	1	
302	16022	50胸甲·橙·墨家	1	150	299	1	
302	16023	50手套·橙·墨家	1	150	224	1	
302	16024	50裤子·橙·墨家	1	150	299	1	
302	16025	50鞋子·橙·墨家	1	150	224	1	
302	16031	50头盔·橙·鬼谷	1	150	299	1	
302	16032	50胸甲·橙·鬼谷	1	150	299	1	
302	16033	50手套·橙·鬼谷	1	150	224	1	
302	16034	50裤子·橙·鬼谷	1	150	299	1	
302	16035	50鞋子·橙·鬼谷	1	150	224	1	
302	16041	50头盔·橙·七曜	1	150	299	1	
302	16042	50胸甲·橙·七曜	1	150	299	1	
302	16043	50手套·橙·七曜	1	150	224	1	
302	16044	50裤子·橙·七曜	1	150	299	1	
302	16045	50鞋子·橙·七曜	1	150	224	1	
302	16081	50物攻项链·橙	1	150	179	1	
302	16082	50法攻项链·橙	1	150	179	1	
302	16083	50物攻戒指·橙	1	150	90	1	
302	16084	50法攻戒指·橙	1	150	90	1	
302	16085	50物攻饰品·橙	1	150	179	1	
302	16086	50法攻饰品·橙	1	150	179	1	
303	18401	60级剑	1	150	1053	1	
303	18402	60级短剑	1	150	1053	1	
303	18403	60级法器	1	150	1053	1	
303	18404	60级环	1	150	1053	1	
303	18407	60级硬头盔	1	150	1053	1	
303	18408	60级硬胸甲	1	150	1053	1	
303	18409	60级硬手套	1	150	1053	1	
303	18410	60级硬裤子	1	150	1053	1	
303	18411	60级硬鞋子	1	150	1053	1	
303	18412	60级软头盔	1	150	1053	1	
303	18413	60级软胸甲	1	150	1053	1	
303	18414	60级软手套	1	150	1053	1	
303	18415	60级软裤子	1	150	1053	1	
303	18416	60级软鞋子	1	150	1053	1	
303	18417	60级项链	1	150	1053	1	
303	18418	60级物攻戒指	1	150	1053	1	
303	18419	60级法攻戒指	1	150	1053	1	
303	18420	60级物攻饰品	1	150	1053	1	
303	18421	60级法攻饰品	1	150	1053	1	
303	18431	60级剑·蓝	1	150	4609	1	
303	18432	60级短剑·蓝	1	150	4609	1	
303	18433	60级法器·蓝	1	150	4609	1	
303	18434	60级环·蓝	1	150	4609	1	
303	18441	60硬头盔·蓝	1	150	2304	1	
303	18442	60硬胸甲·蓝	1	150	2304	1	
303	18443	60硬手套·蓝	1	150	2304	1	
303	18444	60硬裤子·蓝	1	150	2304	1	
303	18445	60硬鞋子·蓝	1	150	2304	1	
303	18446	60软头盔·蓝	1	150	2304	1	
303	18447	60软胸甲·蓝	1	150	2304	1	
303	18448	60软手套·蓝	1	150	2304	1	
303	18449	60软裤子·蓝	1	150	2304	1	
303	18450	60软鞋子·蓝	1	150	2304	1	
303	18451	60级项链·蓝	1	150	2304	1	
303	18452	60物攻戒指·蓝	1	150	2304	1	
303	18453	60法攻戒指·蓝	1	150	2304	1	
303	18454	60物攻饰品·蓝	1	150	2304	1	
303	18455	60法攻饰品·蓝	1	150	2304	1	
303	20001	60级剑·紫	1	150	1079	1	
303	20002	60级短剑·紫	1	150	1079	1	
303	20003	60级法器·紫	1	150	1079	1	
303	20004	60级环·紫	1	150	1079	1	
303	20011	60头盔·紫·天剑	1	150	599	1	
303	20012	60胸甲·紫·天剑	1	150	599	1	
303	20013	60手套·紫·天剑	1	150	719	1	
303	20014	60裤子·紫·天剑	1	150	599	1	
303	20015	60鞋子·紫·天剑	1	150	719	1	
303	20021	60头盔·紫·墨家	1	150	599	1	
303	20022	60胸甲·紫·墨家	1	150	599	1	
303	20023	60手套·紫·墨家	1	150	719	1	
303	20024	60裤子·紫·墨家	1	150	599	1	
303	20025	60鞋子·紫·墨家	1	150	719	1	
303	20031	60头盔·紫·鬼谷	1	150	599	1	
303	20032	60胸甲·紫·鬼谷	1	150	599	1	
303	20033	60手套·紫·鬼谷	1	150	719	1	
303	20034	60裤子·紫·鬼谷	1	150	599	1	
303	20035	60鞋子·紫·鬼谷	1	150	719	1	
