id	名称	类型	子类型	品质	职业	对应绑定物品ID	对应不绑定物品ID	是否可使用	全部使用	不可丢弃	不可出售	售价-银贝	售价-金贝	售价-碧玉	关联商会道具ID	贵重物品	是否绑定	是否可寄售	获得后自动使用	获得后提示使用	使用等级	叠加数量	使用后冷却	合成ID	分解产物	道具耐久	触发事件	资质提升下限	资质提升上限	成长提升下限	成长提升上限	悟性提升	灵兽资质要求	使用次数限制	转化值下限	转化值上限	吟唱时间	奖励ID	灵兽技能	激活宠物	激活法宝	附魂ID	增加\n血量	获得状态	法宝潜修经验	激活称号ID	获得时装ID	增加时装期限	获得坐骑ID	增加坐骑期限	摇钱树id	摇钱树加速时间	宝图-点集	奖励生活经验	生活技能使用等级限制	图标	用途	描述	获取途径
1026	灵御石6阶	1	31	5	-1	1036		1			0		1944000		1021	1	0				1	99		1015																																equip_1013	功能：强化装备	#[Y3]晶莹剔透的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为16-18级#n的防具强化。	
1027	灵御石7阶	1	31	6	-1	1037		1			0		5832000		1021	1	0				1	99																																		equip_1014	功能：强化装备	#[Y3]璀璨的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为19-20级#n的防具强化。	
1031	灵御石1阶（绑）	1	31	3	-1		1021	1			1					1	1				1	99		1010																																equip_1008	功能：强化装备	#[Y3]未经淬炼的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为1-3级#n的防具强化。	
1032	灵御石2阶（绑）	1	31	4	-1		1022	1			1					1	1				1	99		1011																																equip_1009	功能：强化装备	#[Y3]朴素的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为4-6级#n的防具强化。	
1033	灵御石3阶（绑）	1	31	4	-1		1023	1			1					1	1				1	99		1012																																equip_1010	功能：强化装备	#[Y3]粗加工的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为7-9级#n的防具强化。	
1034	灵御石4阶（绑）	1	31	4	-1		1024	1			1					1	1				1	99		1013																																equip_1011	功能：强化装备	#[Y3]圆润的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为10-12级#n的防具强化。	
1035	灵御石5阶（绑）	1	31	5	-1		1025	1			1					1	1				1	99		1014																																equip_1012	功能：强化装备	#[Y3]闪耀的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为13-15级#n的防具强化。	
1036	灵御石6阶（绑）	1	31	5	-1		1026	1			1					1	1				1	99		1015																																equip_1013	功能：强化装备	#[Y3]晶莹剔透的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为16-18级#n的防具强化。	
1037	灵御石7阶（绑）	1	31	6	-1		1027	1			1					1	1				1	99																																		equip_1014	功能：强化装备	#[Y3]璀璨的黄色宝石。#n\n强化材料，用于提升防具强化等级。\n可用于#[G2]强化等级为19-20级#n的防具强化。	
1041	灵饰石1阶	1	31	3	-1	1051		1			0		16000		1041	1	0				1	99		1020																																equip_1015	功能：强化装备	#[Y3]未经淬炼的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为1-3级#n的首饰强化。	
1042	灵饰石2阶	1	31	4	-1	1052		1			0		48000		1041	1	0				1	99		1021																																equip_1016	功能：强化装备	#[Y3]朴素的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为4-6级#n的首饰强化。	
1043	灵饰石3阶	1	31	4	-1	1053		1			0		144000		1041	1	0				1	99		1022																																equip_1017	功能：强化装备	#[Y3]粗加工的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为7-9级#n的首饰强化。	
1044	灵饰石4阶	1	31	4	-1	1054		1			0		432000		1041	1	0				1	99		1023																																equip_1018	功能：强化装备	#[Y3]圆润的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为10-12级#n的首饰强化。	
1045	灵饰石5阶	1	31	5	-1	1055		1			0		1296000		1041	1	0				1	99		1024																																equip_1019	功能：强化装备	#[Y3]闪耀的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为13-15级#n的首饰强化。	
1046	灵饰石6阶	1	31	5	-1	1056		1			0		3888000		1041	1	0				1	99		1025																																equip_1020	功能：强化装备	#[Y3]晶莹剔透的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为16-18级#n的首饰强化。	
1047	灵饰石7阶	1	31	6	-1	1057		1			0		11664000		1041	1	0				1	99																																		equip_1021	功能：强化装备	#[Y3]璀璨的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为19-20级#n的首饰强化。	
1051	灵饰石1阶（绑）	1	31	3	-1		1041	1			1					1	1				1	99		1020																																equip_1015	功能：强化装备	#[Y3]未经淬炼的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为1-3级#n的首饰强化。	
1052	灵饰石2阶（绑）	1	31	4	-1		1042	1			1					1	1				1	99		1021																																equip_1016	功能：强化装备	#[Y3]朴素的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为4-6级#n的首饰强化。	
1053	灵饰石3阶（绑）	1	31	4	-1		1043	1			1					1	1				1	99		1022																																equip_1017	功能：强化装备	#[Y3]粗加工的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为7-9级#n的首饰强化。	
1054	灵饰石4阶（绑）	1	31	4	-1		1044	1			1					1	1				1	99		1023																																equip_1018	功能：强化装备	#[Y3]圆润的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为10-12级#n的首饰强化。	
1055	灵饰石5阶（绑）	1	31	5	-1		1045	1			1					1	1				1	99		1024																																equip_1019	功能：强化装备	#[Y3]闪耀的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为13-15级#n的首饰强化。	
1056	灵饰石6阶（绑）	1	31	5	-1		1046	1			1					1	1				1	99		1025																																equip_1020	功能：强化装备	#[Y3]晶莹剔透的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为16-18级#n的首饰强化。	
1057	灵饰石7阶（绑）	1	31	6	-1		1047	1			1					1	1				1	99																																		equip_1021	功能：强化装备	#[Y3]璀璨的蓝色宝石。#n\n强化材料，用于提升首饰强化等级。\n可用于#[G2]强化等级为19-20级#n的首饰强化。	
1101	重铸石（废弃）	1	0	2	-1						1						0				1	99																																		equip_1002	功能：重铸装备	装备重铸必备材料。	
1102	玄天石	1	33	3	-1	1112		1			0		1320		1102		0	1			1	99		1001																																e_chongzhu_B	功能：重铸装备	装备重铸材料，用于装备重铸，可通过分解紫色，金色品质的装备获得。	
1103	神龙铁	1	33	4	-1	1113		1			0		5320		1103		0	1			1	99		1001																																e_chongzhu_p	功能：重铸装备	装备重铸材料，用于#[Y3]红色#n品质的装备重铸，分解红色品质装备有一定几率获得。	
1104	（废弃）	1	0	5	-1	1114					1						0	1			1	99		1001																																e_chongzhu_y	功能：重铸装备	装备重铸材料，用于#[Y3]金色#n品质的装备重铸。	
1105	（废弃）	1	0	6	-1	1115					1						0	1			1	99																																		e_chongzhu_r	功能：重铸装备	装备重铸材料，用于#[Y3]红色#n品质的装备重铸。	
1112	玄天石（绑）	1	33	3	-1		1102	1			1						1				1	99																																		e_chongzhu_B	功能：重铸装备	装备重铸材料，用于装备重铸。	
1113	神龙铁（绑）	1	33	4	-1		1103	1			1						1				1	99																																		e_chongzhu_p	功能：重铸装备	装备重铸材料，用于#[Y3]红色#n品质的装备重铸。	
1114	（废弃）	1	0	5	-1						1						1				1	99																																		e_chongzhu_y	功能：重铸装备	装备重铸材料，用于#[Y3]金色#n品质的装备重铸。	
1115	（废弃）	1	0	6	-1						1						1				1	99																																		e_chongzhu_r	功能：重铸装备	装备重铸材料，用于#[Y3]红色#n品质的装备重铸。	
1151	百炼灵石	1	34	3	-1	1161		1			1						0	1			1	999																																		e_linglian_wuqi	功能：凝炼装备	装备凝练材料，用于#[Y3]装备#n的凝练。	
1152	百炼之御（废弃）	1	0	5	-1	1162					1						0	1			1	999																																		e_linglian_fangju	功能：凝炼装备	装备凝练材料，用于#[Y3]防具#n的凝练。	
1153	百炼之饰（废弃）	1	0	5	-1	1163					1						0	1			1	999																																		e_linglian_shipin	功能：凝炼装备	装备凝练材料，用于#[Y3]首饰#n的凝练。	
1161	百炼灵石（绑）	1	34	5	-1		1151	1			1						1				1	999																																		e_linglian_wuqi	功能：凝炼装备	装备凝练材料，用于#[Y3]武器#n的凝练。	
1162	百炼之御（废弃）	1	0	5	-1						1						1				1	999																																		e_linglian_fangju	功能：凝炼装备	装备凝练材料，用于#[Y3]防具#n的凝练。	
1163	百炼之饰（废弃）	1	0	5	-1						1						1				1	999																																		e_linglian_shipin	功能：凝炼装备	装备凝练材料，用于#[Y3]首饰#n的凝练。	
1201	铁石	1	35	4	-1			1			1						0				1	99																																		e_shengji_tieshi	功能：升级装备	装备升级材料，会被大量使用。	
1202	凤凰石	1	35	5	-1			1			1						0				1	99																																		e_shengji_fenghuang	功能：升级装备	高品质装备升级必备材料。	
1301	月白石	1	32	3	-1	1311		1			0			12			0				1	99																																		e_lianhua_sanse	功能：炼化装备	装备炼化材料，用于低级炼化。	
1302	天青石	1	32	4	-1	1312		1			0			47			0				1	99																																		e_lianhua_liuse	功能：炼化装备	装备炼化材料，用于中级炼化。	
1303	日华石	1	32	5	-1	1313		1			1						0	1			1	99																																		e_lianhua_jiuse	功能：炼化装备	装备炼化材料，用于高级炼化。	
1304	万象石	1	32	6	-1	1314		1			1						0	1			1	99																																		e_lianhua_jiuse	功能：炼化装备	装备炼化材料，用于顶级炼化。	
1311	月白石（绑）	1	32	3	-1		1301	1			1						1				1	99																																		e_lianhua_sanse	功能：炼化装备	装备炼化材料，用于低级炼化。	
1312	天青石（绑）	1	32	4	-1		1302	1			1						1				1	99																																		e_lianhua_liuse	功能：炼化装备	装备炼化材料，用于中级炼化。	
1313	日光石（绑）	1	32	5	-1		1303	1			1						1				1	99																																		e_lianhua_jiuse	功能：炼化装备	装备炼化材料，用于高级炼化。	
1314	万象石（绑）	1	32	6	-1		1304	1			1						1				1	99																																		e_lianhua_jiuse	功能：炼化装备	装备炼化材料，用于顶级炼化。	
1401	归元符	1	23	3	-1	1411		1			1						0				1	99																																		equip_1008	功能：洗炼灵兽	灵兽洗炼材料，用于重置普通灵兽的属性。\n有较小概率将普通灵兽重置为变异灵兽。	
1402	归元符•变异	1	23	4	-1	1412		1			1						0	1			1	99																																		equip_1010	功能：洗炼灵兽	灵兽洗炼材料，用于重置变异灵兽的属性。	
1403	归元符•神兽	1	23	6	-1	1413		1			1						0	1			1	99																																		equip_1011	功能：洗炼灵兽	灵兽洗炼材料，用于重置珍兽或灵兽的属性。	
1411	归元符（绑）	1	23	3	-1		1401	1			1						1				1	99																																		equip_1008	功能：洗炼灵兽	灵兽洗炼材料，用于重置普通灵兽的属性。\n有较小概率将普通灵兽重置为变异灵兽。	
1412	归元符•变异（绑）	1	23	4	-1		1402	1			1						1				1	99																																		equip_1010	功能：洗炼灵兽	灵兽洗炼材料，用于重置变异灵兽的属性。	
1413	归元符•神兽（绑）	1	23	6	-1		1403	1			1						1				1	99																																		equip_1011	功能：洗炼灵兽	灵兽洗炼材料，用于重置珍兽或灵兽的属性。	
1421	灵兽易经丸	1	26	3	-1			1			1						0	1			1	99													900	1500																				equip_1019	功能：灵兽融会	灵兽融会材料，用于洗炼灵兽的融会度。	
1422	中级灵兽易经丸	1	26	4	-1			1			1						0	1			1	99													1200	2000																				equip_1020	功能：灵兽融会	灵兽融会材料，用于洗炼灵兽的融会度。	
1423	高级灵兽易经丸	1	26	5	-1			1			1						0	1			1	99													1800	3000																				equip_1021	功能：灵兽融会	灵兽融会材料，用于洗炼灵兽的融会度。	
1441	益血散	1	21	4	-1			1			1						0				1	99																1441																		item_pet_addExp1	功能：增加灵兽经验	使用后，对应灵兽获得#[G2]150000点#n经验。	
1442	十邪散	1	21	3	-1			1			1						0	1			1	99																1442																		item_pet_addExp2	功能：增加灵兽经验	使用后，对应灵兽获得#[G2]12000点#n经验。	
1443	百邪散	1	21	4	-1			1			1						0	1			1	99																1443																		item_pet_addExp3	功能：增加灵兽经验	使用后，对应灵兽获得#[G2]60000点#n经验。	
1444	万灵散	1	21	4	-1			1			1						0	1			1	99																1444																		item_pet_addExp4	功能：增加灵兽经验	使用后，对应灵兽获得#[G2]120000点#n经验。	
1445	养魂散	1	21	4	-1			1			1						0	1			1	99																1445																		item_pet_addExp5	功能：增加灵兽经验	使用后，对应灵兽获得#[G2]200000点#n经验。	
1451	资质丹	1	24	3	-1	1453		1			1						0	1			1	99						5	10				0;1100																							item_pet_addZizhi1	功能：提高灵兽资质	灵兽资质提升材料，使用后可提升资质，最高可提升至1100。	
1452	资质丹•极	1	24	4	-1	1454		1			1						0	1			1	99						5	10				1150;0	30																						item_pet_addZizhi1	功能：提高灵兽资质	灵兽资质提升材料，使用后可提升资质。\n只有高于1150资质的灵兽可以使用，每只灵兽最多使用#[Y3]30次#n。	
1453	资质丹（绑）	1	24	3	-1		1451	1			1						1				1	99						5	10				0;1100																							item_pet_addZizhi1	功能：提高灵兽资质	灵兽资质提升材料，使用后可提升资质，最高可提升至1100。	
1454	资质丹•极（绑）	1	24	4	-1		1452	1			1						1				1	99						5	10				1150;0	30																						item_pet_addZizhi1	功能：提高灵兽资质	灵兽资质提升材料，使用后可提升资质。\n只有高于1150资质的灵兽可以使用，每只灵兽最多使用#[Y3]30次#n。	
1460	紫竹仙露	1	24	5	-1	1461		1			1						0	1			1	99								0.001	0.005			10																						equip_1019	功能：提高灵兽成长	用于提高灵兽的成长，每次随机提升0.01-0.05点，每个灵兽最多使用10次。	
1461	紫竹仙露（绑）	1	24	5	-1		1460	1			1						0	1			1	99								0.001	0.005			10																						equip_1019	功能：提高灵兽成长	用于提高灵兽的成长，每次随机提升0.01-0.05点，每个灵兽最多使用10次。	
1462	先天灵根	1	24	5	-1	1463		1			1							1			1	99										1:35,2:35,3:20,4:9,5:1																								equip_1019	功能：提高灵兽悟性	传说中生长于月桂树，夺天地之造化的稀世珍宝，可以提升灵兽悟性，令灵兽资质大幅提升，脱凡入仙。	
1463	先天灵根（绑）	1	24	5	-1		1462	1			1						1				1	99										1:35,2:35,3:20,4:9,5:1																								equip_1019	功能：提高灵兽悟性	传说中生长于月桂树，夺天地之造化的稀世珍宝，可以提升灵兽悟性，令灵兽资质大幅提升，脱凡入仙。	
1470	斗转星移	1	25	5	-1			1			1						1				1	99																																		equip_1019	功能：重置灵兽性格	使用后可以重置灵兽的性格。	
1471	返本还源	1	29	4				1			1						1				1	50																																		equip_1019	功能：重置灵兽属性	使用后可以重置灵兽的所有属性	
1475	元神碎片	1	0	6		1476		1			1						0	1			1	99																																		equip_1019	功能：兑换灵兽	收集20个后，可以合成召唤一只随机神兽	
1476	元神碎片（绑）	1	0	6			1475	1			1						1				1	99																																		equip_1019	功能：兑换灵兽	收集20个后，可以合成召唤一只随机神兽	
1477	神兽元神	1	22	6				1			1						1				1	50																																		equip_1019	功能：召唤灵兽	使用后，可以随机召唤一只神兽	
1481	唤灵匙	1	28	4	-1			1			1						1				1	99																																		equip_1008	功能：开启灵兽槽位	天书世界中的神奇钥匙，可以用于开启灵兽槽位。	
1482	灵澈露	1	27	4	-1			1			1						1				1	99																																		equip_1019	功能：锁定灵兽技能	可令灵兽牢牢记住所学技能，不会轻易忘记的神奇玉露。	
1485	普通技能书宝箱	1	0	3				1	1		1						1			1		50																1485																		equip_1019	功能：普通技能书箱	灵兽普通技能书宝箱，打开后可随机获得一本灵兽普通技能书。	
