id	名称	类型	子类型	装备子类型	检索值	品质	使用等级	装备等级	职业	图标	叠加数量	是否绑定	绑定类型	不可出售	出售价格	耐久度	装备生成类型	分解产物	是否可以重铸	重铸材料1	重铸材料2	重铸银贝数量	是否可以洗炼	凝炼材料1	凝炼材料2	凝炼银贝数量	是否可炼化	物理攻击	法术攻击	物理防御	法术防御	生命值	治疗强度	暴击等级	命中等级	物理穿透等级	法术穿透等级	回避等级	招架等级	暴击防御等级	移动速度加成	基础属性随机范围	定制属性库id	定制属性随机范围	随机属性库id	随机属性条目	随机属性等级	随机属性范围	特效库1id	特效库1几率	特效库2id	特效库2几率	特技1id	特技1几率	特技2id	特技2几率	强化值	觉醒值	觉醒材料	觉醒属性加成	描述	获取途径
11003	草铃	4	1	3	13	1	1	1	3	guigu1	1				525														29				26									1,1															2					
11004	1级白色环	4	1	4	14	1	1	1	4		1				525														38													1,1															2					
11005	1级白色弓	4	1	5	15	1	1	1	5		1				525													29														1,1															2					
11006	1级白色枪	4	1	6	16	1	1	1	6		1				525													29														1,1															2					
11011	硬皮盔	4	2	8	28	1	1	1	1,2	hard_tou1	1				525															10												1,1															2					
11012	硬皮甲	4	3	8	38	1	1	1	1,2	hard_xiong1	1				525															13	6											1,1															2					
11013	硬皮裤	4	5	8	58	1	1	1	1,2	hard_ku1	1				525															9	6											1,1															2					
11016	软皮盔	4	2	9	29	1	1	1	3,4	soft_tou1	1				525															6												1,1															2					
11017	软皮甲	4	3	9	39	1	1	1	3,4	soft_xiong1	1				525															6	13											1,1															2					
11018	软皮裤	4	5	9	59	1	1	1	3,4	soft_ku1	1				525															5	13											1,1															2					
11101	钢剑（紫色）	4	1	1	11	4	10	10	1	tianjian1	1			1				27191										64							5							1,1	11101	0.75,0.75				0.47,0.63									3					
11102	短剑（紫色）	4	1	2	12	4	10	10	2	mojia1	1			1				27191										82						5								1,1	11102	0.75,0.75				0.47,0.63									3					
11103	银铃（紫色）	4	1	3	13	4	10	10	3	guigu1	1			1				27191											71				64		5							1,1	11103	0.75,0.75				0.47,0.63									3					
11104	10级环（紫色）	4	1	4	14	4	10	10	4		1			1				27191											92					5								1,1	11104	0.75,0.75				0.47,0.63									3					
11105	10级弓（紫色）	4	1	5	15	4	10	10	5		1			1				27191										71								5						1,1	11105	0.75,0.75				0.47,0.63									3					
11106	10级枪（紫色）	4	1	6	16	4	10	10	6		1			1				27191										71								5						1,1	11106	0.75,0.75				0.47,0.63									3					
11121	10级钢盔	4	2	8	28	2	10	10	1,2	hard_tou1	1				714															23												1,1															3					
11122	10级硬胸甲	4	3	8	38	2	10	10	1,2	hard_xiong1	1				714															29	13											1,1															3					
11123	10级硬手套	4	4	8	48	2	10	10	1,2	hard_hand1	1				714															20												1,1															3					
11124	10级硬裤子	4	5	8	58	2	10	10	1,2	hard_ku1	1				714															20	13											1,1															3					
11125	10级硬鞋子	4	6	8	68	2	10	10	1,2	hard_xie1	1				714																13											1,1															3					
11126	10级软头盔	4	2	9	29	2	10	10	3,4	soft_tou1	1				714															13												1,1															3					
11127	10级软胸甲	4	3	9	39	2	10	10	3,4	soft_xiong1	1				714															13	29											1,1															3					
11128	10级软手套	4	4	9	49	2	10	10	3,4	soft_hand1	1				714															10												1,1															3					
11129	10级软裤子	4	5	9	59	2	10	10	3,4	soft_ku1	1				714															10	29											1,1															3					
11130	10级软鞋子	4	6	9	69	2	10	10	3,4	soft_xie1	1				714																20											1,1															3					
11131	10级项链	4	7	0	70	2	10	10	-1	xianglian1	1				714																	77										1,1															3					
11132	10级物攻戒指	4	8	1	81	2	10	10	-1	ring1	1				714													9														1,1															3					
11133	10级法攻戒指	4	8	2	82	2	10	10	-1	ring1	1				714														9													1,1															3					
11134	10级物攻饰品	4	9	1	91	2	10	10	-1	shipin1	1				714																	77										1,1															3					
11135	10级法攻饰品	4	9	2	92	2	10	10	-1	shipin1	1				714																	77										1,1															3					
11151	10级剑·蓝	4	1	1	11	3	10	10	1	tianjian1	1							27181	1	1102|1		20000	1	1151|1		30000		51							2							0.85,1.15			11	0:30,1:45,2:20	10	0.43,0.58									3					
11152	10级短剑·蓝	4	1	2	12	3	10	10	2	mojia1	1							27181	1	1102|1		20000	1	1151|1		30000		65						2								0.85,1.15			12	0:30,1:45,2:20	10	0.43,0.58									3					
11153	10级法器·蓝	4	1	3	13	3	10	10	3	guigu1	1							27181	1	1102|1		20000	1	1151|1		30000			57				51		2							0.85,1.15			13	0:30,1:45,2:20	10	0.43,0.58									3					
11154	10级环·蓝	4	1	4	14	3	10	10	4		1							27181	1	1102|1		20000	1	1151|1		30000			73					2								0.85,1.15			14	0:30,1:45,2:20	10	0.43,0.58									3					
11155	10级弓·蓝	4	1	5	15	3	10	10	5		1							27181	1	1102|1		20000	1	1151|1		30000		57								2						0.85,1.15			15	0:30,1:45,2:20	10	0.43,0.58									3					
11156	10级枪·蓝	4	1	6	16	3	10	10	6		1							27181	1	1102|1		20000	1	1151|1		30000		57								2						0.85,1.15			16	0:30,1:45,2:20	10	0.43,0.58									3					
11161	10硬头盔·蓝	4	2	8	28	3	10	10	1,2	hard_tou1	1							27181	1	1102|1		20000	1	1151|1		30000				28										2		0.85,1.15			17	0:30,1:45,2:20	10	0.43,0.58									3					
11162	10硬胸甲·蓝	4	3	8	38	3	10	10	1,2	hard_xiong1	1							27181	1	1102|1		20000	1	1151|1		30000				36	16								2			0.85,1.15			17	0:30,1:45,2:20	10	0.43,0.58									3					
11163	10硬手套·蓝	4	4	8	48	3	10	10	1,2	hard_hand1	1							27181	1	1102|1		20000	1	1151|1		30000				24									2			0.85,1.15			17	0:30,1:45,2:20	10	0.43,0.58									3					
11164	10硬裤子·蓝	4	5	8	58	3	10	10	1,2	hard_ku1	1							27181	1	1102|1		20000	1	1151|1		30000				24	16									2		0.85,1.15			17	0:30,1:45,2:20	10	0.43,0.58									3					
11165	10硬鞋子·蓝	4	6	8	68	3	10	10	1,2	hard_xie1	1							27181	1	1102|1		20000	1	1151|1		30000					16										1	0.85,1.15			17	0:30,1:45,2:20	10	0.43,0.58									3					
11166	10软头盔·蓝	4	2	9	29	3	10	10	3,4	soft_tou1	1							27181	1	1102|1		20000	1	1151|1		30000				16										2		0.85,1.15			18	0:30,1:45,2:20	10	0.43,0.58									3					
11167	10软胸甲·蓝	4	3	9	39	3	10	10	3,4	soft_xiong1	1							27181	1	1102|1		20000	1	1151|1		30000				16	36								2			0.85,1.15			18	0:30,1:45,2:20	10	0.43,0.58									3					
11168	10软手套·蓝	4	4	9	49	3	10	10	3,4	soft_hand1	1							27181	1	1102|1		20000	1	1151|1		30000				12									2			0.85,1.15			18	0:30,1:45,2:20	10	0.43,0.58									3					
11169	10软裤子·蓝	4	5	9	59	3	10	10	3,4	soft_ku1	1							27181	1	1102|1		20000	1	1151|1		30000				12	36									2		0.85,1.15			18	0:30,1:45,2:20	10	0.43,0.58									3					
11170	10软鞋子·蓝	4	6	9	69	3	10	10	3,4	soft_xie1	1							27181	1	1102|1		20000	1	1151|1		30000					24										1	0.85,1.15			18	0:30,1:45,2:20	10	0.43,0.58									3					
11171	10级项链·蓝	4	7	0	70	3	10	10	-1	xianglian1	1							27181	1	1102|1		20000	1	1151|1		30000						94		2								0.85,1.15			27	0:30,1:45,2:20	10	0.43,0.58									3					
11172	10物攻戒指·蓝	4	8	1	81	3	10	10	-1	ring1	1							27181	1	1102|1		20000	1	1151|1		30000		10							2							0.85,1.15			28	0:30,1:45,2:20	10	0.43,0.58									3					
11173	10法攻戒指·蓝	4	8	2	82	3	10	10	-1	ring1	1							27181	1	1102|1		20000	1	1151|1		30000			10						2							0.85,1.15			29	0:30,1:45,2:20	10	0.43,0.58									3					
11174	10物攻饰品·蓝	4	9	1	91	3	10	10	-1	shipin1	1							27181	1	1102|1		20000	1	1151|1		30000						94				2						0.85,1.15			30	0:30,1:45,2:20	10	0.43,0.58									3					
11175	10法攻饰品·蓝	4	9	2	92	3	10	10	-1	shipin1	1							27181	1	1102|1		20000	1	1151|1		30000						94					2					0.85,1.15			31	0:30,1:45,2:20	10	0.43,0.58									3					
11221	20级硬头盔	4	2	8	28	2	20	20	1,2	hard_tou1	1				924															36												0.85,1.15															2					
11222	20级硬胸甲	4	3	8	38	2	20	20	1,2	hard_xiong1	1				924															46	21											0.85,1.15															2					
11223	20级硬手套	4	4	8	48	2	20	20	1,2	hard_hand1	1				924															31												0.85,1.15															2					
11224	20级硬裤子	4	5	8	58	2	20	20	1,2	hard_ku1	1				924															31	21											0.85,1.15															2					
11225	20级硬鞋子	4	6	8	68	2	20	20	1,2	hard_xie1	1				924																21											0.85,1.15															2					
11226	20级软头盔	4	2	9	29	2	20	20	3,4	soft_tou1	1				924															21												0.85,1.15															2					
11227	20级软胸甲	4	3	9	39	2	20	20	3,4	soft_xiong1	1				924															21	46											0.85,1.15															2					
11228	20级软手套	4	4	9	49	2	20	20	3,4	soft_hand1	1				924															16												0.85,1.15															2					
11229	20级软裤子	4	5	9	59	2	20	20	3,4	soft_ku1	1				924															16	46											0.85,1.15															2					
11230	20级软鞋子	4	6	9	69	2	20	20	3,4	soft_xie1	1				924																31											0.85,1.15															2					
11231	20级项链	4	7	0	70	2	20	20	-1	xianglian1	1				924																	122										0.85,1.15															2					
11232	20级物攻戒指	4	8	1	81	2	20	20	-1	ring1	1				924													11														0.85,1.15															2					
11233	20级法攻戒指	4	8	2	82	2	20	20	-1	ring1	1				924														11													0.85,1.15															2					
11234	20级物攻饰品	4	9	1	91	2	20	20	-1	shipin1	1				924																	122										0.85,1.15															2					
11235	20级法攻饰品	4	9	2	92	2	20	20	-1	shipin1	1				924																	122										0.85,1.15															2					
11251	20级剑·蓝	4	1	1	11	3	20	20	1	tianjian1	1							27182	1	1102|1		20000	1	1151|1		30000		69							3							0.85,1.15			11	0:30,1:45,2:20	20	0.43,0.58									4					
11252	20级短剑·蓝	4	1	2	12	3	20	20	2	mojia1	1							27182	1	1102|1		20000	1	1151|1		30000		87						2								0.85,1.15			12	0:30,1:45,2:20	20	0.43,0.58									4					
11253	20级法器·蓝	4	1	3	13	3	20	20	3	guigu1	1							27182	1	1102|1		20000	1	1151|1		30000			76				68		3							0.85,1.15			13	0:30,1:45,2:20	20	0.43,0.58									4					
11254	20级环·蓝	4	1	4	14	3	20	20	4		1							27182	1	1102|1		20000	1	1151|1		30000			99					3								0.85,1.15			14	0:30,1:45,2:20	20	0.43,0.58									4					
11255	20级弓·蓝	4	1	5	15	3	20	20	5		1							27182	1	1102|1		20000	1	1151|1		30000		76								2						0.85,1.15			15	0:30,1:45,2:20	20	0.43,0.58									4					
11256	20级枪·蓝	4	1	6	16	3	20	20	6		1							27182	1	1102|1		20000	1	1151|1		30000		76								2						0.85,1.15			16	0:30,1:45,2:20	20	0.43,0.58									4					
11261	20硬头盔·蓝	4	2	8	28	3	20	20	1,2	hard_tou1	1							27182	1	1102|1		20000	1	1151|1		30000				44										2		0.85,1.15			17	0:30,1:45,2:20	20	0.43,0.58									4					
11262	20硬胸甲·蓝	4	3	8	38	3	20	20	1,2	hard_xiong1	1							27182	1	1102|1		20000	1	1151|1		30000				56	25								2			0.85,1.15			17	0:30,1:45,2:20	20	0.43,0.58									4					
11263	20硬手套·蓝	4	4	8	48	3	20	20	1,2	hard_hand1	1							27182	1	1102|1		20000	1	1151|1		30000				38									2			0.85,1.15			17	0:30,1:45,2:20	20	0.43,0.58									4					
11264	20硬裤子·蓝	4	5	8	58	3	20	20	1,2	hard_ku1	1							27182	1	1102|1		20000	1	1151|1		30000				38	25									2		0.85,1.15			17	0:30,1:45,2:20	20	0.43,0.58									4					
11265	20硬鞋子·蓝	4	6	8	68	3	20	20	1,2	hard_xie1	1							27182	1	1102|1		20000	1	1151|1		30000					25										1	0.85,1.15			17	0:30,1:45,2:20	20	0.43,0.58									4					
11266	20软头盔·蓝	4	2	9	29	3	20	20	3,4	soft_tou1	1							27182	1	1102|1		20000	1	1151|1		30000				25										2		0.85,1.15			18	0:30,1:45,2:20	20	0.43,0.58									4					
11267	20软胸甲·蓝	4	3	9	39	3	20	20	3,4	soft_xiong1	1							27182	1	1102|1		20000	1	1151|1		30000				25	56								2			0.85,1.15			18	0:30,1:45,2:20	20	0.43,0.58									4					
11268	20软手套·蓝	4	4	9	49	3	20	20	3,4	soft_hand1	1							27182	1	1102|1		20000	1	1151|1		30000				19									2			0.85,1.15			18	0:30,1:45,2:20	20	0.43,0.58									4					
11269	20软裤子·蓝	4	5	9	59	3	20	20	3,4	soft_ku1	1							27182	1	1102|1		20000	1	1151|1		30000				19	56									2		0.85,1.15			18	0:30,1:45,2:20	20	0.43,0.58									4					
11270	20软鞋子·蓝	4	6	9	69	3	20	20	3,4	soft_xie1	1							27182	1	1102|1		20000	1	1151|1		30000					38										1	0.85,1.15			18	0:30,1:45,2:20	20	0.43,0.58									4					
11271	20级项链·蓝	4	7	0	70	3	20	20	-1	xianglian1	1							27182	1	1102|1		20000	1	1151|1		30000						149		2								0.85,1.15			27	0:30,1:45,2:20	20	0.43,0.58									4					
11272	20物攻戒指·蓝	4	8	1	81	3	20	20	-1	ring1	1							27182	1	1102|1		20000	1	1151|1		30000		14							2							0.85,1.15			28	0:30,1:45,2:20	20	0.43,0.58									4					
11273	20法攻戒指·蓝	4	8	2	82	3	20	20	-1	ring1	1							27182	1	1102|1		20000	1	1151|1		30000			14						2							0.85,1.15			29	0:30,1:45,2:20	20	0.43,0.58									4					
11274	20物攻饰品·蓝	4	9	1	91	3	20	20	-1	shipin1	1							27182	1	1102|1		20000	1	1151|1		30000						149				2						0.85,1.15			30	0:30,1:45,2:20	20	0.43,0.58									4					
11275	20法攻饰品·蓝	4	9	2	92	3	20	20	-1	shipin1	1							27182	1	1102|1		20000	1	1151|1		30000						149					2					0.85,1.15			31	0:30,1:45,2:20	20	0.43,0.58									4					
11301	30级剑	4	1	1	11	2	30	30	1	tianjian1	1				1134													85														0.85,1.15															4					
11302	30级短剑	4	1	2	12	2	30	30	2	mojia1	1				1134													109														0.85,1.15															4					
11303	30级法器	4	1	3	13	2	30	30	3	guigu1	1				1134														95				86									0.85,1.15															4					
11304	30级环	4	1	4	14	2	30	30	4		1				1134														123													0.85,1.15															4					
11305	30级弓	4	1	5	15	2	30	30	5		1				1134													95														0.85,1.15															4					
11306	30级枪	4	1	6	16	2	30	30	6		1				1134													95														0.85,1.15															4					
11311	30级硬头盔	4	2	8	28	2	30	30	1,2	hard_tou1	1				1134															62												0.85,1.15															4					
11312	30级硬胸甲	4	3	8	38	2	30	30	1,2	hard_xiong1	1				1134															80	36											0.85,1.15															4					
11313	30级硬手套	4	4	8	48	2	30	30	1,2	hard_hand1	1				1134															54												0.85,1.15															4					
11314	30级硬裤子	4	5	8	58	2	30	30	1,2	hard_ku1	1				1134															54	36											0.85,1.15															4					
11315	30级硬鞋子	4	6	8	68	2	30	30	1,2	hard_xie1	1				1134																36											0.85,1.15															4					
11316	30级软头盔	4	2	9	29	2	30	30	3,4	soft_tou1	1				1134															36												0.85,1.15															4					
11317	30级软胸甲	4	3	9	39	2	30	30	3,4	soft_xiong1	1				1134															36	80											0.85,1.15															4					
11318	30级软手套	4	4	9	49	2	30	30	3,4	soft_hand1	1				1134															27												0.85,1.15															4					
11319	30级软裤子	4	5	9	59	2	30	30	3,4	soft_ku1	1				1134															27	80											0.85,1.15															4					
11320	30级软鞋子	4	6	9	69	2	30	30	3,4	soft_xie1	1				1134																54											0.85,1.15															4					
11321	30级项链	4	7	0	70	2	30	30	-1	xianglian1	1				1134																	212										0.85,1.15															4					
11322	30级物攻戒指	4	8	1	81	2	30	30	-1	ring1	1				1134													17														0.85,1.15															4					
11323	30级法攻戒指	4	8	2	82	2	30	30	-1	ring1	1				1134														17													0.85,1.15															4					
11324	30级物攻饰品	4	9	1	91	2	30	30	-1	shipin1	1				1134																	212										0.85,1.15															4					
11325	30级法攻饰品	4	9	2	92	2	30	30	-1	shipin1	1				1134																	212										0.85,1.15															4					
11331	30级剑·蓝	4	1	1	11	3	30	30	1	tianjian1	1							27183	1	1102|1		20000	1	1151|1		30000	1	105							4							0.85,1.15			11	1:75,2:20,3:5	30	0.43,0.58									4					
11332	30级短剑·蓝	4	1	2	12	3	30	30	2	mojia1	1							27183	1	1102|1		20000	1	1151|1		30000	1	133						4								0.85,1.15			12	1:75,2:20,3:5	30	0.43,0.58									4					
11333	30级法器·蓝	4	1	3	13	3	30	30	3	guigu1	1							27183	1	1102|1		20000	1	1151|1		30000	1		116				104		4							0.85,1.15			13	1:75,2:20,3:5	30	0.43,0.58									4					
11334	30级环·蓝	4	1	4	14	3	30	30	4		1							27183	1	1102|1		20000	1	1151|1		30000	1		151					4								0.85,1.15			14	1:75,2:20,3:5	30	0.43,0.58									4					
11335	30级弓·蓝	4	1	5	15	3	30	30	5		1							27183	1	1102|1		20000	1	1151|1		30000	1	116								4						0.85,1.15			15	1:75,2:20,3:5	30	0.43,0.58									4					
11336	30级枪·蓝	4	1	6	16	3	30	30	6		1							27183	1	1102|1		20000	1	1151|1		30000	1	116								4						0.85,1.15			16	1:75,2:20,3:5	30	0.43,0.58									4					
11341	30硬头盔·蓝	4	2	8	28	3	30	30	1,2	hard_tou1	1							27183	1	1102|1		20000	1	1151|1		30000	1			76										3		0.85,1.15			17	1:75,2:20,3:5	30	0.43,0.58									4					
11342	30硬胸甲·蓝	4	3	8	38	3	30	30	1,2	hard_xiong1	1							27183	1	1102|1		20000	1	1151|1		30000	1			98	44								4			0.85,1.15			17	1:75,2:20,3:5	30	0.43,0.58									4					
11343	30硬手套·蓝	4	4	8	48	3	30	30	1,2	hard_hand1	1							27183	1	1102|1		20000	1	1151|1		30000	1			66									4			0.85,1.15			17	1:75,2:20,3:5	30	0.43,0.58									4					
11344	30硬裤子·蓝	4	5	8	58	3	30	30	1,2	hard_ku1	1							27183	1	1102|1		20000	1	1151|1		30000	1			66	44									3		0.85,1.15			17	1:75,2:20,3:5	30	0.43,0.58									4					
11345	30硬鞋子·蓝	4	6	8	68	3	30	30	1,2	hard_xie1	1							27183	1	1102|1		20000	1	1151|1		30000	1				44										1	0.85,1.15			17	1:75,2:20,3:5	30	0.43,0.58									4					
11346	30软头盔·蓝	4	2	9	29	3	30	30	3,4	soft_tou1	1							27183	1	1102|1		20000	1	1151|1		30000	1			44										3		0.85,1.15			18	1:75,2:20,3:5	30	0.43,0.58									4					
11347	30软胸甲·蓝	4	3	9	39	3	30	30	3,4	soft_xiong1	1							27183	1	1102|1		20000	1	1151|1		30000	1			44	98								4			0.85,1.15			18	1:75,2:20,3:5	30	0.43,0.58									4					
11348	30软手套·蓝	4	4	9	49	3	30	30	3,4	soft_hand1	1							27183	1	1102|1		20000	1	1151|1		30000	1			33									4			0.85,1.15			18	1:75,2:20,3:5	30	0.43,0.58									4					
11349	30软裤子·蓝	4	5	9	59	3	30	30	3,4	soft_ku1	1							27183	1	1102|1		20000	1	1151|1		30000	1			33	98									3		0.85,1.15			18	1:75,2:20,3:5	30	0.43,0.58									4					
11350	30软鞋子·蓝	4	6	9	69	3	30	30	3,4	soft_xie1	1							27183	1	1102|1		20000	1	1151|1		30000	1				66										1	0.85,1.15			18	1:75,2:20,3:5	30	0.43,0.58									4					
11351	30级项链·蓝	4	7	0	70	3	30	30	-1	xianglian1	1							27183	1	1102|1		20000	1	1151|1		30000	1					259		3								0.85,1.15			27	1:75,2:20,3:5	30	0.43,0.58									4					
11352	30物攻戒指·蓝	4	8	1	81	3	30	30	-1	ring1	1							27183	1	1102|1		20000	1	1151|1		30000	1	21							3							0.85,1.15			28	1:75,2:20,3:5	30	0.43,0.58									4					
11353	30法攻戒指·蓝	4	8	2	82	3	30	30	-1	ring1	1							27183	1	1102|1		20000	1	1151|1		30000	1		21						3							0.85,1.15			29	1:75,2:20,3:5	30	0.43,0.58									4					
11354	30物攻饰品·蓝	4	9	1	91	3	30	30	-1	shipin1	1							27183	1	1102|1		20000	1	1151|1		30000	1					259				4						0.85,1.15			30	1:75,2:20,3:5	30	0.43,0.58									4					
11355	30法攻饰品·蓝	4	9	2	92	3	30	30	-1	shipin1	1							27183	1	1102|1		20000	1	1151|1		30000	1					259					4					0.85,1.15			31	1:75,2:20,3:5	30	0.43,0.58									4					
11361	35级剑·紫	4	1	1	11	4	35	35	1	tianjian1	1							27191										153							16							1,1	11361	0.75,0.75													6					
11362	35级短剑·紫	4	1	2	12	4	35	35	2	mojia1	1							27191										195						14								1,1	11362	0.75,0.75													6					
11363	35级法器·紫	4	1	3	13	4	35	35	3	guigu1	1							27191											170				153		16							1,1	11363	0.75,0.75													6					
11364	35级环·紫	4	1	4	14	4	35	35	4		1							27191											220					16								1,1	11364	0.75,0.75													6					
11365	35级弓·紫	4	1	5	15	4	35	35	5		1							27191										170								14						1,1	11365	0.75,0.75													6					
11366	35级枪·紫	4	1	6	16	4	35	35	6		1							27191										170								14						1,1	11366	0.75,0.75													6					
11401	40级剑	4	1	1	11	2	40	40	1	tianjian1	1				1344													114														0.85,1.15															4					
11402	40级短剑	4	1	2	12	2	40	40	2	mojia1	1				1344													146														0.85,1.15															4					
11403	40级法器	4	1	3	13	2	40	40	3	guigu1	1				1344														127				114									0.85,1.15															4					
11404	40级环	4	1	4	14	2	40	40	4		1				1344														165													0.85,1.15															4					
11405	40级弓	4	1	5	15	2	40	40	5		1				1344													127														0.85,1.15															4					
11406	40级枪	4	1	6	16	2	40	40	6		1				1344													127														0.85,1.15															4					
11411	40级硬头盔	4	2	8	28	2	40	40	1,2	hard_tou1	1				1344															89												0.85,1.15															4					
11412	40级硬胸甲	4	3	8	38	2	40	40	1,2	hard_xiong1	1				1344															114	51											0.85,1.15															4					
11413	40级硬手套	4	4	8	48	2	40	40	1,2	hard_hand1	1				1344															76												0.85,1.15															4					
11414	40级硬裤子	4	5	8	58	2	40	40	1,2	hard_ku1	1				1344															76	51											0.85,1.15															4					
11415	40级硬鞋子	4	6	8	68	2	40	40	1,2	hard_xie1	1				1344																51											0.85,1.15															4					
11416	40级软头盔	4	2	9	29	2	40	40	3,4	soft_tou1	1				1344															51												0.85,1.15															4					
11417	40级软胸甲	4	3	9	39	2	40	40	3,4	soft_xiong1	1				1344															51	114											0.85,1.15															4					
11418	40级软手套	4	4	9	49	2	40	40	3,4	soft_hand1	1				1344															38												0.85,1.15															4					
11419	40级软裤子	4	5	9	59	2	40	40	3,4	soft_ku1	1				1344															38	114											0.85,1.15															4					
11420	40级软鞋子	4	6	9	69	2	40	40	3,4	soft_xie1	1				1344																76											0.85,1.15															4					
11421	40级项链	4	7	0	70	2	40	40	-1	xianglian1	1				1344																	302										0.85,1.15															4					
11422	40级物攻戒指	4	8	1	81	2	40	40	-1	ring1	1				1344													23														0.85,1.15															4					
11423	40级法攻戒指	4	8	2	82	2	40	40	-1	ring1	1				1344														23													0.85,1.15															4					
11424	40级物攻饰品	4	9	1	91	2	40	40	-1	shipin1	1				1344																	302										0.85,1.15															4					
11425	40级法攻饰品	4	9	2	92	2	40	40	-1	shipin1	1				1344																	302										0.85,1.15															4					
11431	40级剑·蓝	4	1	1	11	3	40	40	1	tianjian1	1							27184	1	1102|1		20000	1	1151|1		30000	1	140							6							0.85,1.15		0.43,0.58	11	1:75,2:20,3:5	40	0.43,0.58									6					
11432	40级短剑·蓝	4	1	2	12	3	40	40	2	mojia1	1							27184	1	1102|1		20000	1	1151|1		30000	1	178						5								0.85,1.15		0.43,0.58	12	1:75,2:20,3:5	40	0.43,0.58									6					
11433	40级法器·蓝	4	1	3	13	3	40	40	3	guigu1	1							27184	1	1102|1		20000	1	1151|1		30000	1		155				140		6							0.85,1.15		0.43,0.58	13	1:75,2:20,3:5	40	0.43,0.58									6					
11434	40级环·蓝	4	1	4	14	3	40	40	4		1							27184	1	1102|1		20000	1	1151|1		30000	1		202					6								0.85,1.15		0.43,0.58	14	1:75,2:20,3:5	40	0.43,0.58									6					
11435	40级弓·蓝	4	1	5	15	3	40	40	5		1							27184	1	1102|1		20000	1	1151|1		30000	1	155								5						0.85,1.15		0.43,0.58	15	1:75,2:20,3:5	40	0.43,0.58									6					
11436	40级枪·蓝	4	1	6	16	3	40	40	6		1							27184	1	1102|1		20000	1	1151|1		30000	1	155								5						0.85,1.15		0.43,0.58	16	1:75,2:20,3:5	40	0.43,0.58									6					
11441	40硬头盔·蓝	4	2	8	28	3	40	40	1,2	hard_tou1	1							27184	1	1102|1		20000	1	1151|1		30000	1			109										5		0.85,1.15		0.43,0.58	17	1:75,2:20,3:5	40	0.43,0.58									6					
11442	40硬胸甲·蓝	4	3	8	38	3	40	40	1,2	hard_xiong1	1							27184	1	1102|1		20000	1	1151|1		30000	1			140	62								5			0.85,1.15		0.43,0.58	17	1:75,2:20,3:5	40	0.43,0.58									6					
11443	40硬手套·蓝	4	4	8	48	3	40	40	1,2	hard_hand1	1							27184	1	1102|1		20000	1	1151|1		30000	1			93									5			0.85,1.15		0.43,0.58	17	1:75,2:20,3:5	40	0.43,0.58									6					
11444	40硬裤子·蓝	4	5	8	58	3	40	40	1,2	hard_ku1	1							27184	1	1102|1		20000	1	1151|1		30000	1			93	62									5		0.85,1.15		0.43,0.58	17	1:75,2:20,3:5	40	0.43,0.58									6					
