id	名称	力量	智慧	根骨	体魄	敏捷	身法	额外伤害	伤害减免	物理攻击	法术攻击	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	金抗性	木抗性	水抗性	火抗性	土抗性	全属性抗性	金伤害	木伤害	水伤害	火伤害	土伤害
110	紫色法攻戒指			20	20	20	20	10					5		10	15	10	10		10							10	10	10	10	10
111	紫色物攻饰品			20	20	20	20	10					5		10	15	10	10	10								10	10	10	10	10
112	紫色法攻饰品			20	20	20	20	10					5		10	15	10	10		10							10	10	10	10	10
130	紫色防具·天剑	20			20	20	20		15					10	10		10	20			15	15	15	15	15	7					
131	紫色防具·墨家	20		20	20		20		15					10	10		20	10			15	15	15	15	15	7					
132	紫色防具·鬼谷		20	20		20	20		15					10	10		20	10			15	15	15	15	15	7					
133	紫色防具·七曜			20	20	20	20		15					10	10		20	10			15	15	15	15	15	7					
201	橙色剑				20	20	20			5		10				20			20								20	20			
202	橙色刃			20	20		20			5		10				20			20										20		20
203	橙色铃			20		20	20				5	10				20				20									20		20
204	橙色环			20	20		20				5	10				20				20									20	20	
205	橙色弓			20	20	20				5		10				20			20									20		20	
206	橙色枪				20	20	20			5		10				20			20								20				20
207	橙色物攻项链			20	20		20	10					5		10	15	10	10	10	10							10	10	10	10	10
208	橙色法攻项链			20	20		20	10					5		10	15	10	10	10	10							10	10	10	10	10
209	橙色物攻戒指			20	20		20	10					5		10	15	10	10	10								10	10	10	10	10
210	橙色法攻戒指			20	20		20	10					5		10	15	10	10		10							10	10	10	10	10
211	橙色物攻饰品			20	20		20	10					5		10	15	10	10	10								10	10	10	10	10
212	橙色法攻饰品			20	20		20	10					5		10	15	10	10		10							10	10	10	10	10
230	橙色防具·天剑				20	20	20		15					10	10		10	20			15	15	15	15	15	7					
231	橙色防具·墨家			20	20		20		15					10	10		20	10			15	15	15	15	15	7					
232	橙色防具·鬼谷			20		20	20		15					10	10		20	10			15	15	15	15	15	7					
233	橙色防具·七曜			20	20	20			15					10	10		20	10			15	15	15	15	15	7					
301	红色色剑				20	20	20			5		10				20			20								20	20			
302	红色色刃			20	20		20			5		10				20			20										20		20
303	红色色铃			20		20	20				5	10				20				20									20		20
304	红色色环			20	20		20				5	10				20				20									20	20	
305	红色色弓			20	20	20				5		10				20			20									20		20	
306	红色色枪				20	20	20			5		10				20			20								20				20
307	红色色物攻项链			20	20		20	10					5		10	15	10	10	10	10							10	10	10	10	10
308	红色色法攻项链			20	20		20	10					5		10	15	10	10	10	10							10	10	10	10	10
309	红色色物攻戒指			20	20		20	10					5		10	15	10	10	10								10	10	10	10	10
310	红色色法攻戒指			20	20		20	10					5		10	15	10	10		10							10	10	10	10	10
311	红色色物攻饰品			20	20		20	10					5		10	15	10	10	10								10	10	10	10	10
312	红色色法攻饰品			20	20		20	10					5		10	15	10	10		10							10	10	10	10	10
330	红色色防具·天剑				20	20	20		15					10	10		10	20								7					
331	红色色防具·墨家			20	20		20		15					10	10		20	10								7					
332	红色色防具·鬼谷			20		20	20		15					10	10		20	10								7					
333	红色色防具·七曜			20	20	20			15					10	10		20	10								7					
