id	名称	备注	力量	智慧	根骨	体魄	敏捷	身法	额外伤害	伤害减免	暴击等级	暴击伤害等级	暴击防御等级	暴击伤害减免等级	命中等级	回避等级	招架等级	物理穿透等级	法术穿透等级	金抗性	木抗性	水抗性	火抗性	土抗性	全属性抗性	金伤害	木伤害	水伤害	火伤害	土伤害
13001	40级剑·橙		14		14																									
13002	40级短剑·橙		14				14																							
13003	40级法器·橙			14		14																								
13004	40级环·橙			14			14																							
13005	40级弓·橙		14					14																						
13006	40级枪·橙		14		14																									
13011	40头盔·橙·天剑		14			14																								
13012	40胸甲·橙·天剑		14		14																									
13013	40手套·橙·天剑		14		14																									
13014	40裤子·橙·天剑		14		14																									
13015	40鞋子·橙·天剑		14			14																								
13021	40头盔·橙·墨家		14		14																									
13022	40胸甲·橙·墨家		14				14																							
13023	40手套·橙·墨家		14				14																							
13024	40裤子·橙·墨家		14				14																							
13025	40鞋子·橙·墨家		14		14																									
13031	40头盔·橙·鬼谷			14		14																								
13032	40胸甲·橙·鬼谷			14		14																								
13033	40手套·橙·鬼谷			14		14																								
13034	40裤子·橙·鬼谷			14		14																								
13035	40鞋子·橙·鬼谷			14		14																								
13041	40头盔·橙·七曜			14				14																						
13042	40胸甲·橙·七曜			14				14																						
13043	40手套·橙·七曜			14				14																						
13044	40裤子·橙·七曜			14				14																						
13045	40鞋子·橙·七曜			14				14																						
13081	4物攻项链·橙		14				14																							
13082	40物攻项链·橙			14			14																							
13083	40物攻戒指·橙		14				14																							
13084	40法攻戒指·橙			14			14																							
13085	40物攻饰品·橙		14				14																							
13086	40法攻饰品·橙			14			14																							
15001	50级剑·紫				19																									
15002	50级短剑·紫						19																							
15003	50级法器·紫					19																								
15004	50级环·紫			19																										
15005	50级弓·紫		19																											
15006	50级枪·紫		19																											
15011	50头盔·紫·天剑		19																											
15012	50胸甲·紫·天剑				19																									
15013	50手套·紫·天剑		19																											
15014	50裤子·紫·天剑				19																									
15015	50鞋子·紫·天剑		19																											
15021	50头盔·紫·墨家						19																							
15022	50胸甲·紫·墨家						19																							
15023	50手套·紫·墨家						19																							
15024	50裤子·紫·墨家						19																							
15025	50鞋子·紫·墨家						19																							
15031	50头盔·紫·鬼谷			19																										
15032	50胸甲·紫·鬼谷					19																								
15033	50手套·紫·鬼谷			19																										
15034	50裤子·紫·鬼谷					19																								
15035	50鞋子·紫·鬼谷			19																										
15041	50头盔·紫·七曜			19																										
15042	50胸甲·紫·七曜			19																										
15043	50手套·紫·七曜			19																										
15044	50裤子·紫·七曜			19																										
15045	50鞋子·紫·七曜			19																										
15081	50物攻项链·紫		19																											
15082	50物攻项链·紫			19																										
15083	50物攻戒指·紫		19																											
15084	50法攻戒指·紫			19																										
15085	50物攻饰品·紫						19																							
15086	50法攻饰品·紫						19																							
16001	50级剑·橙		19		19																									
16002	50级短剑·橙		19				19																							
16003	50级法器·橙			19		19																								
16004	50级环·橙			19			19																							
16005	50级弓·橙		19					19																						
16006	50级枪·橙		19		19																									
16011	50头盔·橙·天剑		19			19																								
16012	50胸甲·橙·天剑		19		19																									
16013	50手套·橙·天剑		19		19																									
16014	50裤子·橙·天剑		19		19																									
16015	50鞋子·橙·天剑		19			19																								
16021	50头盔·橙·墨家		19		19																									
16022	50胸甲·橙·墨家		19				19																							
16023	50手套·橙·墨家		19				19																							
16024	50裤子·橙·墨家		19				19																							
16025	50鞋子·橙·墨家		19		19																									
16031	50头盔·橙·鬼谷			19		19																								
16032	50胸甲·橙·鬼谷			19		19																								
16033	50手套·橙·鬼谷			19		19																								
16034	50裤子·橙·鬼谷			19		19																								
16035	50鞋子·橙·鬼谷			19		19																								
16041	50头盔·橙·七曜			19				19																						
16042	50胸甲·橙·七曜			19				19																						
16043	50手套·橙·七曜			19				19																						
16044	50裤子·橙·七曜			19				19																						
16045	50鞋子·橙·七曜			19				19																						
16081	4物攻项链·橙		19				19																							
16082	50物攻项链·橙			19			19																							
16083	50物攻戒指·橙		19				19																							
16084	50法攻戒指·橙			19			19																							
16085	50物攻饰品·橙		19				19																							
16086	50法攻饰品·橙			19			19																							
17081	50级项链·橙·天剑					17					23	38																		
17082	50级项链·橙·墨家					17					23	38																		
17083	50级项链·橙·鬼谷					17					23	38																		
17084	50级项链·橙·七曜					17					23	38																		
17154	60级剑·橙						21		18						32															
17155	60级短剑·橙						21		18						32															
17156	60级法器·橙						21		18						32															
17157	60级环·橙						21		18						32															
17158	60级弓·橙						21		18						32															
17159	60级枪·橙						21		18						32															
20001	60级剑·紫				24																									
20002	60级短剑·紫						24																							
20003	60级法器·紫					24																								
20004	60级环·紫			24																										
20005	60级弓·紫		24																											
20006	60级枪·紫		24																											
20011	60头盔·紫·天剑		24																											
20012	60胸甲·紫·天剑				24																									
20013	60手套·紫·天剑		24																											
20014	60裤子·紫·天剑				24																									
20015	60鞋子·紫·天剑		24																											
20021	60头盔·紫·墨家						24																							
20022	60胸甲·紫·墨家						24																							
20023	60手套·紫·墨家						24																							
20024	60裤子·紫·墨家						24																							
20025	60鞋子·紫·墨家						24																							
20031	60头盔·紫·鬼谷			24																										
20032	60胸甲·紫·鬼谷					24																								
20033	60手套·紫·鬼谷			24																										
20034	60裤子·紫·鬼谷					24																								
20035	60鞋子·紫·鬼谷			24																										
20041	60头盔·紫·七曜			24																										
20042	60胸甲·紫·七曜			24																										
20043	60手套·紫·七曜			24																										
20044	60裤子·紫·七曜			24																										
20045	60鞋子·紫·七曜			24																										
20081	60物攻项链·紫		24																											
20082	60法攻项链·紫			24																										
20083	60物攻戒指·紫		24																											
20084	60法攻戒指·紫			24																										
20085	60物攻饰品·紫						24																							
20086	60法攻饰品·紫						24																							
21001	60级剑·橙		24		24																									
21002	60级短剑·橙		24				24																							
21003	60级法器·橙			24		24																								
21004	60级环·橙			24			24																							
21005	60级弓·橙		24					24																						
21006	60级枪·橙		24		24																									
21011	60头盔·橙·天剑		24			24																								
21012	60胸甲·橙·天剑		24		24																									
21013	60手套·橙·天剑		24		24																									
21014	60裤子·橙·天剑		24		24																									
21015	60鞋子·橙·天剑		24			24																								
21021	60头盔·橙·墨家		24		24																									
21022	60胸甲·橙·墨家		24				24																							
21023	60手套·橙·墨家		24				24																							
21024	60裤子·橙·墨家		24				24																							
21025	60鞋子·橙·墨家		24		24																									
21031	60头盔·橙·鬼谷			24		24																								
21032	60胸甲·橙·鬼谷			24		24																								
21033	60手套·橙·鬼谷			24		24																								
21034	60裤子·橙·鬼谷			24		24																								
21035	60鞋子·橙·鬼谷			24		24																								
21041	60头盔·橙·七曜			24				24																						
21042	60胸甲·橙·七曜			24				24																						
21043	60手套·橙·七曜			24				24																						
21044	60裤子·橙·七曜			24				24																						
21045	60鞋子·橙·七曜			24				24																						
21081	60物攻项链·橙		24				24																							
21082	60法攻项链·橙			24			24																							
21083	60物攻戒指·橙		24				24																							
21084	60法攻戒指·橙			24			24																							
21085	60物攻饰品·橙		24				24																							
21086	60法攻饰品·橙			24			24																							
22001	60级剑·红		24		24																									
22002	60级短剑·红		24				24																							
22003	60级法器·红			24		24																								
22004	60级环·红			24			24																							
22005	60级弓·红		24					24																						
22006	60级枪·红		24		24																									
22011	60头盔·红·天剑		24			24																								
22012	60胸甲·红·天剑		24		24																									
22013	60手套·红·天剑		24		24																									
22014	60裤子·红·天剑		24		24																									
22015	60鞋子·红·天剑		24			24																								
22021	60头盔·红·墨家		24		24																									
22022	60胸甲·红·墨家		24				24																							
22023	60手套·红·墨家		24				24																							
22024	60裤子·红·墨家		24				24																							
22025	60鞋子·红·墨家		24		24																									
22031	60头盔·红·鬼谷			24		24																								
22032	60胸甲·红·鬼谷			24		24																								
22033	60手套·红·鬼谷			24		24																								
22034	60裤子·红·鬼谷			24		24																								
22035	60鞋子·红·鬼谷			24		24																								
22041	60头盔·红·七曜			24				24																						
22042	60胸甲·红·七曜			24				24																						
22043	60手套·红·七曜			24				24																						
22044	60裤子·红·七曜			24				24																						
22045	60鞋子·红·七曜			24				24																						
22081	60物攻项链·红		24				24																							
22082	60法攻项链·红			24			24																							
22083	60物攻戒指·红		24				24																							
22084	60法攻戒指·红			24			24																							
22085	60物攻饰品·红		24				24																							
22086	60法攻饰品·红			24			24																							
26001	70级剑·紫				30																									
26002	70级短剑·紫						30																							
26003	70级法器·紫					30																								
26004	70级环·紫			30																										
26005	70级弓·紫		30																											
26006	70级枪·紫		30																											
26011	70头盔·紫·天剑		30																											
26012	70胸甲·紫·天剑				30																									
26013	70手套·紫·天剑		30																											
26014	70裤子·紫·天剑				30																									
26015	70鞋子·紫·天剑		30																											
26021	70头盔·紫·墨家						30																							
26022	70胸甲·紫·墨家						30																							
26023	70手套·紫·墨家						30																							
26024	70裤子·紫·墨家						30																							
26025	70鞋子·紫·墨家						30																							
26031	70头盔·紫·鬼谷			30																										
26032	70胸甲·紫·鬼谷					30																								
26033	70手套·紫·鬼谷			30																										
26034	70裤子·紫·鬼谷					30																								
26035	70鞋子·紫·鬼谷			30																										
26041	70头盔·紫·七曜			30																										
26042	70胸甲·紫·七曜			30																										
26043	70手套·紫·七曜			30																										
26044	70裤子·紫·七曜			30																										
26045	70鞋子·紫·七曜			30																										
26081	70物攻项链·紫		30																											
26082	70法攻项链·紫			30																										
26083	70物攻戒指·紫		30																											
26084	70法攻戒指·紫			30																										
26085	70物攻饰品·紫						30																							
26086	70法攻饰品·紫						30																							
27001	70级剑·橙		30		30																									
27002	70级短剑·橙		30				30																							
27003	70级法器·橙			30		30																								
27004	70级环·橙			30			30																							
27005	70级弓·橙		30					30																						
27006	70级枪·橙		30		30																									
27011	70头盔·橙·天剑		30			30																								
27012	70胸甲·橙·天剑		30		30																									
27013	70手套·橙·天剑		30		30																									
27014	70裤子·橙·天剑		30		30																									
27015	70鞋子·橙·天剑		30			30																								
27021	70头盔·橙·墨家		30		30																									
27022	70胸甲·橙·墨家		30				30																							
27023	70手套·橙·墨家		30				30																							
27024	70裤子·橙·墨家		30				30																							
27025	70鞋子·橙·墨家		30		30																									
27031	70头盔·橙·鬼谷			30		30																								
27032	70胸甲·橙·鬼谷			30		30																								
27033	70手套·橙·鬼谷			30		30																								
27034	70裤子·橙·鬼谷			30		30																								
27035	70鞋子·橙·鬼谷			30		30																								
27041	70头盔·橙·七曜			30				30																						
27042	70胸甲·橙·七曜			30				30																						
27043	70手套·橙·七曜			30				30																						
27044	70裤子·橙·七曜			30				30																						
27045	70鞋子·橙·七曜			30				30																						
27081	70物攻项链·橙		30				30																							
27082	70法攻项链·橙			30			30																							
27083	70物攻戒指·橙		30				30																							
27084	70法攻戒指·橙			30			30																							
27085	70物攻饰品·橙		30				30																							
27086	70法攻饰品·橙			30			30																							
28001	70级剑·红		30		30																									
28002	70级短剑·红		30				30																							
28003	70级法器·红			30		30																								
28004	70级环·红			30			30																							
28005	70级弓·红		30					30																						
28006	70级枪·红		30		30																									
28011	70头盔·红·天剑		30			30																								
28012	70胸甲·红·天剑		30		30																									
28013	70手套·红·天剑		30		30																									
28014	70裤子·红·天剑		30		30																									
28015	70鞋子·红·天剑		30			30																								
28021	70头盔·红·墨家		30		30																									
28022	70胸甲·红·墨家		30				30																							
28023	70手套·红·墨家		30				30																							
28024	70裤子·红·墨家		30				30																							
28025	70鞋子·红·墨家		30		30																									
28031	70头盔·红·鬼谷			30		30																								
28032	70胸甲·红·鬼谷			30		30																								
28033	70手套·红·鬼谷			30		30																								
28034	70裤子·红·鬼谷			30		30																								
28035	70鞋子·红·鬼谷			30		30																								
28041	70头盔·红·七曜			30				30																						
28042	70胸甲·红·七曜			30				30																						
28043	70手套·红·七曜			30				30																						
28044	70裤子·红·七曜			30				30																						
28045	70鞋子·红·七曜			30				30																						
28081	70物攻项链·红		30				30																							
28082	70法攻项链·红			30			30																							
28083	70物攻戒指·红		30				30																							
28084	70法攻戒指·红			30			30																							
28085	70物攻饰品·红		30				30																							
28086	70法攻饰品·红			30			30																							
