冒泡ID	冒泡内容	冒泡时长	备注：功能名	备注：npc
66	看那些NPC不顺眼……是因为云狐修养不够吧？	5	主角非战斗状态(机灵的云狐)	
67	主人，云狐是机关狐，不是动物！	5	主角非战斗状态(机灵的云狐)	
68	当我不认同主人时，我依然会尊重你的选择。	5	主角非战斗状态(机灵的云狐)	
69	在寂寞时想念主人，那不算什么，但在热闹时想念，又不同了。	5	主角非战斗状态(机灵的云狐)	
70	有时候面对主人时不要争辩，表面服从，偷偷反抗！	5	主角非战斗状态(机灵的云狐)	
71	这将是我们第三千八百次胜利！	5	主角进入关卡(机灵的云狐)	
72	天呀，我感觉身体被掏空！	5	主角进入关卡(机灵的云狐)	
73	有种主人很可怕，它让你相信自己是根葱，可是真要炒菜时，他却没有用你！！	5	主角进入关卡(机灵的云狐)	
74	一个宠物一生中最成功的一件事，就是选对了主人。	5	主角进入关卡(机灵的云狐)	
81	虐不虐！就说虐不虐！主人要被虐死啦！	5	主角血量低于20%(机灵的云狐)	
82	主人撑住！身体是玩命的本钱呀！	5	主角血量低于20%(机灵的云狐)	
83	主人能不能打赢就看主人想不想得起吃血瓶子了！	5	主角血量低于20%(机灵的云狐)	
84	主人一辈子成不成功就看追悼会了。	5	主角血量低于20%(机灵的云狐)	
91	云狐会陪主人一路前行。	5	主角升级时(机灵的云狐)	
92	恭喜主人升级！	5	主角升级时(机灵的云狐)	
93	主人万岁！	5	主角升级时(机灵的云狐)	
94	(๑•̀ㅂ•́)و✧	5	主角升级时(机灵的云狐)	
101	阿波波勉为其难替主人解决那个敌人吧！	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
102	阿波波喷一滩水就能淹死那个敌人了。	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
103	又要阿波波打怪？主人是觉得阿波波很好使唤吗？？？	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
104	关门，放主人！	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
105	主人就不能让别人出战吗？	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
106	兵来将挡水来土掩……谁敢掩我阿波波！！	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
107	阿波波累了，下回主人自己打吧。	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
108	阿波波想回家睡觉。	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
109	阿波波是宠物，不是召唤兽，不想打怪。	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
110	要不是阿波波心地善良，阿波波才不想帮主人一起打呢。	5	主角处于战斗状态(傲娇的水符鬼阿波波)	
111	多照照镜子，很多事情主人就能明白原因了。	5	主角非战斗状态(傲娇的水符鬼阿波波)	
112	阿波波才、才没有想陪着主人……什么的呢……	5	主角非战斗状态(傲娇的水符鬼阿波波)	
113	主人你是笨蛋吗？为什么不奖励阿波波一个鸡腿！	5	主角非战斗状态(傲娇的水符鬼阿波波)	
114	燃烧吧！阿波波！哦……阿波波不能燃烧。	5	主角非战斗状态(傲娇的水符鬼阿波波)	
115	上线这！么！少！主人！！你根本不关心阿波波！！	5	主角非战斗状态(傲娇的水符鬼阿波波)	
116	主人能不能别看到宝箱就两眼发光？	5	主角非战斗状态(傲娇的水符鬼阿波波)	
117	主人们都是软弱可怜的东西，都经不起诱惑。	5	主角非战斗状态(傲娇的水符鬼阿波波)	
118	有这么贪财的主人，阿波波觉得好丢人。	5	主角非战斗状态(傲娇的水符鬼阿波波)	
119	主人每次开宝箱心里是不是都在想：如果有个地方能出卖灵魂换来财富就好了？	5	主角非战斗状态(傲娇的水符鬼阿波波)	
120	阿波波回想了一下，当初觉得主人好，完完全全是因为没见过世面。	5	主角非战斗状态(傲娇的水符鬼阿波波)	
121	主人走快点啊，阿波波不会停下来等很久的。	5	主角进入关卡(傲娇的水符鬼阿波波)	
122	主人你这磨磨蹭蹭的，多久才能打完关卡啊？	5	主角进入关卡(傲娇的水符鬼阿波波)	
123	主人你这打关卡的速度比别人慢太多啦！	5	主角进入关卡(傲娇的水符鬼阿波波)	
131	主人笨死了，还不知道回点血吗？	5	主角血量低于20%(傲娇的水符鬼阿波波)	
132	主人要是没有阿波波，就活不下去了吧！	5	主角血量低于20%(傲娇的水符鬼阿波波)	
133	主人别挂机啦，要死啦！	5	主角血量低于20%(傲娇的水符鬼阿波波)	
134	主人你是瞎的吗？看看你的血条！	5	主角血量低于20%(傲娇的水符鬼阿波波)	
141	主人能升级，都是因为有阿波波在监督好吗。	5	主角升级时(傲娇的水符鬼阿波波)	
142	看在主人还算努力的份上，阿波波就赏主人一眼吧。	5	主角升级时(傲娇的水符鬼阿波波)	
143	主人升级了？那……阿波波就勉为其难嘉奖一下吧。	5	主角升级时(傲娇的水符鬼阿波波)	
144	下次升级再、再这么慢，阿波波就不等主人了！	5	主角升级时(傲娇的水符鬼阿波波)	
151	看琥珀用美丽的笑容迷倒那个敌人！	5	主角处于战斗状态(可爱的琥珀)	
152	琥珀要打倒那个敌人来证明琥珀不只是一个花瓶！	5	主角处于战斗状态(可爱的琥珀)	
153	冲呀！！！	5	主角处于战斗状态(可爱的琥珀)	
154	胜利必然是属于主人的！	5	主角处于战斗状态(可爱的琥珀)	
155	琥珀随时准备为主人奋战！	5	主角处于战斗状态(可爱的琥珀)	
156	主人是不是偷偷吃了大力丸？怎么突然变这么厉害！	5	主角处于战斗状态(可爱的琥珀)	
157	在哪里跌倒，琥珀就会在哪里躺下！	5	主角处于战斗状态(可爱的琥珀)	
158	主人的胜利就是琥珀的骄傲！	5	主角处于战斗状态(可爱的琥珀)	
159	在哪里跌倒，琥珀就会在哪里躺下！	5	主角处于战斗状态(可爱的琥珀)	
160	琥珀一定是太久没吃肉了，不然刚才看到那个怪时会有点儿激动？	5	主角处于战斗状态(可爱的琥珀)	
161	主人……琥珀可以和主人谈恋爱吗？	5	主角非战斗状态(可爱的琥珀)	
162	就算全世界说琥珀不漂亮，主人说琥珀漂亮，那琥珀就是漂亮啦。	5	主角非战斗状态(可爱的琥珀)	
163	主人，爱情是不是可以排除万难？可是万难之后又有万难怎么办？	5	主角非战斗状态(可爱的琥珀)	
164	主人，世界上真的会有非你不可的那个人吗？	5	主角非战斗状态(可爱的琥珀)	
165	主人，你要听琥珀说，不恋爱就像不吃早膳一样，会营养不良的。	5	主角非战斗状态(可爱的琥珀)	
166	没有主人时，琥珀总是无忧无虑，有了主人，琥珀便牵肠挂肚……	5	主角非战斗状态(可爱的琥珀)	
167	哼，主人就是仗着琥珀喜欢你！不然为什么老不上线！	5	主角非战斗状态(可爱的琥珀)	
168	琥珀什么都怕，只怕有一天主人会不要琥珀……	5	主角非战斗状态(可爱的琥珀)	
169	主人，如果有一天我们不在一起了，也要像在一起一样噢！	5	主角非战斗状态(可爱的琥珀)	
170	自从认识了主人，琥珀总是患得患失。	5	主角非战斗状态(可爱的琥珀)	
171	琥珀打这个关卡都要打腻了！	5	主角进入关卡(可爱的琥珀)	
172	琥珀对关卡并没有什么兴趣呀……	5	主角进入关卡(可爱的琥珀)	
173	杀呀！！！咦……结束了？	5	主角进入关卡(可爱的琥珀)	
174	琥珀不想打架，万一脸打伤了怎么办……	5	主角进入关卡(可爱的琥珀)	
181	呜呜……主人光顾着保护琥珀，都没有给自己加血……	5	主角血量低于20%(可爱的琥珀)	
182	主人快跑！！！	5	主角血量低于21%(可爱的琥珀)	
183	主人再不加血，琥珀就要跟着殉情了！	5	主角血量低于22%(可爱的琥珀)	
184	琥珀先顶着，主人快喝血瓶子！	5	主角血量低于23%(可爱的琥珀)	
191	主人升级太快了，呜呜……琥珀都要跟不上了。	5	主角升级时(可爱的琥珀)	
192	主人又升级啦！	5	主角升级时(可爱的琥珀)	
193	琥珀什么都不好，就是运气好，才会遇上这么棒的主人！	5	主角升级时(可爱的琥珀)	
194	主人棒棒哒！	5	主角升级时(可爱的琥珀)	
195	ヾ(≧▽≦*)o	5	主角升级时(可爱的琥珀)	
201	谁敢用剑指着我主人，我就让他断胳膊掉腿！	5	主角处于战斗状态(勇敢的火符鬼)	
202	总有一天我要变得和主人一样强！	5	主角处于战斗状态(勇敢的火符鬼)	
203	我追求卓越是因为天性如此。	5	主角处于战斗状态(勇敢的火符鬼)	
204	我会努力成为配得上主人的符鬼。	5	主角处于战斗状态(勇敢的火符鬼)	
205	像我这么可爱的，走到哪里至少都得当个吉祥物吧！	5	主角处于战斗状态(勇敢的火符鬼)	
206	换个新主人其实很麻烦，很多谎话又要重头说起。	5	主角处于战斗状态(勇敢的火符鬼)	
207	我总是很妒忌主人，因为主人是我最亲近的人，忍不住比较。	5	主角处于战斗状态(勇敢的火符鬼)	
208	不要成为一个单纯优秀的宠物，而是成为一个不可替代的宠物。	5	主角处于战斗状态(勇敢的火符鬼)	
209	我要和主人并肩作战！	5	主角处于战斗状态(勇敢的火符鬼)	
210	新技能还蛮趁手的呢！	5	主角处于战斗状态(勇敢的火符鬼)	
211	主人要走，云狐不送，主人要来，风大雨大，云狐也会去接。	5	主角非战斗状态(勇敢的火符鬼)	
212	感谢主人培育之恩。	5	主角非战斗状态(勇敢的火符鬼)	
213	主人，永远不要去选择正确的，而是选择不会后悔的。	5	主角非战斗状态(勇敢的火符鬼)	
214	在主人要放弃的那一刻，想想为什么当初坚持走到了这里：因为脑残。	5	主角非战斗状态(勇敢的火符鬼)	
215	阿奇有点笨，琥珀有点萌，那么主人觉得我怎么样？	5	主角非战斗状态(勇敢的火符鬼)	
216	主人喜欢玩手机，我也想变成手机。	5	主角非战斗状态(勇敢的火符鬼)	
217	如果主人有一个梦想，那么就由我来捍卫它！	5	主角非战斗状态(勇敢的火符鬼)	
221	(๑•̀ㅂ•́)و✧	5	主角进入关卡(勇敢的火符鬼)	
222	我本来就很强，我只会变得更强。	5	主角进入关卡(勇敢的火符鬼)	
223	我的理想主人就是：带得出去，带得回来。	5	主角进入关卡(勇敢的火符鬼)	
231	我尽力了。	5	主角血量低于20%(勇敢的火符鬼)	
232	主人注意回血！	5	主角血量低于20%(勇敢的火符鬼)	
233	主人，坚持住！	5	主角血量低于20%(勇敢的火符鬼)	
234	主人，我不会让你倒下！	5	主角血量低于20%(勇敢的火符鬼)	
241	我会陪主人一路前行。	5	主角升级时(勇敢的火符鬼)	
242	恭喜主人升级！	5	主角升级时(勇敢的火符鬼)	
243	主人万岁！	5	主角升级时(勇敢的火符鬼)	
244	(๑•̀ㅂ•́)و✧	5	主角升级时(勇敢的火符鬼)	
251	那个敌人就交给我吧！	5	主角处于战斗状态(自信的金符鬼)	
252	主人，看谁先搞定那个敌人！	5	主角处于战斗状态(自信的金符鬼)	
253	主人，我的御敌数量比你高哦！	5	主角处于战斗状态(自信的金符鬼)	
254	战斗吧！主人！	5	主角处于战斗状态(自信的金符鬼)	
261	我才不会妒忌别的宠物，那样太没有自信了！	5	主角非战斗状态(自信的金符鬼)	
262	如果主人再也不想来了，那就不要来，时间会让我死心。	5	主角非战斗状态(自信的金符鬼)	
263	和主人相处的最大秘诀，就是看透的时候，假装没看透。	5	主角非战斗状态(自信的金符鬼)	
264	这个世界没有错，谁让主人你长得不好看又没钱。	5	主角非战斗状态(自信的金符鬼)	
265	要记那么多台词，我很累。	5	主角非战斗状态(自信的金符鬼)	
266	我不是耍性格，我只是有很多话想说……但又不知从何说起。	5	主角非战斗状态(自信的金符鬼)	
267	主人就是：我可以随便骂，但别人不可以骂一个字的人。	5	主角非战斗状态(自信的金符鬼)	
268	看在主人还算努力的份上，我就赏主人一眼吧。	5	主角非战斗状态(自信的金符鬼)	
269	主人一夸我，我就觉得局促不安，因为主人夸得还不够。	5	主角非战斗状态(自信的金符鬼)	
270	不要拿任何宠物跟我比，只会让它们觉得难堪。	5	主角非战斗状态(自信的金符鬼)	
271	(￣^￣)ゞ	5	主角进入关卡(自信的金符鬼)	
272	准备大干一场吧！	5	主角进入关卡(自信的金符鬼)	
273	我的理想主人就是：入得了关卡，出得了关卡！	5	主角进入关卡(自信的金符鬼)	
274	让我来带着主人前进吧！	5	主角进入关卡(自信的金符鬼)	
275	我将成为主人最强的宠物！	5	主角进入关卡(自信的金符鬼)	
281	主人是绝对不会被击败的！	5	主角血量低于20%(自信的金符鬼)	
282	主人，你不能倒下！	5	主角血量低于20%(自信的金符鬼)	
283	(,,Ծ‸Ծ,,)主人你的血……	5	主角血量低于20%(自信的金符鬼)	
284	主人要死啦！	5	主角血量低于20%(自信的金符鬼)	
291	主人升级了，难道没什么表示吗？！	5	主角升级时(自信的金符鬼)	
292	主人笨死了！这么久才升级的！	5	主角升级时(自信的金符鬼)	
293	今天我心情好，特许主人摸一下我的尾巴。	5	主角升级时(自信的金符鬼)	
294	升级了吗？我都要睡着了。	5	主角升级时(自信的金符鬼)	
301	主人！我要上了！	5	主角处于战斗状态(呆萌的土符鬼)	
302	看我发射蘑菇弹！！	5	主角处于战斗状态(呆萌的土符鬼)	
303	蘑菇蘑菇！打败他！	5	主角处于战斗状态(呆萌的土符鬼)	
304	主人，看我滚出去压死他！	5	主角处于战斗状态(呆萌的土符鬼)	
311	主人，我头上的蘑菇好看吗？	5	主角非战斗状态(呆萌的土符鬼)	
312	咦，为什么我头上会长蘑菇呢？	5	主角非战斗状态(呆萌的土符鬼)	
313	蘑菇长在头上的感觉就是……湿湿的。	5	主角非战斗状态(呆萌的土符鬼)	
314	我的头……不怕下雨哦。	5	主角非战斗状态(呆萌的土符鬼)	
315	他们都叫我蘑菇头……	5	主角非战斗状态(呆萌的土符鬼)	
316	主人，为什么我没有手呢？	5	主角非战斗状态(呆萌的土符鬼)	
317	有人像我一样用蘑菇当暗器吗？	5	主角非战斗状态(呆萌的土符鬼)	
318	主人，有时我觉得自己像只猫，喵~	5	主角非战斗状态(呆萌的土符鬼)	
319	我的体重又增加了嘤嘤嘤。	5	主角非战斗状态(呆萌的土符鬼)	
320	咦，我突然之间好想打架。	5	主角非战斗状态(呆萌的土符鬼)	
321	主人准备好战斗了吗？	5	主角进入关卡(呆萌的土符鬼)	
322	时刻准备着！	5	主角进入关卡(呆萌的土符鬼)	
323	主人，前方我来带路~	5	主角进入关卡(呆萌的土符鬼)	
324	接下来让我来为主人扫清障碍~	5	主角进入关卡(呆萌的土符鬼)	
331	主人你你你的血！！！	5	主角血量低于20%(呆萌的土符鬼)	
332	主人啊啊啊你不能死！	5	主角血量低于20%(呆萌的土符鬼)	
333	主人你是故意保持低血量触发暴击的吗？	5	主角血量低于20%(呆萌的土符鬼)	
334	主人你要不要考虑吃点儿补血丸？	5	主角血量低于20%(呆萌的土符鬼)	
341	主人，你升级这么快是有诀窍吗？	5	主角升级时(呆萌的土符鬼)	
342	我也觉得被主人升级的喜悦笼罩着呢！	5	主角升级时(呆萌的土符鬼)	
343	升级时的主人是最美的！	5	主角升级时(呆萌的土符鬼)	
344	主人好厉害呀又升级了！	5	主角升级时(呆萌的土符鬼)	
351	我感觉身上充满了力量！	5	主角处于战斗状态(温柔的木符鬼)	
352	我将永远陪着主人！	5	主角处于战斗状态(温柔的木符鬼)	
353	要是没有我，主人你该怎么办？	5	主角处于战斗状态(温柔的木符鬼)	
354	一起战斗吧，主人！	5	主角处于战斗状态(温柔的木符鬼)	
361	我建议主人傍大款，这是最温柔的劫富济贫！	5	主角非战斗状态(温柔的木符鬼)	
362	主人快看，我的眼睛是不是很大？	5	主角非战斗状态(温柔的木符鬼)	
363	我的成长是因为有主人一路相伴！	5	主角非战斗状态(温柔的木符鬼)	
364	我想和主人一起去看风景……	5	主角非战斗状态(温柔的木符鬼)	
365	主人，做完任务我们就去外面玩吧好不好？	5	主角非战斗状态(温柔的木符鬼)	
366	主人，听说升级会使宠物加倍衰老……呜呜，我不想变老！	5	主角非战斗状态(温柔的木符鬼)	
367	如果有一天主人再也不来了……我会想你的。	5	主角非战斗状态(温柔的木符鬼)	
368	主人，多点带我去玩嘛？	5	主角非战斗状态(温柔的木符鬼)	
369	我觉得，主人才是最适合我的那个人呢。	5	主角非战斗状态(温柔的木符鬼)	
370	如果我没什么可以帮到主人的，至少可以陪陪主人吧？	5	主角非战斗状态(温柔的木符鬼)	
371	我可想念这个地方了！	5	主角进入关卡(温柔的木符鬼)	
372	(๑•́ ₃ •̀๑)	5	主角进入关卡(温柔的木符鬼)	
373	困困~	5	主角进入关卡(温柔的木符鬼)	
374	主人加油哦！	5	主角进入关卡(温柔的木符鬼)	
381	主人，你待会儿打算原地复活吗？	5	主角血量低于20%(温柔的木符鬼)	
382	主人，你得补补血了呢。	5	主角血量低于20%(温柔的木符鬼)	
383	主人，别忘了回血……	5	主角血量低于20%(温柔的木符鬼)	
384	主人，你的血量还好吗？	5	主角血量低于20%(温柔的木符鬼)	
391	贺喜主人。	5	主角升级时(温柔的木符鬼)	
392	祝主人年年有今日。	5	主角升级时(温柔的木符鬼)	
393	主人升级，是一件值得庆贺的事情呢。	5	主角升级时(温柔的木符鬼)	
394	主人升级比别人快太多了呢。	5	主角升级时(温柔的木符鬼)	
401	哼哧！哼哧！	5	主角处于战斗状态(慵懒的小山猪)	
402	主人快上！	5	主角处于战斗状态(慵懒的小山猪)	
403	主人我打不动了！	5	主角处于战斗状态(慵懒的小山猪)	
404	我、我得喘口气。	5	主角处于战斗状态(慵懒的小山猪)	
411	我最喜欢宝箱，好像希望都在里面。	5	主角非战斗状态(慵懒的小山猪)	
412	没有主人，我就连饭都吃不上了哼。	5	主角非战斗状态(慵懒的小山猪)	
413	主人停一下、我需要休息……	5	主角非战斗状态(慵懒的小山猪)	
414	啊，我只想做一只在阳光下沐浴的猪呀。	5	主角非战斗状态(慵懒的小山猪)	
415	主人吃过烤乳猪吗？唔……好吃吗？	5	主角非战斗状态(慵懒的小山猪)	
416	主人，我不想动了！	5	主角非战斗状态(慵懒的小山猪)	
417	主人，我想休息一下，囤点儿肉。	5	主角非战斗状态(慵懒的小山猪)	
418	我是不会轻易出手的。	5	主角非战斗状态(慵懒的小山猪)	
419	每天都感觉没有睡饱……	5	主角非战斗状态(慵懒的小山猪)	
420	累的时候趴地上睡一觉就好了。	5	主角非战斗状态(慵懒的小山猪)	
421	看到前方的敌人我就懒得动了。	5	主角进入关卡(慵懒的小山猪)	
422	我不是不勇敢，只是觉得这么个怪不值得我勇敢。	5	主角进入关卡(慵懒的小山猪)	
423	主人你能换别人出战吗？	5	主角进入关卡(慵懒的小山猪)	
424	我只是一只普通的小山猪，我不想打怪！	5	主角进入关卡(慵懒的小山猪)	
431	主人是想装死，让我代打吗？	5	主角血量低于20%(慵懒的小山猪)	
432	我感觉主人可能噗叽一下就没了。	5	主角血量低于20%(慵懒的小山猪)	
433	提醒一下，主人你的血条……	5	主角血量低于20%(慵懒的小山猪)	
434	主人是想死一次试试？	5	主角血量低于20%(慵懒的小山猪)	
441	主人能带我一起升级吗？	5	主角升级时(慵懒的小山猪)	
442	主人刚升级，不如休息一会儿吧。	5	主角升级时(慵懒的小山猪)	
443	恭喜主人，哼哧！	5	主角升级时(慵懒的小山猪)	
444	如果我勤快一点，就能和主人一起升级了吧。	5	主角升级时(慵懒的小山猪)	
451	竟敢惹恼本大王！	5	主角处于战斗状态(呱噪的疾鹏)	
452	看本大王怎么收拾这家伙！	5	主角处于战斗状态(呱噪的疾鹏)	
453	这些怪看见本大王也太冲动了。	5	主角处于战斗状态(呱噪的疾鹏)	
454	本大王从未见过如此厚颜无耻之怪。	5	主角处于战斗状态(呱噪的疾鹏)	
461	本大王是鸟，不是鸡。	5	主角非战斗状态(呱噪的疾鹏)	
462	本大王无所不知。	5	主角非战斗状态(呱噪的疾鹏)	
463	本大王就是那个名震江湖的大王！	5	主角非战斗状态(呱噪的疾鹏)	
464	唉，我看你没有本大王，就完全不行了。	5	主角非战斗状态(呱噪的疾鹏)	
465	本大王吃过的虫子比你吃的米饭还多！	5	主角非战斗状态(呱噪的疾鹏)	
466	本大王是一个宽宏大量的大王，不轻易动手。	5	主角非战斗状态(呱噪的疾鹏)	
467	给本大王找些吃的来，这是命令。	5	主角非战斗状态(呱噪的疾鹏)	
468	本大王将成为带来世界和平的英雄。	5	主角非战斗状态(呱噪的疾鹏)	
469	想当年，本大王还驾驶着机关人的时候……	5	主角非战斗状态(呱噪的疾鹏)	
470	凭你能像本大王一样会飞吗？	5	主角非战斗状态(呱噪的疾鹏)	
471	本大王堂堂将军，要我来打这种关卡？	5	主角进入关卡(呱噪的疾鹏)	
472	大胆！竟敢让本大王来打如此低级之关卡！	5	主角进入关卡(呱噪的疾鹏)	
473	我看你也挺闲的，这关卡不如你就自己打吧？	5	主角进入关卡(呱噪的疾鹏)	
474	为了考验你的斗志，这关卡交给你了！	5	主角进入关卡(呱噪的疾鹏)	
481	听说过猝死吗？我看你快了。	5	主角血量低于20%(呱噪的疾鹏)	
482	还有什么遗言要交代吗？	5	主角血量低于20%(呱噪的疾鹏)	
483	我上次看见一个人血很少在打怪，然后他死了……	5	主角血量低于20%(呱噪的疾鹏)	
484	你在挑战血线下限？	5	主角血量低于20%(呱噪的疾鹏)	
491	在你10级的时候，本大王就已经999级了。	5	主角升级时(呱噪的疾鹏)	
492	你的等级跟本大王比起来，还差得太远。	5	主角升级时(呱噪的疾鹏)	
493	想当年本大王升级的时候，特效可比你豪华多了。	5	主角升级时(呱噪的疾鹏)	
494	这升级速度尚可，本大王就赏你朵大红花吧。	5	主角升级时(呱噪的疾鹏)	
2001	主人！我来帮你了！	2	寻宝猪出现时冒泡	
2002	主人！宝藏应该就在附近了，我先去探路！	2	寻宝猪消失时冒泡	
2003	主人！我闻到宝藏的味道了，应该就在这里！	2	寻宝猪寻宝时冒泡	
2004	主人，快挖！我都等不及看看到底是什么宝藏了！	2	寻宝猪，主角在挖的时候冒泡	
t50171	有人捣乱！	5	n_2_sjsb1沙泉村里勇士	
t50371	怎么回事？你们是干什么的？！	5	n_52_lihua李桦出生	
t51841	站住！你想干什么！	5	n_liwei_9150李维见敌人	
t51201	你是谁？你想劫狱？！		n_shiyalaoyuweiM石崖牢狱卫喊话	
t50801	擅闯通天塔者！太师令杀无赦！	5	n_tttweibing_9127通天塔卫兵	
t51181	好家伙，定是你！竟敢向杨卫队长下药！	5	n_yanglinshouxia杨林手下出生	
t50121	擅闯驻地？找死！	5	n_zhudimenweiM	
t50511	速来助我！		n_9128_moyanqianying	
t50512	来人啊！有人闯营！	5	n_9166_zhudishaobingM	
t50241	还想反抗？活得不耐烦了？！	5	n_9164_xunyingbingM	
t51871	哪来的混账，竟敢在老子的地盘捣乱！	5	n_yanglinM	
1000	又碰到一个活的！	2	序章	
1001	站住！！	2	序章	
1002	来者何人，敢在你爷爷的地盘上撒野！	2	序章	
1026	不会再让你前进一步了	
1026	护卫队，上！	
2021	晕倒…………	
1026	尝到弓箭手远程攻击的厉害了吧！	
6101	可恶的人类，受死吧！！！	2	天书	
ts100	好…痛…苦…	2	天书	
ts101	身体…不受…控制…	2	天书	
ts102	是什么在操纵我	2	天书	
ts103	“它”说的对…要把…怨念…	2	天书	
ts104	宣泄出来！！！	2	天书	
ts105	尽情把心中的抱怨和悔恨彻底的释放出来吧！！！	2	天书	
ts106	我…好…饿…	2	天书	
ts107	我…不…甘心…	2	天书	
ts108	我…好难受…	2	天书	
ts109	多么美味的怨念能量!!!	2	天书	
ts110	继续施放怨念为我提供源源不断的能量吧！！！	2	天书	
6021	兄弟们！！	2	天书	
6021	水镜那婆娘敢不发工钱	2	天书	
6021	一定让她见识一下我们的厉害！！！	2	天书	
6022	你们这些姬良和水镜的走狗	2	天书	
6022	看我的厉害！！！	2	天书	
6023	不发工钱还打人	2	天书	
